"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.42 **","-0.45 ***","-0.44 ***","0.06 ","0.25 "
"","(0.20)","(0.16)","(0.16)","(0.18)","(0.19)"
"Lagged Y (Number of Items)","0.58 ***","0.66 ***","0.65 ***","0.63 ***","0.63 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"No report","-23.71 ","-23.83 ","-23.91 ","-24.05 ","-24.07 "
"","(1193.21)","(1113.45)","(1091.14)","(1106.20)","(1086.31)"
"Americas","-0.38 ","-0.68 ","-0.72 ","-0.61 ","-0.72 "
"","(0.91)","(0.91)","(0.91)","(0.92)","(0.92)"
"African","-1.74 *","-2.02 **","-2.14 **","-1.90 **","-1.99 **"
"","(0.96)","(0.96)","(0.96)","(0.97)","(0.97)"
"European","0.04 ","0.00 ","-0.08 ","0.05 ","-0.11 "
"","(0.96)","(0.96)","(0.96)","(0.97)","(0.97)"
"Western Pacific","0.58 ","0.65 ","0.63 ","0.55 ","0.44 "
"","(0.94)","(0.94)","(0.94)","(0.95)","(0.95)"
"South-East Asia","0.82 ","0.98 ","0.81 ","0.90 ","0.85 "
"","(1.03)","(1.03)","(1.03)","(1.04)","(1.04)"
"Control of Corruption","-0.95 *","-0.92 *","-0.91 *","-0.91 *","-0.79 "
"","(0.54)","(0.54)","(0.54)","(0.55)","(0.55)"
"Rule of Law","0.35 ","0.19 ","0.21 ","0.22 ","0.12 "
"","(0.56)","(0.55)","(0.55)","(0.57)","(0.57)"
"GDP pp","0.60 *","0.60 *","0.57 *","0.59 *","0.57 *"
"","(0.32)","(0.32)","(0.32)","(0.32)","(0.32)"
"Years since Ratif.","-0.07 ","-0.13 ","-0.14 ","-0.12 ","-0.14 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Tobacco Prod. PP","-1.02 **","-0.93 **","-0.96 **","-0.91 **","-0.87 **"
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"% Female Smoke","0.46 *","0.45 *","0.43 *","0.45 *","0.45 *"
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"% Male Smoke","-0.65 ***","-0.69 ***","-0.67 ***","-0.65 ***","-0.63 ***"
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.24)"
"Women's Labor","-0.06 ","-0.05 ","-0.04 ","-0.05 ","-0.00 "
"","(0.28)","(0.28)","(0.28)","(0.28)","(0.28)"
"Women's rights","0.00 ","0.05 ","0.05 ","0.02 ","0.00 "
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Population","0.40 **","0.37 *","0.37 *","0.38 *","0.34 "
"","(0.20)","(0.20)","(0.20)","(0.21)","(0.21)"
"Government Ownership","0.28 ","0.23 ","0.20 ","0.23 ","0.19 "
"","(0.57)","(0.57)","(0.57)","(0.58)","(0.57)"
"Health Exp.","-0.42 ","-0.37 ","-0.36 ","-0.35 ","-0.33 "
"","(0.34)","(0.33)","(0.33)","(0.34)","(0.34)"
"N","480","480","480","480","480"
"AIC","2288.69","2285.53","2286.09","2293.13","2291.46"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a dummy equal to 1 when the member did not provided a report on 2012. "
