"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.01 ","-0.00 ","0.07 ","-0.00 ","0.05 *"
"","(0.27)","(0.09)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.67 ***","0.67 ***","0.67 ***","0.67 ***","0.67 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.60 ","0.59 ","0.86 ","0.58 ","0.09 "
"","(2.08)","(2.05)","(2.06)","(2.05)","(2.07)"
"African","-0.28 ","-0.31 ","0.09 ","-0.30 ","-0.54 "
"","(2.01)","(1.98)","(1.99)","(1.98)","(1.97)"
"European","0.73 ","0.75 ","0.92 ","0.75 ","0.10 "
"","(2.12)","(2.08)","(2.08)","(2.09)","(2.11)"
"South-East Asia","0.63 ","0.66 ","0.60 ","0.65 ","0.45 "
"","(2.04)","(2.05)","(2.03)","(2.06)","(2.03)"
"Western Pacific","1.27 ","1.30 ","1.04 ","1.29 ","0.94 "
"","(1.98)","(2.00)","(1.98)","(1.99)","(1.97)"
"Democracy (POLITY)","-0.15 ","-0.15 ","-0.17 ","-0.15 ","-0.12 "
"","(0.19)","(0.19)","(0.19)","(0.19)","(0.19)"
"GDP per capita (ppp)","0.46 ","0.47 ","0.41 ","0.46 ","0.42 "
"","(1.08)","(1.08)","(1.07)","(1.08)","(1.08)"
"Tobacco Prod. per capita","-0.13 ","-0.13 ","-0.13 ","-0.14 ","-0.10 "
"","(0.14)","(0.14)","(0.14)","(0.15)","(0.14)"
"% Female Smoke","-1.19 ","-1.11 ","-1.36 ","-1.11 ","-1.28 "
"","(5.63)","(5.54)","(5.48)","(5.54)","(5.47)"
"% Male Smoke","1.30 ","1.28 ","1.47 ","1.29 ","1.76 "
"","(3.94)","(3.95)","(3.91)","(3.94)","(3.97)"
"Women's Labor","-0.01 ","-0.01 ","-0.00 ","-0.01 ","0.01 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Women's rights","0.03 ","0.03 ","0.03 ","0.03 ","0.03 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Bloomberg $$$ PP","1.85 ","1.85 ","1.73 ","1.84 ","1.76 "
"","(1.49)","(1.49)","(1.49)","(1.49)","(1.48)"
"Government Ownership","0.17 ","0.18 ","0.21 ","0.18 ","-0.11 "
"","(1.16)","(1.15)","(1.15)","(1.18)","(1.16)"
"Control of Corruption","-0.30 ","-0.30 ","-0.33 ","-0.31 ","0.13 "
"","(1.09)","(1.10)","(1.09)","(1.12)","(1.12)"
"Rule of Law","-0.02 ","-0.02 ","0.07 ","-0.02 ","-0.49 "
"","(1.32)","(1.32)","(1.32)","(1.35)","(1.35)"
"Health Exp. per capita (ppp)","1.56 *","1.55 *","1.55 *","1.56 *","1.65 **"
"","(0.81)","(0.81)","(0.80)","(0.81)","(0.82)"
"Years since Sign.","0.41 ","0.41 ","0.38 ","0.41 ","0.36 "
"","(0.29)","(0.29)","(0.29)","(0.29)","(0.29)"
"Years since Ratif.","-0.33 ","-0.33 ","-0.31 ","-0.33 ","-0.39 *"
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Year 2014","-1.28 ","-1.26 ","-0.33 ","-1.19 ","-1.40 *"
"","(1.82)","(1.48)","(1.10)","(0.82)","(0.82)"
"Year 2016","-2.83 ","-2.70 **","-3.22 ***","-2.74 ***","-2.77 ***"
"","(2.02)","(1.14)","(0.95)","(0.86)","(0.86)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
