Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,0.14 (0.11) ,0.03 (0.09) ,0.02 (0.09) ,0.15 (0.21) ,0.09 (0.07) ,-0.01 (0.12) ,0.03 (0.08) ,-0.23 (0.16) ,-0.39 (0.14) ***,0.03 (0.09) 
Gov. Ownership,1.37 (0.65) **,1.35 (0.65) **,1.33 (0.65) **,1.35 (0.67) **,1.25 (0.65) *,1.36 (0.66) **,1.31 (0.66) **,1.41 (0.67) **,1.40 (0.68) **,1.33 (0.65) **
Tobacco Prod. PP,-0.07 (0.21) ,-0.07 (0.21) ,-0.07 (0.21) ,-0.09 (0.22) ,-0.08 (0.22) ,-0.07 (0.22) ,-0.07 (0.21) ,-0.10 (0.23) ,-0.09 (0.24) ,-0.08 (0.22) 
Years since Sign.,0.43 (0.19) **,0.44 (0.19) **,0.44 (0.19) **,0.45 (0.20) **,0.42 (0.19) **,0.44 (0.19) **,0.45 (0.18) **,0.48 (0.20) **,0.51 (0.21) **,0.44 (0.19) **
Years since Ratif.,0.73 (0.14) ***,0.72 (0.14) ***,0.71 (0.14) ***,0.73 (0.14) ***,0.72 (0.14) ***,0.72 (0.14) ***,0.71 (0.14) ***,0.76 (0.15) ***,0.88 (0.16) ***,0.71 (0.14) ***
GDP pp,0.21 (0.23) ,0.25 (0.22) ,0.25 (0.23) ,0.23 (0.23) ,0.25 (0.23) ,0.27 (0.22) ,0.25 (0.22) ,0.17 (0.23) ,0.17 (0.24) ,0.26 (0.22) 
Democracy,0.40 (0.27) ,0.40 (0.26) ,0.41 (0.26) ,0.44 (0.26) *,0.40 (0.26) ,0.39 (0.26) ,0.40 (0.26) ,0.36 (0.27) ,0.22 (0.29) ,0.41 (0.26) 
Bloomberg Count,0.16 (0.20) ,0.17 (0.20) ,0.17 (0.20) ,0.18 (0.21) ,0.18 (0.20) ,0.18 (0.20) ,0.17 (0.20) ,0.15 (0.21) ,0.12 (0.22) ,0.17 (0.20) 
Art. 6
rho,0.15 (0.11) ,0.06 (0.09) ,0.05 (0.09) ,0.20 (0.23) ,0.00 (0.08) ,0.07 (0.11) ,0.13 (0.07) *,-0.18 (0.15) ,-0.15 (0.14) ,0.08 (0.08) 
Gov. Ownership,1.28 (0.60) **,1.22 (0.61) **,1.23 (0.60) **,1.26 (0.62) **,1.27 (0.61) **,1.25 (0.61) **,1.04 (0.62) *,1.32 (0.64) **,1.30 (0.62) **,1.19 (0.62) *
Tobacco Prod. PP,-0.15 (0.21) ,-0.17 (0.21) ,-0.16 (0.21) ,-0.19 (0.22) ,-0.17 (0.22) ,-0.18 (0.22) ,-0.17 (0.22) ,-0.19 (0.22) ,-0.19 (0.23) ,-0.17 (0.22) 
Years since Sign.,0.47 (0.19) **,0.49 (0.18) ***,0.48 (0.18) ***,0.49 (0.19) ***,0.49 (0.18) ***,0.48 (0.18) ***,0.44 (0.18) **,0.51 (0.19) ***,0.52 (0.19) ***,0.47 (0.18) **
Years since Ratif.,0.66 (0.13) ***,0.65 (0.13) ***,0.66 (0.13) ***,0.67 (0.13) ***,0.65 (0.13) ***,0.65 (0.13) ***,0.64 (0.13) ***,0.69 (0.14) ***,0.70 (0.14) ***,0.63 (0.13) ***
GDP pp,0.45 (0.21) **,0.48 (0.21) **,0.50 (0.21) **,0.48 (0.22) **,0.51 (0.21) **,0.50 (0.21) **,0.46 (0.21) **,0.44 (0.22) **,0.47 (0.22) **,0.53 (0.21) **
Democracy,0.42 (0.24) *,0.41 (0.24) *,0.40 (0.24) *,0.44 (0.25) *,0.41 (0.24) *,0.38 (0.24) ,0.41 (0.24) *,0.37 (0.26) ,0.33 (0.25) ,0.44 (0.24) *
Bloomberg Count,0.07 (0.19) ,0.07 (0.19) ,0.07 (0.19) ,0.08 (0.19) ,0.08 (0.19) ,0.06 (0.19) ,0.06 (0.18) ,0.06 (0.20) ,0.06 (0.20) ,0.06 (0.19) 
Art. 8
rho,0.01 (0.12) ,0.10 (0.08) ,0.03 (0.08) ,0.15 (0.16) ,0.08 (0.07) ,0.01 (0.09) ,0.09 (0.07) ,-0.01 (0.16) ,-0.01 (0.13) ,0.11 (0.08) 
Gov. Ownership,0.87 (0.49) *,0.78 (0.49) ,0.83 (0.50) *,0.84 (0.49) *,0.79 (0.49) ,0.85 (0.49) *,0.70 (0.50) ,0.87 (0.50) *,0.87 (0.49) *,0.79 (0.49) 
Tobacco Prod. PP,-0.24 (0.18) ,-0.24 (0.18) ,-0.23 (0.18) ,-0.25 (0.18) ,-0.23 (0.17) ,-0.23 (0.17) ,-0.22 (0.18) ,-0.25 (0.18) ,-0.23 (0.18) ,-0.24 (0.18) 
Years since Sign.,0.30 (0.15) **,0.28 (0.15) *,0.29 (0.15) **,0.30 (0.15) **,0.27 (0.14) *,0.30 (0.14) **,0.28 (0.14) *,0.31 (0.15) **,0.30 (0.14) **,0.28 (0.14) **
Years since Ratif.,0.51 (0.10) ***,0.50 (0.10) ***,0.50 (0.10) ***,0.51 (0.10) ***,0.50 (0.10) ***,0.50 (0.10) ***,0.49 (0.10) ***,0.51 (0.11) ***,0.51 (0.11) ***,0.47 (0.11) ***
GDP pp,0.10 (0.17) ,0.08 (0.17) ,0.09 (0.17) ,0.08 (0.17) ,0.10 (0.17) ,0.10 (0.17) ,0.08 (0.17) ,0.09 (0.18) ,0.10 (0.17) ,0.11 (0.17) 
Democracy,0.42 (0.20) **,0.42 (0.20) **,0.42 (0.20) **,0.45 (0.20) **,0.42 (0.20) **,0.41 (0.20) **,0.43 (0.20) **,0.41 (0.20) **,0.42 (0.20) **,0.45 (0.20) **
Bloomberg Count,0.21 (0.16) ,0.20 (0.15) ,0.22 (0.15) ,0.22 (0.16) ,0.22 (0.15) ,0.21 (0.16) ,0.21 (0.15) ,0.21 (0.16) ,0.21 (0.16) ,0.20 (0.15) 
Art. 11
rho,0.26 (0.13) **,0.12 (0.10) ,0.14 (0.09) ,0.34 (0.22) ,0.13 (0.08) *,0.15 (0.12) ,0.21 (0.08) **,0.01 (0.19) ,0.16 (0.18) ,0.19 (0.11) *
Gov. Ownership,2.90 (1.28) **,2.68 (1.26) **,2.74 (1.25) **,2.84 (1.34) **,2.71 (1.25) **,2.74 (1.25) **,2.19 (1.30) *,2.92 (1.31) **,2.95 (1.31) **,2.54 (1.29) *
Tobacco Prod. PP,-0.17 (0.43) ,-0.27 (0.43) ,-0.21 (0.42) ,-0.26 (0.45) ,-0.28 (0.43) ,-0.22 (0.42) ,-0.20 (0.43) ,-0.23 (0.45) ,-0.23 (0.42) ,-0.22 (0.43) 
Years since Sign.,0.55 (0.42) ,0.57 (0.41) ,0.55 (0.41) ,0.64 (0.43) ,0.58 (0.40) ,0.58 (0.40) ,0.55 (0.40) ,0.63 (0.40) ,0.67 (0.41) *,0.53 (0.40) 
Years since Ratif.,2.04 (0.30) ***,1.97 (0.30) ***,1.97 (0.30) ***,2.08 (0.32) ***,1.97 (0.29) ***,1.94 (0.30) ***,1.95 (0.29) ***,2.03 (0.32) ***,1.98 (0.32) ***,1.88 (0.29) ***
GDP pp,0.50 (0.45) ,0.56 (0.44) ,0.57 (0.44) ,0.54 (0.45) ,0.57 (0.44) ,0.63 (0.44) ,0.54 (0.43) ,0.68 (0.46) ,0.70 (0.45) ,0.73 (0.44) *
Democracy,0.29 (0.52) ,0.30 (0.51) ,0.33 (0.51) ,0.40 (0.53) ,0.29 (0.52) ,0.23 (0.51) ,0.32 (0.52) ,0.30 (0.53) ,0.40 (0.53) ,0.43 (0.52) 
Bloomberg Count,0.59 (0.39) ,0.54 (0.39) ,0.60 (0.39) ,0.62 (0.40) ,0.60 (0.39) ,0.55 (0.39) ,0.58 (0.39) ,0.61 (0.40) ,0.63 (0.40) ,0.57 (0.39) 
Art. 13
rho,0.01 (0.13) ,-0.05 (0.10) ,-0.00 (0.09) ,-0.20 (0.30) ,0.00 (0.08) ,-0.15 (0.14) ,-0.01 (0.08) ,-0.15 (0.19) ,-0.27 (0.16) ,0.20 (0.11) *
Gov. Ownership,2.90 (1.59) *,2.98 (1.57) *,2.79 (1.54) *,3.44 (1.90) *,2.85 (1.55) *,2.91 (1.57) *,2.84 (1.55) *,2.94 (1.62) *,2.89 (1.64) *,2.39 (1.56) 
