"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.16 **","0.17 ***","0.23 ***","0.14 *","0.11 "
"","(0.08)","(0.07)","(0.07)","(0.08)","(0.08)"
"Lagged Y (Number of Items)","0.50 ***","0.52 ***","0.52 ***","0.52 ***","0.53 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"No report","-10.79 ","-10.96 ","-10.63 ","-10.80 ","-10.90 "
"","(667.42)","(669.01)","(427.91)","(668.93)","(645.10)"
"Americas","0.83 **","0.80 **","0.85 **","0.74 *","0.70 *"
"","(0.39)","(0.38)","(0.38)","(0.38)","(0.39)"
"African","0.09 ","0.08 ","0.18 ","0.00 ","-0.02 "
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.41)"
"European","0.82 **","0.90 **","0.94 **","0.82 **","0.79 *"
"","(0.41)","(0.40)","(0.40)","(0.41)","(0.41)"
"Western Pacific","1.29 ***","1.27 ***","1.26 ***","1.22 ***","1.24 ***"
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.40)"
"South-East Asia","0.67 ","0.72 ","0.78 *","0.66 ","0.71 "
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"Control of Corruption","-0.22 ","-0.24 ","-0.25 ","-0.17 ","-0.18 "
"","(0.22)","(0.22)","(0.22)","(0.23)","(0.23)"
"Rule of Law","0.41 *","0.41 *","0.42 *","0.29 ","0.33 "
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.24)"
"GDP pp","0.07 ","0.06 ","0.07 ","0.09 ","0.06 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Years since Ratif.","-0.09 **","-0.10 **","-0.09 **","-0.10 **","-0.11 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","-0.02 ","0.02 ","0.03 ","0.02 ","0.03 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"% Female Smoke","0.18 *","0.17 *","0.17 *","0.18 *","0.18 *"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"% Male Smoke","-0.21 **","-0.19 *","-0.18 *","-0.21 **","-0.20 **"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Women's Labor","-0.08 ","-0.08 ","-0.08 ","-0.07 ","-0.05 "
"","(0.12)","(0.12)","(0.11)","(0.12)","(0.12)"
"Women's rights","0.15 *","0.15 *","0.14 ","0.15 *","0.15 *"
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Population","0.28 ***","0.27 ***","0.27 ***","0.24 ***","0.24 ***"
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Government Ownership","0.08 ","0.10 ","0.11 ","0.04 ","0.06 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"Health Exp.","-0.21 ","-0.16 ","-0.15 ","-0.19 ","-0.16 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"N","480","480","480","480","480"
"AIC","1626.34","1623.74","1618.85","1627.37","1628.47"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a dummy equal to 1 when the member did not provided a report on 2012. "
