"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.10 ","-0.06 ","-0.03 ","-0.03 ","0.03 "
"","(0.23)","(0.07)","(0.05)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.35 ***","0.35 ***","0.35 ***","0.35 ***","0.35 ***"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Americas","-0.44 ","-0.48 ","-0.50 ","-0.50 ","-0.52 *"
"","(0.33)","(0.31)","(0.31)","(0.31)","(0.31)"
"African","0.03 ","-0.02 ","-0.02 ","0.00 ","-0.03 "
"","(0.32)","(0.32)","(0.32)","(0.31)","(0.32)"
"European","-0.26 ","-0.26 ","-0.27 ","-0.22 ","-0.31 "
"","(0.33)","(0.32)","(0.33)","(0.32)","(0.33)"
"South-East Asia","0.21 ","0.26 ","0.23 ","0.28 ","0.22 "
"","(0.34)","(0.33)","(0.33)","(0.33)","(0.33)"
"Western Pacific","-0.12 ","-0.07 ","-0.10 ","-0.07 ","-0.15 "
"","(0.31)","(0.31)","(0.31)","(0.31)","(0.31)"
"Democracy (POLITY)","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"GDP per capita (ppp)","0.05 ","0.06 ","0.06 ","0.07 ","0.04 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Tobacco Prod. per capita","-0.00 ","-0.00 ","-0.00 ","-0.01 ","0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.18 ","-0.10 ","-0.14 ","-0.12 ","-0.18 "
"","(0.88)","(0.88)","(0.88)","(0.88)","(0.87)"
"% Male Smoke","0.78 ","0.73 ","0.77 ","0.70 ","0.84 "
"","(0.59)","(0.59)","(0.58)","(0.59)","(0.59)"
"Women's Labor","-0.01 ","-0.01 ","-0.00 ","-0.01 ","-0.00 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Government Ownership","0.19 ","0.20 ","0.21 ","0.25 ","0.18 "
"","(0.19)","(0.19)","(0.19)","(0.19)","(0.19)"
"Health Exp. per capita (ppp)","-0.02 ","-0.03 ","-0.03 ","-0.03 ","-0.01 "
"","(0.12)","(0.13)","(0.12)","(0.13)","(0.12)"
"Years since Ratif.","0.01 ","0.01 ","0.01 ","0.01 ","0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Year 2014","-0.37 ","-0.41 ","-0.30 ","-0.20 ","-0.22 "
"","(0.40)","(0.27)","(0.20)","(0.14)","(0.14)"
"Year 2016","-0.57 ","-0.36 **","-0.38 **","-0.40 ***","-0.41 ***"
"","(0.39)","(0.16)","(0.16)","(0.15)","(0.15)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
