"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.73 **","0.00 ","-0.01 ","0.04 ","0.11 **"
"","(0.31)","(0.11)","(0.07)","(0.04)","(0.05)"
"Lagged Y (Number of Items)","0.58 ***","0.57 ***","0.57 ***","0.57 ***","0.56 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-2.29 **","-3.32 ***","-3.34 ***","-3.35 ***","-3.69 ***"
"","(1.16)","(1.08)","(1.08)","(1.08)","(1.09)"
"African","-1.84 *","-2.34 **","-2.37 **","-2.37 **","-2.55 **"
"","(1.05)","(1.04)","(1.05)","(1.03)","(1.03)"
"European","-1.94 *","-1.80 *","-1.82 *","-1.90 *","-2.29 **"
"","(1.05)","(1.05)","(1.06)","(1.06)","(1.07)"
"South-East Asia","-1.29 ","-1.09 ","-1.10 ","-1.22 ","-1.29 "
"","(1.04)","(1.04)","(1.04)","(1.05)","(1.04)"
"Western Pacific","-0.54 ","-0.71 ","-0.72 ","-0.80 ","-1.01 "
"","(1.01)","(1.02)","(1.02)","(1.02)","(1.02)"
"Democracy (POLITY)","-0.10 ","-0.11 ","-0.11 ","-0.11 ","-0.09 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","0.16 ","0.19 ","0.20 ","0.18 ","0.16 "
"","(0.56)","(0.57)","(0.56)","(0.56)","(0.56)"
"Tobacco Prod. per capita","-0.11 ","-0.12 ","-0.12 ","-0.11 ","-0.09 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","3.89 ","4.59 ","4.59 ","4.42 ","4.50 "
"","(2.91)","(2.93)","(2.93)","(2.92)","(2.89)"
"% Male Smoke","-3.23 *","-3.54 *","-3.55 *","-3.38 *","-3.15 *"
"","(1.89)","(1.88)","(1.87)","(1.88)","(1.89)"
"Women's Labor","0.04 ","0.04 ","0.04 ","0.04 ","0.05 *"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.03 *","0.03 *","0.03 *","0.03 *","0.03 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Bloomberg FCTC $$$ PP","0.70 ","0.67 ","0.67 ","0.74 ","0.63 "
"","(0.78)","(0.79)","(0.78)","(0.78)","(0.78)"
"Government Ownership","-0.03 ","0.20 ","0.21 ","0.10 ","0.01 "
"","(0.60)","(0.60)","(0.60)","(0.61)","(0.60)"
"Control of Corruption","-0.27 ","-0.27 ","-0.28 ","-0.13 ","0.01 "
"","(0.57)","(0.58)","(0.58)","(0.59)","(0.59)"
"Rule of Law","-0.69 ","-0.68 ","-0.67 ","-0.84 ","-1.00 "
"","(0.69)","(0.70)","(0.70)","(0.72)","(0.71)"
"Health Exp. per capita (ppp)","0.24 ","0.27 ","0.26 ","0.28 ","0.32 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.42)"
"Years since Sign.","0.17 ","0.20 ","0.20 ","0.18 ","0.16 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"Years since Ratif.","0.05 ","0.05 ","0.05 ","0.04 ","0.02 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.60 **","-0.04 ","-0.16 ","-0.11 ","-0.19 "
"","(0.77)","(0.90)","(0.61)","(0.42)","(0.42)"
"Year 2016","-2.72 ***","-0.97 **","-0.94 **","-1.00 **","-0.98 **"
"","(0.87)","(0.47)","(0.46)","(0.44)","(0.43)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
