"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.30 **","0.13 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Gov. Ownership","0.02 ","0.21 ","0.39 ","0.33 ","0.36 "
"","(0.42)","(0.49)","(0.41)","(1.02)","(1.30)"
"Tobacco Prod. PP","0.18 ","-0.09 ","-0.45 **","0.48 ","0.45 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.69)"
"Years since Sign.","0.13 ","0.31 **","0.09 ","-0.14 ","0.12 "
"","(0.13)","(0.15)","(0.13)","(0.34)","(0.43)"
"Years since Ratif.","0.16 *","0.14 ","0.15 *","0.98 ***","0.75 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.15 ","0.25 ","-0.22 ","-0.05 ","0.15 "
"","(0.15)","(0.17)","(0.14)","(0.36)","(0.46)"
"Democracy","0.07 ","0.03 ","0.15 ","-0.56 ","-0.02 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.54)"
"% Female Smoke","-0.01 ","0.35 *","0.46 ***","0.21 ","0.87 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.53)"
"% Male Smoke","0.22 ","0.33 ","0.13 ","0.36 ","0.13 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.14 ","-0.04 ","-0.03 ","-0.59 ","-1.03 *"
"","(0.19)","(0.23)","(0.19)","(0.48)","(0.61)"
"Women's rights","-0.12 ","0.82 ","0.41 ","-0.70 ","2.57 *"
"","(0.44)","(0.53)","(0.43)","(1.09)","(1.39)"
"Population","0.10 ","0.23 ","-0.03 ","0.03 ","0.14 "
"","(0.12)","(0.14)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.37 ","-0.73 ","0.91 ","-2.90 *","1.92 "
"","(0.70)","(0.82)","(0.68)","(1.72)","(2.18)"
"European","0.36 ","-0.00 ","-0.23 ","0.13 ","1.83 "
"","(0.45)","(0.53)","(0.44)","(1.11)","(1.41)"
"African","0.35 ","-0.47 ","-0.38 ","-1.85 *","1.39 "
"","(0.43)","(0.50)","(0.41)","(1.06)","(1.36)"
"Western Pacific","0.51 ","-0.37 ","0.11 ","-1.80 ","2.82 *"
"","(0.51)","(0.60)","(0.49)","(1.25)","(1.59)"
"South-East Asia","0.29 ","-0.09 ","-0.07 ","-2.48 ","0.77 "
"","(0.65)","(0.77)","(0.63)","(1.59)","(2.03)"
"(Intercept)","2.07 ","-2.42 ","1.39 ","4.32 ","1.04 "
"","(1.33)","(1.58)","(1.29)","(3.31)","(4.18)"
"Bloomberg FCTC Amount","-0.00 ","0.13 ","0.15 ","0.29 ","0.56 "
"","(0.24)","(0.28)","(0.23)","(0.58)","(0.75)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.07","0.06","0.04"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.01 ","0.23 **","0.27 *","0.28 **","0.09 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Gov. Ownership","0.02 ","0.18 ","0.37 ","0.48 ","0.35 "
"","(0.42)","(0.50)","(0.40)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.17 ","-0.27 ","-0.49 **","0.08 ","0.36 "
"","(0.22)","(0.25)","(0.20)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.36 **","0.12 ","0.01 ","0.14 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.16 *","0.10 ","0.14 *","0.94 ***","0.73 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.14 ","0.26 ","-0.24 *","-0.03 ","0.13 "
"","(0.15)","(0.17)","(0.14)","(0.37)","(0.46)"
"Democracy","0.07 ","-0.03 ","0.15 ","-0.66 ","-0.06 "
