"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.67 ","-0.05 ","0.92 ","0.06 ","0.48 "
"","(1.06)","(0.92)","(0.63)","(0.41)","(0.39)"
"Lagged Y (Number of Items)","0.69 ***","0.69 ***","0.69 ***","0.69 ***","0.69 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Bloomberg FCTC $$$ PP","0.34 ","0.34 ","0.25 ","0.34 ","0.28 "
"","(0.62)","(0.62)","(0.66)","(0.62)","(0.64)"
"Americas","1.48 ","1.37 ","1.67 ","1.36 ","1.12 "
"","(1.98)","(1.97)","(1.98)","(1.97)","(1.98)"
"African","-1.20 ","-1.44 ","-0.86 ","-1.45 ","-1.63 "
"","(2.10)","(2.07)","(2.10)","(2.07)","(2.07)"
"European","1.14 ","1.44 ","1.69 ","1.42 ","1.05 "
"","(2.15)","(2.10)","(2.10)","(2.10)","(2.12)"
"Western Pacific","0.54 ","0.64 ","0.36 ","0.59 ","0.41 "
"","(2.05)","(2.07)","(2.05)","(2.06)","(2.05)"
"South-East Asia","-0.59 ","-0.43 ","-0.45 ","-0.49 ","-0.53 "
"","(2.22)","(2.23)","(2.20)","(2.22)","(2.20)"
"Control of Corruption","0.21 ","0.19 ","0.16 ","0.22 ","0.47 "
"","(1.17)","(1.17)","(1.16)","(1.18)","(1.19)"
"Rule of Law","1.24 ","1.25 ","1.27 ","1.20 ","0.97 "
"","(1.19)","(1.20)","(1.19)","(1.23)","(1.21)"
"GDP per capita (ppp)","1.15 *","1.21 *","1.21 *","1.21 *","1.18 *"
"","(0.65)","(0.65)","(0.65)","(0.65)","(0.65)"
"Years since Ratif.","-0.22 ","-0.22 ","-0.22 ","-0.22 ","-0.27 "
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.21)"
"Tobacco Prod. per capita","0.07 ","0.08 ","0.16 ","0.08 ","0.16 "
"","(0.89)","(0.89)","(0.94)","(0.89)","(0.91)"
"% Female Smoke","-0.10 ","-0.03 ","-0.10 ","-0.04 ","-0.01 "
"","(0.58)","(0.57)","(0.57)","(0.57)","(0.57)"
"% Male Smoke","0.27 ","0.27 ","0.32 ","0.28 ","0.33 "
"","(0.52)","(0.52)","(0.52)","(0.52)","(0.52)"
"Women's Labor","-0.26 ","-0.27 ","-0.24 ","-0.27 ","-0.18 "
"","(0.60)","(0.60)","(0.60)","(0.60)","(0.60)"
"Women's rights","0.30 ","0.31 ","0.25 ","0.31 ","0.30 "
"","(0.46)","(0.46)","(0.46)","(0.46)","(0.46)"
"Population","0.61 ","0.64 ","0.62 ","0.62 ","0.54 "
"","(0.44)","(0.43)","(0.43)","(0.45)","(0.44)"
"Government Ownership","1.07 ","1.18 ","1.23 ","1.16 ","1.01 "
"","(1.26)","(1.25)","(1.24)","(1.26)","(1.25)"
"Year 2014","-2.31 ","-1.27 ","-0.08 ","-1.22 ","-1.38 "
"","(1.96)","(1.54)","(1.15)","(0.88)","(0.88)"
"Year 2016","-3.85 *","-2.57 **","-3.27 ***","-2.63 ***","-2.66 ***"
"","(2.16)","(1.20)","(1.02)","(0.92)","(0.92)"
"Health Exp. per capita (ppp)","-0.55 ","-0.47 ","-0.47 ","-0.47 ","-0.44 "
"","(0.67)","(0.65)","(0.64)","(0.65)","(0.65)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
