"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.30 ***","0.13 ","0.45 ***","0.08 "
"","(0.10)","(0.12)","(0.22)","(0.15)","(0.14)"
"Gov. Ownership","0.01 ","0.18 ","0.35 ","0.28 ","0.30 "
"","(0.42)","(0.49)","(0.41)","(1.02)","(1.30)"
"Tobacco Prod. PP","0.18 ","-0.10 ","-0.46 **","0.47 ","0.44 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.69)"
"Years since Sign.","0.14 ","0.32 **","0.10 ","-0.13 ","0.13 "
"","(0.13)","(0.15)","(0.13)","(0.34)","(0.43)"
"Years since Ratif.","0.16 *","0.14 ","0.15 *","0.99 ***","0.76 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.15 ","0.24 ","-0.24 *","-0.07 ","0.12 "
"","(0.15)","(0.17)","(0.14)","(0.36)","(0.46)"
"Democracy","0.06 ","0.02 ","0.13 ","-0.57 ","-0.00 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.55)"
"% Female Smoke","-0.01 ","0.34 *","0.44 ***","0.19 ","0.84 "
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.23 ","0.36 *","0.16 ","0.40 ","0.16 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.12 ","-0.02 ","0.00 ","-0.56 ","-1.04 *"
"","(0.20)","(0.23)","(0.19)","(0.49)","(0.62)"
"Women's rights","-0.12 ","0.81 ","0.39 ","-0.74 ","2.50 *"
"","(0.44)","(0.53)","(0.43)","(1.09)","(1.38)"
"Population","0.16 ","0.31 ","0.09 ","0.11 ","0.08 "
"","(0.19)","(0.22)","(0.18)","(0.46)","(0.59)"
"Eastern Mediterranean","0.38 ","-0.73 ","0.92 ","-2.91 *","1.85 "
"","(0.70)","(0.82)","(0.68)","(1.72)","(2.18)"
"European","0.36 ","-0.01 ","-0.23 ","0.14 ","1.88 "
"","(0.45)","(0.53)","(0.44)","(1.11)","(1.42)"
"African","0.35 ","-0.50 ","-0.41 ","-1.90 *","1.33 "
"","(0.42)","(0.50)","(0.41)","(1.06)","(1.35)"
"Western Pacific","0.52 ","-0.34 ","0.16 ","-1.74 ","2.88 *"
"","(0.50)","(0.60)","(0.49)","(1.25)","(1.59)"
"South-East Asia","0.26 ","-0.11 ","-0.11 ","-2.49 ","0.89 "
"","(0.65)","(0.78)","(0.63)","(1.60)","(2.05)"
"(Intercept)","1.99 ","-2.56 ","1.19 ","4.14 ","1.03 "
"","(1.34)","(1.60)","(1.30)","(3.35)","(4.23)"
"Bloomberg Amount","-0.08 ","-0.08 ","-0.12 ","-0.04 ","0.23 "
"","(0.20)","(0.24)","(0.20)","(0.50)","(0.64)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.07","0.06","0.04"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.01 ","0.23 **","0.28 **","0.28 **","0.10 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Gov. Ownership","0.02 ","0.15 ","0.34 ","0.44 ","0.29 "
"","(0.42)","(0.49)","(0.40)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.17 ","-0.28 ","-0.50 **","0.06 ","0.34 "
"","(0.21)","(0.25)","(0.20)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.37 **","0.13 ","0.02 ","0.15 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.16 *","0.11 ","0.15 *","0.94 ***","0.74 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.15 ","0.25 ","-0.26 *","-0.04 ","0.10 "
"","(0.15)","(0.17)","(0.14)","(0.37)","(0.46)"
"Democracy","0.06 ","-0.04 ","0.13 ","-0.67 ","-0.04 "
