"Article 5","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.34 ***","-0.12 *","-0.10 ","-0.01 ","-0.06 "
"","(0.07)","(0.07)","(0.07)","(0.09)","(0.08)"
"PolShift","0.02 ","0.02 ","0.03 ","0.03 ","0.03 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Americas","-0.53 ","-0.73 *","-0.75 *","-0.71 *","-0.68 "
"","(0.41)","(0.42)","(0.42)","(0.42)","(0.42)"
"African","-0.33 ","-0.47 ","-0.49 ","-0.43 ","-0.40 "
"","(0.43)","(0.44)","(0.44)","(0.44)","(0.44)"
"European","-0.37 ","-0.34 ","-0.36 ","-0.31 ","-0.26 "
"","(0.42)","(0.43)","(0.43)","(0.43)","(0.44)"
"Western Pacific","-0.53 ","-0.45 ","-0.47 ","-0.47 ","-0.44 "
"","(0.42)","(0.43)","(0.43)","(0.43)","(0.43)"
"South-East Asia","-0.91 **","-0.79 *","-0.83 *","-0.80 *","-0.79 *"
"","(0.45)","(0.45)","(0.45)","(0.45)","(0.45)"
"Control of Corruption","-0.17 ","-0.24 ","-0.23 ","-0.24 ","-0.26 "
"","(0.24)","(0.24)","(0.24)","(0.25)","(0.25)"
"Rule of Law","0.54 **","0.56 **","0.57 **","0.59 **","0.61 **"
"","(0.25)","(0.25)","(0.25)","(0.26)","(0.25)"
"GDP pp","-0.17 ","-0.18 ","-0.18 ","-0.19 ","-0.18 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"Years since Ratif.","0.18 ***","0.18 ***","0.18 ***","0.18 ***","0.19 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","-0.02 ","-0.04 ","-0.04 ","-0.05 ","-0.05 "
"","(0.07)","(0.07)","(0.07)","(0.07)","(0.07)"
"% Female Smoke","-0.26 **","-0.27 **","-0.28 **","-0.28 **","-0.28 **"
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"% Male Smoke","0.04 ","0.04 ","0.05 ","0.05 ","0.04 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Women's Labor","-0.03 ","-0.02 ","-0.02 ","-0.03 ","-0.04 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.13)"
"Women's rights","-0.03 ","-0.02 ","-0.01 ","-0.02 ","-0.02 "
"","(0.09)","(0.10)","(0.10)","(0.10)","(0.10)"
"Population","0.17 **","0.19 **","0.19 **","0.19 **","0.19 **"
"","(0.08)","(0.09)","(0.09)","(0.09)","(0.09)"
"Government Ownership","0.58 **","0.62 **","0.62 **","0.63 **","0.64 **"
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.26)"
"Health Exp.","0.03 ","0.10 ","0.10 ","0.10 ","0.09 "
"","(0.15)","(0.15)","(0.15)","(0.15)","(0.15)"
"N","480","480","480","480","480"
"AIC","1783.23","1801.01","1801.95","1803.71","1803.19"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a variable capturing political shifts. "
