"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.45 **","0.23 ","0.32 **","0.19 **","0.13 "
"","(0.20)","(0.19)","(0.13)","(0.08)","(0.08)"
"Lagged Y (Number of Items)","0.56 ***","0.55 ***","0.55 ***","0.55 ***","0.55 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Bloomberg FCTC #","-0.17 ","-0.18 ","-0.19 ","-0.15 ","-0.16 "
"","(0.19)","(0.19)","(0.18)","(0.19)","(0.19)"
"Americas","0.92 **","0.86 **","0.94 **","0.82 **","0.77 *"
"","(0.41)","(0.41)","(0.41)","(0.41)","(0.41)"
"African","0.13 ","0.06 ","0.19 ","-0.01 ","-0.04 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)"
"European","0.54 ","0.81 *","0.87 **","0.70 ","0.67 "
"","(0.45)","(0.44)","(0.44)","(0.44)","(0.44)"
"Western Pacific","0.89 **","0.97 **","0.96 **","0.91 **","0.95 **"
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)"
"South-East Asia","-0.03 ","0.17 ","0.24 ","0.11 ","0.19 "
"","(0.47)","(0.46)","(0.45)","(0.45)","(0.45)"
"Control of Corruption","-0.23 ","-0.22 ","-0.23 ","-0.15 ","-0.16 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.24)"
"Rule of Law","0.56 **","0.56 **","0.56 **","0.43 *","0.48 *"
"","(0.24)","(0.24)","(0.24)","(0.25)","(0.25)"
"GDP per capita (ppp)","-0.02 ","-0.01 ","0.01 ","0.02 ","-0.01 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Years since Ratif.","-0.03 ","-0.02 ","-0.02 ","-0.04 ","-0.04 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. per capita","-0.05 ","-0.04 ","-0.04 ","-0.04 ","-0.04 "
"","(0.10)","(0.11)","(0.11)","(0.10)","(0.11)"
"% Female Smoke","-0.01 ","0.00 ","-0.00 ","0.02 ","0.02 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"% Male Smoke","-0.08 ","-0.07 ","-0.06 ","-0.07 ","-0.06 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's Labor","-0.07 ","-0.06 ","-0.06 ","-0.05 ","-0.03 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"Women's rights","0.11 ","0.12 ","0.11 ","0.12 ","0.12 "
"","(0.09)","(0.10)","(0.09)","(0.09)","(0.09)"
"Population","0.30 ***","0.32 ***","0.32 ***","0.27 ***","0.29 ***"
"","(0.09)","(0.09)","(0.09)","(0.10)","(0.10)"
"Government Ownership","0.03 ","0.14 ","0.16 ","0.05 ","0.10 "
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.26)"
"Year 2014","-0.59 ","0.50 ","0.57 **","0.10 ","0.11 "
"","(0.36)","(0.35)","(0.25)","(0.18)","(0.18)"
"Year 2016","-0.30 ","0.43 **","0.38 *","0.52 ***","0.56 ***"
"","(0.42)","(0.22)","(0.20)","(0.19)","(0.19)"
"Health Exp. per capita (ppp)","-0.16 ","-0.11 ","-0.12 ","-0.13 ","-0.12 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of FCTC Bloomberg project'. "
