"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.39 ***","0.08 ","0.09 ","0.37 ***","0.22 ***"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Bloomberg FCTC #","0.04 ","-0.07 ","-0.07 ","0.03 ","-0.05 "
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"Americas","-0.87 **","-0.95 **","-0.94 **","-1.04 **","-1.06 **"
"","(0.43)","(0.44)","(0.44)","(0.43)","(0.44)"
"African","-1.43 ***","-1.49 ***","-1.48 ***","-1.50 ***","-1.58 ***"
"","(0.45)","(0.46)","(0.46)","(0.45)","(0.46)"
"European","-1.17 ***","-1.10 **","-1.09 **","-1.31 ***","-1.24 ***"
"","(0.45)","(0.46)","(0.46)","(0.45)","(0.46)"
"Western Pacific","-0.66 ","-0.58 ","-0.60 ","-0.77 *","-0.69 "
"","(0.45)","(0.46)","(0.46)","(0.46)","(0.46)"
"South-East Asia","-1.47 ***","-1.42 ***","-1.41 ***","-1.57 ***","-1.48 ***"
"","(0.47)","(0.48)","(0.48)","(0.47)","(0.48)"
"Control of Corruption","-0.41 *","-0.46 *","-0.46 *","-0.24 ","-0.32 "
"","(0.25)","(0.26)","(0.26)","(0.26)","(0.26)"
"Rule of Law","0.84 ***","0.87 ***","0.88 ***","0.62 **","0.73 ***"
"","(0.25)","(0.26)","(0.26)","(0.26)","(0.26)"
"GDP pp","-0.06 ","-0.08 ","-0.08 ","-0.05 ","-0.08 "
"","(0.15)","(0.16)","(0.16)","(0.15)","(0.15)"
"Years since Ratif.","0.08 *","0.08 *","0.08 *","0.06 ","0.06 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.06 ","0.12 ","0.12 ","0.15 ","0.15 "
"","(0.19)","(0.20)","(0.20)","(0.19)","(0.20)"
"% Female Smoke","0.16 ","0.14 ","0.14 ","0.20 *","0.15 "
"","(0.11)","(0.12)","(0.12)","(0.12)","(0.12)"
"% Male Smoke","-0.03 ","-0.03 ","-0.03 ","-0.01 ","-0.01 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's Labor","0.02 ","0.01 ","0.01 ","0.01 ","0.06 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Women's rights","0.08 ","0.09 ","0.09 ","0.09 ","0.09 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Population","0.41 ***","0.43 ***","0.43 ***","0.34 ***","0.38 ***"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Government Ownership","0.07 ","0.07 ","0.08 ","-0.09 ","0.04 "
"","(0.27)","(0.28)","(0.28)","(0.27)","(0.28)"
"Health Exp.","-0.20 ","-0.14 ","-0.14 ","-0.18 ","-0.15 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"N","480","480","480","480","480"
"AIC","1823.72","1848.92","1848.62","1831.24","1843.04"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of FCTC Bloomberg project'. "
