"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.04 ***","0.16 ","0.07 ","0.09 **","0.06 *"
"","(0.30)","(0.11)","(0.08)","(0.03)","(0.04)"
"Lagged Y (Number of Items)","0.52 ***","0.51 ***","0.51 ***","0.49 ***","0.51 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-0.35 ","-0.72 *","-0.70 *","-0.72 *","-0.76 *"
"","(0.40)","(0.40)","(0.40)","(0.39)","(0.40)"
"African","-0.74 *","-0.92 **","-0.93 **","-0.98 **","-1.03 **"
"","(0.41)","(0.41)","(0.41)","(0.40)","(0.41)"
"European","-0.84 **","-0.72 *","-0.72 *","-0.86 **","-0.84 **"
"","(0.41)","(0.41)","(0.41)","(0.42)","(0.42)"
"South-East Asia","-0.77 *","-0.65 ","-0.61 ","-0.74 *","-0.68 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"Western Pacific","-0.37 ","-0.29 ","-0.30 ","-0.35 ","-0.34 "
"","(0.39)","(0.40)","(0.40)","(0.40)","(0.40)"
"Democracy (POLITY)","0.01 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"GDP per capita (ppp)","0.07 ","0.09 ","0.10 ","0.08 ","0.08 "
"","(0.22)","(0.22)","(0.22)","(0.21)","(0.21)"
"Tobacco Prod. per capita","-0.07 **","-0.08 **","-0.08 **","-0.07 **","-0.07 **"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","1.08 ","1.22 ","1.33 ","1.47 ","1.24 "
"","(1.12)","(1.14)","(1.14)","(1.14)","(1.13)"
"% Male Smoke","-0.49 ","-0.52 ","-0.59 ","-0.38 ","-0.44 "
"","(0.69)","(0.70)","(0.70)","(0.72)","(0.71)"
"Women's Labor","0.01 ","0.01 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Government Ownership","0.04 ","0.09 ","0.11 ","-0.02 ","0.06 "
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.24)"
"Health Exp. per capita (ppp)","-0.03 ","-0.00 ","-0.02 ","-0.01 ","-0.01 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Years since Ratif.","0.01 ","0.01 ","0.02 ","0.01 ","0.00 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-3.09 ***","-0.28 ","-0.41 *","-0.63 ***","-0.62 ***"
"","(0.77)","(0.26)","(0.23)","(0.20)","(0.21)"
"Year 2016","-3.61 ***","-1.44 ***","-1.18 ***","-1.07 ***","-1.05 ***"
"","(0.80)","(0.42)","(0.34)","(0.24)","(0.25)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
