"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","-0.28 ","-0.21 *","0.01 ","0.02 ","0.08 **"
"","(0.36)","(0.11)","(0.08)","(0.04)","(0.04)"
"Americas","0.80 ","1.24 ","1.19 ","1.12 ","0.35 "
"","(2.69)","(2.64)","(2.67)","(2.66)","(2.68)"
"African","0.09 ","0.25 ","0.56 ","0.43 ","0.10 "
"","(2.60)","(2.56)","(2.60)","(2.57)","(2.56)"
"European","3.70 ","3.25 ","3.28 ","3.13 ","2.20 "
"","(2.74)","(2.67)","(2.69)","(2.69)","(2.72)"
"South-East Asia","2.86 ","3.30 ","2.66 ","2.46 ","2.35 "
"","(2.66)","(2.66)","(2.65)","(2.69)","(2.64)"
"Western Pacific","3.94 ","4.54 *","3.77 ","3.66 ","3.24 "
"","(2.58)","(2.59)","(2.58)","(2.59)","(2.57)"
"Democracy (POLITY)","0.03 ","0.03 ","0.03 ","0.03 ","0.09 "
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"GDP per capita (ppp)","1.59 ","1.72 ","1.48 ","1.43 ","1.43 "
"","(1.40)","(1.40)","(1.39)","(1.41)","(1.40)"
"Tobacco Prod. per capita","-0.38 *","-0.37 *","-0.36 *","-0.35 *","-0.30 "
"","(0.20)","(0.19)","(0.20)","(0.20)","(0.20)"
"% Female Smoke","-5.38 ","-5.38 ","-6.37 ","-6.62 ","-6.54 "
"","(8.27)","(8.03)","(8.05)","(8.08)","(7.90)"
"% Male Smoke","-1.47 ","-1.80 ","-1.24 ","-1.13 ","-0.50 "
"","(4.98)","(4.99)","(4.96)","(4.99)","(4.99)"
"Women's Labor","-0.01 ","-0.02 ","-0.01 ","-0.01 ","0.01 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Women's rights","0.07 ","0.07 ","0.06 ","0.06 ","0.06 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Government Ownership","1.73 ","1.57 ","1.58 ","1.41 ","1.10 "
"","(1.51)","(1.49)","(1.49)","(1.53)","(1.51)"
"Control of Corruption","-0.91 ","-1.07 ","-0.94 ","-0.80 ","-0.22 "
"","(1.41)","(1.41)","(1.41)","(1.44)","(1.44)"
"Rule of Law","0.78 ","0.92 ","0.83 ","0.65 ","0.04 "
"","(1.71)","(1.70)","(1.72)","(1.74)","(1.74)"
"Health Exp. per capita (ppp)","2.82 ***","2.63 **","2.80 ***","2.84 ***","2.93 ***"
"","(1.05)","(1.07)","(1.05)","(1.06)","(1.07)"
"Years since Sign.","0.70 *","0.69 *","0.66 *","0.64 *","0.58 "
"","(0.38)","(0.37)","(0.38)","(0.38)","(0.38)"
"Years since Ratif.","0.16 ","0.16 ","0.17 ","0.16 ","0.07 "
"","(0.27)","(0.27)","(0.27)","(0.27)","(0.27)"
"Year 2014","4.28 *","-0.45 ","2.77 *","2.55 **","2.26 **"
"","(2.36)","(1.93)","(1.42)","(1.03)","(1.03)"
"Year 2016","4.59 *","4.43 ***","2.64 **","2.66 **","2.64 **"
"","(2.61)","(1.38)","(1.15)","(1.04)","(1.03)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
