"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.06 ","0.00 ","0.10 *","-0.01 ","0.05 *"
"","(0.26)","(0.08)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.64 ***","0.63 ***","0.64 ***","0.64 ***","0.63 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","1.45 ","1.38 ","1.72 ","1.36 ","0.99 "
"","(1.87)","(1.85)","(1.85)","(1.85)","(1.86)"
"African","0.92 ","0.85 ","1.40 ","0.89 ","0.58 "
"","(1.91)","(1.88)","(1.90)","(1.88)","(1.88)"
"European","1.28 ","1.37 ","1.62 ","1.43 ","0.71 "
"","(1.99)","(1.94)","(1.94)","(1.95)","(1.98)"
"South-East Asia","3.44 *","3.47 *","3.47 *","3.59 *","3.30 *"
"","(2.00)","(2.01)","(1.98)","(2.01)","(1.99)"
"Western Pacific","2.92 ","2.93 ","2.65 ","3.04 ","2.57 "
"","(1.88)","(1.90)","(1.88)","(1.90)","(1.89)"
"Democracy (POLITY)","-0.12 ","-0.12 ","-0.13 ","-0.11 ","-0.10 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"GDP per capita (ppp)","0.09 ","0.10 ","0.08 ","0.15 ","-0.01 "
"","(1.04)","(1.04)","(1.03)","(1.05)","(1.05)"
"Tobacco Prod. per capita","-0.12 ","-0.12 ","-0.12 ","-0.13 ","-0.08 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"% Female Smoke","1.68 ","1.89 ","1.58 ","2.14 ","1.55 "
"","(5.40)","(5.31)","(5.22)","(5.32)","(5.29)"
"% Male Smoke","2.18 ","2.12 ","2.54 ","2.03 ","2.66 "
"","(3.60)","(3.60)","(3.56)","(3.57)","(3.62)"
"Women's Labor","-0.04 ","-0.04 ","-0.04 ","-0.04 ","-0.02 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Government Ownership","-0.67 ","-0.64 ","-0.62 ","-0.55 ","-0.94 "
"","(1.12)","(1.10)","(1.10)","(1.13)","(1.12)"
"Health Exp. per capita (ppp)","1.71 **","1.72 **","1.71 **","1.70 **","1.85 **"
"","(0.77)","(0.77)","(0.77)","(0.77)","(0.79)"
"Years since Ratif.","-0.57 ***","-0.57 ***","-0.55 ***","-0.56 ***","-0.64 ***"
"","(0.20)","(0.20)","(0.19)","(0.20)","(0.20)"
"Year 2014","-1.46 ","-1.10 ","0.11 ","-1.10 ","-1.19 "
"","(1.74)","(1.45)","(1.09)","(0.85)","(0.84)"
"Year 2016","-1.78 ","-1.42 ","-2.14 *","-1.42 ","-1.13 "
"","(2.02)","(1.28)","(1.15)","(1.07)","(1.08)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
