Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,0.14 (0.12) ,0.04 (0.09) ,0.03 (0.09) ,0.15 (0.21) ,0.09 (0.07) ,-0.00 (0.12) ,0.03 (0.08) ,-0.24 (0.16) ,-0.40 (0.14) ***,0.03 (0.08) 
Gov. Ownership,1.31 (0.64) **,1.27 (0.64) **,1.27 (0.64) **,1.29 (0.66) *,1.20 (0.63) *,1.30 (0.65) **,1.23 (0.66) *,1.36 (0.67) **,1.36 (0.71) *,1.28 (0.65) **
Tobacco Prod. PP,-0.07 (0.21) ,-0.07 (0.21) ,-0.08 (0.21) ,-0.09 (0.22) ,-0.08 (0.21) ,-0.07 (0.21) ,-0.06 (0.21) ,-0.09 (0.22) ,-0.10 (0.24) ,-0.07 (0.22) 
Years since Sign.,0.43 (0.19) **,0.44 (0.19) **,0.45 (0.19) **,0.47 (0.19) **,0.44 (0.19) **,0.46 (0.18) **,0.44 (0.19) **,0.51 (0.20) **,0.54 (0.21) **,0.44 (0.19) **
Years since Ratif.,0.73 (0.14) ***,0.72 (0.14) ***,0.72 (0.14) ***,0.73 (0.14) ***,0.72 (0.14) ***,0.72 (0.13) ***,0.71 (0.14) ***,0.76 (0.15) ***,0.88 (0.16) ***,0.71 (0.14) ***
GDP pp,0.19 (0.23) ,0.23 (0.23) ,0.23 (0.22) ,0.21 (0.22) ,0.22 (0.22) ,0.24 (0.22) ,0.23 (0.23) ,0.15 (0.24) ,0.14 (0.24) ,0.25 (0.23) 
Democracy,0.40 (0.26) ,0.40 (0.26) ,0.40 (0.26) ,0.43 (0.26) *,0.41 (0.26) ,0.38 (0.27) ,0.39 (0.26) ,0.36 (0.27) ,0.23 (0.29) ,0.42 (0.27) 
Art. 6
rho,0.15 (0.11) ,0.07 (0.09) ,0.05 (0.09) ,0.20 (0.23) ,0.00 (0.08) ,0.08 (0.10) ,0.12 (0.07) *,-0.19 (0.15) ,-0.16 (0.14) ,0.08 (0.08) 
Gov. Ownership,1.27 (0.59) **,1.21 (0.60) **,1.25 (0.60) **,1.22 (0.61) **,1.25 (0.60) **,1.22 (0.60) **,1.03 (0.61) *,1.31 (0.63) **,1.26 (0.63) **,1.16 (0.61) *
Tobacco Prod. PP,-0.15 (0.21) ,-0.17 (0.21) ,-0.16 (0.20) ,-0.19 (0.22) ,-0.16 (0.22) ,-0.18 (0.22) ,-0.17 (0.21) ,-0.20 (0.22) ,-0.19 (0.22) ,-0.16 (0.21) 
Years since Sign.,0.47 (0.19) **,0.48 (0.18) ***,0.48 (0.18) ***,0.50 (0.19) ***,0.50 (0.18) ***,0.49 (0.18) ***,0.45 (0.19) **,0.52 (0.19) ***,0.52 (0.19) ***,0.48 (0.19) **
