"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.25 ***","0.12 ","0.03 ","0.05 ","0.10 **"
"","(0.30)","(0.12)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.69 ***","0.71 ***","0.71 ***","0.71 ***","0.71 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.97 ","0.09 ","0.14 ","0.07 ","-0.16 "
"","(1.03)","(1.03)","(1.03)","(1.03)","(1.03)"
"African","-0.26 ","-0.93 ","-0.95 ","-0.99 ","-1.14 "
"","(0.99)","(0.99)","(1.00)","(0.99)","(0.99)"
"European","-0.29 ","0.12 ","0.14 ","-0.01 ","-0.33 "
"","(1.01)","(1.02)","(1.03)","(1.03)","(1.04)"
"South-East Asia","0.45 ","0.76 ","0.88 ","0.71 ","0.67 "
"","(0.99)","(1.01)","(1.00)","(1.01)","(1.00)"
"Western Pacific","0.21 ","0.30 ","0.40 ","0.34 ","0.19 "
"","(0.98)","(1.00)","(0.99)","(0.99)","(0.99)"
"Democracy (POLITY)","-0.12 ","-0.14 ","-0.14 ","-0.13 ","-0.12 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","-0.02 ","0.06 ","0.08 ","0.06 ","0.05 "
"","(0.58)","(0.59)","(0.59)","(0.58)","(0.58)"
"Tobacco Prod. per capita","-0.12 ","-0.15 *","-0.15 *","-0.14 *","-0.13 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","1.21 ","1.59 ","1.76 ","1.67 ","1.67 "
"","(2.80)","(2.81)","(2.80)","(2.80)","(2.81)"
"% Male Smoke","-1.78 ","-2.00 ","-2.09 ","-1.89 ","-1.67 "
"","(1.68)","(1.70)","(1.70)","(1.71)","(1.70)"
"Women's Labor","0.01 ","0.01 ","0.00 ","0.01 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.00 ","0.00 ","0.01 ","0.00 ","0.00 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Bloomberg FCTC #","-0.40 ","-0.40 ","-0.41 ","-0.42 ","-0.44 "
"","(0.39)","(0.40)","(0.40)","(0.40)","(0.40)"
"Government Ownership","0.30 ","0.51 ","0.52 ","0.37 ","0.33 "
"","(0.57)","(0.58)","(0.58)","(0.59)","(0.58)"
"Control of Corruption","-1.10 **","-0.97 *","-1.01 *","-0.87 ","-0.70 "
"","(0.54)","(0.56)","(0.55)","(0.56)","(0.56)"
"Rule of Law","0.41 ","0.29 ","0.33 ","0.16 ","-0.01 "
"","(0.65)","(0.66)","(0.66)","(0.67)","(0.67)"
"Health Exp. per capita (ppp)","0.44 ","0.47 ","0.44 ","0.46 ","0.49 "
"","(0.44)","(0.45)","(0.45)","(0.44)","(0.44)"
"Years since Sign.","0.05 ","0.07 ","0.07 ","0.05 ","0.04 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"Years since Ratif.","0.03 ","0.02 ","0.03 ","0.01 ","-0.02 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.27 ","2.27 ***","1.75 ***","1.55 ***","1.54 ***"
"","(0.79)","(0.77)","(0.57)","(0.41)","(0.41)"
"Year 2016","-5.31 ***","-0.20 ","0.18 ","0.16 ","0.08 "
"","(1.41)","(0.68)","(0.55)","(0.48)","(0.48)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of FCTC Bloomberg project'. "
