"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.61 **","0.12 ","0.15 **","0.09 ***","0.09 **"
"","(0.28)","(0.09)","(0.06)","(0.03)","(0.04)"
"Lagged Y (Number of Items)","0.59 ***","0.59 ***","0.59 ***","0.58 ***","0.58 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.76 *","0.63 ","0.71 ","0.62 ","0.47 "
"","(0.44)","(0.44)","(0.44)","(0.44)","(0.44)"
"African","0.18 ","0.10 ","0.22 ","0.04 ","-0.02 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"European","0.40 ","0.63 ","0.68 ","0.50 ","0.40 "
"","(0.45)","(0.44)","(0.44)","(0.44)","(0.45)"
"South-East Asia","0.10 ","0.28 ","0.33 ","0.18 ","0.25 "
"","(0.45)","(0.44)","(0.43)","(0.44)","(0.44)"
"Western Pacific","0.71 *","0.75 *","0.75 *","0.71 *","0.70 *"
"","(0.42)","(0.43)","(0.42)","(0.42)","(0.42)"
"Democracy (POLITY)","0.00 ","0.00 ","-0.00 ","0.00 ","0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","0.02 ","0.02 ","0.03 ","0.00 ","0.02 "
"","(0.24)","(0.24)","(0.24)","(0.23)","(0.24)"
"Tobacco Prod. per capita","-0.02 ","-0.02 ","-0.02 ","-0.01 ","-0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","-0.11 ","0.00 ","0.05 ","0.10 ","0.08 "
"","(1.24)","(1.24)","(1.21)","(1.22)","(1.22)"
"% Male Smoke","-0.58 ","-0.58 ","-0.56 ","-0.56 ","-0.49 "
"","(0.73)","(0.74)","(0.73)","(0.74)","(0.73)"
"Women's Labor","-0.00 ","0.00 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.01 *","0.01 *","0.01 *","0.01 *","0.01 *"
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg #","0.07 ","0.07 ","0.07 ","0.06 ","0.07 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Government Ownership","0.12 ","0.23 ","0.24 ","0.09 ","0.14 "
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"Control of Corruption","-0.43 *","-0.41 *","-0.42 *","-0.29 ","-0.28 "
"","(0.23)","(0.23)","(0.23)","(0.23)","(0.23)"
"Rule of Law","0.31 ","0.30 ","0.31 ","0.16 ","0.14 "
"","(0.27)","(0.28)","(0.27)","(0.28)","(0.28)"
"Health Exp. per capita (ppp)","0.13 ","0.16 ","0.15 ","0.17 ","0.17 "
"","(0.18)","(0.19)","(0.18)","(0.18)","(0.18)"
"Years since Sign.","0.07 ","0.08 ","0.08 ","0.06 ","0.07 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Years since Ratif.","-0.04 ","-0.04 ","-0.04 ","-0.05 ","-0.06 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.58 *","0.50 ","0.53 **","0.06 ","0.07 "
"","(0.35)","(0.35)","(0.25)","(0.17)","(0.17)"
"Year 2016","-0.34 ","0.32 ","0.28 ","0.42 **","0.47 ***"
"","(0.41)","(0.21)","(0.20)","(0.18)","(0.18)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
