"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.49 **","-0.06 ","-0.04 ","-0.03 ","-0.02 "
"","(0.24)","(0.05)","(0.04)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.40 ***","0.40 ***","0.40 ***","0.40 ***","0.40 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"No report","-11.04 ","-11.05 ","-11.03 ","-11.01 ","-11.06 "
"","(424.17)","(443.23)","(443.10)","(437.73)","(430.66)"
"Americas","-0.19 ","-0.19 ","-0.20 ","-0.18 ","-0.18 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"African","-0.42 ***","-0.43 ***","-0.43 ***","-0.42 ***","-0.41 **"
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"European","-0.25 ","-0.24 ","-0.25 ","-0.23 ","-0.24 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Western Pacific","0.04 ","0.04 ","0.04 ","0.05 ","0.05 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"South-East Asia","-0.05 ","-0.05 ","-0.06 ","-0.05 ","-0.05 "
"","(0.09)","(0.09)","(0.09)","(0.10)","(0.10)"
"Control of Corruption","-0.33 ","-0.29 ","-0.30 ","-0.29 ","-0.29 "
"","(0.21)","(0.21)","(0.21)","(0.21)","(0.21)"
"Rule of Law","0.50 **","0.48 **","0.50 **","0.47 **","0.48 **"
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"GDP pp","-0.11 ","-0.11 ","-0.12 ","-0.11 ","-0.11 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Years since Ratif.","-0.04 ","-0.05 ","-0.05 ","-0.04 ","-0.05 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.01 ","0.02 ","0.01 ","0.01 ","0.01 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"% Female Smoke","0.13 ","0.12 ","0.13 ","0.13 ","0.13 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.10)"
"% Male Smoke","0.07 ","0.06 ","0.06 ","0.06 ","0.06 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Women's Labor","-0.10 ","-0.10 ","-0.10 ","-0.11 ","-0.10 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's rights","0.10 ","0.10 ","0.10 ","0.10 ","0.10 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"Population","0.25 ***","0.26 ***","0.25 ***","0.25 ***","0.25 ***"
"","(0.07)","(0.07)","(0.07)","(0.07)","(0.07)"
"Government Ownership","-0.21 ","-0.23 ","-0.24 ","-0.23 ","-0.21 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.23)"
"Year 2014","-0.59 ***","-0.60 ***","-0.60 ***","-0.60 ***","-0.59 ***"
"","(0.18)","(0.18)","(0.18)","(0.18)","(0.18)"
"Year 2016","-0.83 ***","-0.85 ***","-0.85 ***","-0.84 ***","-0.83 ***"
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"Health Exp.","-0.04 ","-0.05 ","-0.05 ","-0.05 ","-0.05 "
"","(0.12)","(0.13)","(0.13)","(0.13)","(0.13)"
"N","519","519","519","519","519"
"AIC","1658.77","1661.65","1661.64","1662.10","1662.42"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a dummy equal to 1 when the member did not provided a report on 2012. "
