"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.45 **","0.24 ","0.34 **","0.19 **","0.15 *"
"","(0.20)","(0.19)","(0.13)","(0.08)","(0.08)"
"Lagged Y (Number of Items)","0.56 ***","0.55 ***","0.55 ***","0.55 ***","0.55 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Bloomberg $$$ PP","-0.10 ","-0.11 ","-0.14 ","-0.10 ","-0.12 "
"","(0.12)","(0.13)","(0.14)","(0.12)","(0.13)"
"Americas","0.88 **","0.82 **","0.89 **","0.78 *","0.72 *"
"","(0.41)","(0.41)","(0.41)","(0.41)","(0.41)"
"African","0.10 ","0.03 ","0.17 ","-0.04 ","-0.08 "
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)"
"European","0.51 ","0.77 *","0.83 *","0.66 ","0.62 "
"","(0.45)","(0.44)","(0.44)","(0.44)","(0.45)"
"Western Pacific","0.84 **","0.92 **","0.91 **","0.87 **","0.90 **"
"","(0.43)","(0.43)","(0.42)","(0.43)","(0.43)"
"South-East Asia","-0.05 ","0.15 ","0.22 ","0.09 ","0.16 "
"","(0.47)","(0.46)","(0.45)","(0.46)","(0.46)"
"Control of Corruption","-0.28 ","-0.27 ","-0.29 ","-0.19 ","-0.21 "
"","(0.24)","(0.24)","(0.24)","(0.24)","(0.25)"
"Rule of Law","0.59 **","0.60 **","0.60 **","0.46 *","0.51 **"
"","(0.25)","(0.25)","(0.25)","(0.25)","(0.25)"
"GDP pp","-0.02 ","-0.01 ","0.01 ","0.02 ","-0.01 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Years since Ratif.","-0.03 ","-0.03 ","-0.02 ","-0.04 ","-0.04 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.02 ","0.03 ","0.06 ","0.04 ","0.05 "
"","(0.17)","(0.18)","(0.20)","(0.18)","(0.18)"
"% Female Smoke","-0.01 ","0.01 ","0.00 ","0.02 ","0.03 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"% Male Smoke","-0.09 ","-0.08 ","-0.07 ","-0.08 ","-0.07 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Women's Labor","-0.07 ","-0.06 ","-0.05 ","-0.05 ","-0.02 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"Women's rights","0.12 ","0.13 ","0.12 ","0.13 ","0.13 "
"","(0.09)","(0.10)","(0.10)","(0.09)","(0.09)"
"Population","0.27 ***","0.29 ***","0.29 ***","0.25 ***","0.26 ***"
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Government Ownership","0.04 ","0.15 ","0.17 ","0.05 ","0.10 "
"","(0.26)","(0.26)","(0.26)","(0.26)","(0.26)"
"Year 2014","-0.60 *","0.50 ","0.58 **","0.09 ","0.09 "
"","(0.36)","(0.35)","(0.25)","(0.18)","(0.18)"
"Year 2016","-0.29 ","0.43 **","0.37 *","0.52 ***","0.56 ***"
"","(0.42)","(0.21)","(0.20)","(0.19)","(0.19)"
"Health Exp.","-0.16 ","-0.11 ","-0.11 ","-0.13 ","-0.11 "
"","(0.14)","(0.14)","(0.14)","(0.13)","(0.14)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
