"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.04 ***","0.14 ","0.07 ","0.08 **","0.05 "
"","(0.30)","(0.11)","(0.08)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.50 ***","0.50 ***","0.49 ***","0.49 ***","0.50 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-0.25 ","-0.61 ","-0.59 ","-0.63 ","-0.66 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"African","-0.76 *","-0.94 **","-0.95 **","-0.99 **","-1.03 **"
"","(0.41)","(0.41)","(0.41)","(0.40)","(0.41)"
"European","-0.82 **","-0.69 ","-0.69 ","-0.82 *","-0.78 *"
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.43)"
"South-East Asia","-0.75 *","-0.63 ","-0.59 ","-0.71 *","-0.65 "
"","(0.41)","(0.42)","(0.42)","(0.42)","(0.42)"
"Western Pacific","-0.40 ","-0.31 ","-0.32 ","-0.36 ","-0.33 "
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.40)"
"Democracy (POLITY)","-0.01 ","-0.01 ","-0.01 ","-0.01 ","-0.01 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","0.06 ","0.08 ","0.09 ","0.08 ","0.08 "
"","(0.22)","(0.22)","(0.22)","(0.22)","(0.22)"
"Tobacco Prod. per capita","-0.07 **","-0.08 **","-0.08 **","-0.07 **","-0.07 **"
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","0.98 ","1.12 ","1.22 ","1.36 ","1.16 "
"","(1.15)","(1.17)","(1.17)","(1.16)","(1.16)"
"% Male Smoke","-0.30 ","-0.33 ","-0.40 ","-0.25 ","-0.32 "
"","(0.75)","(0.76)","(0.77)","(0.78)","(0.77)"
"Women's Labor","0.01 ","0.00 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Women's rights","0.01 ","0.01 ","0.01 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Bloomberg $$$ PP","0.28 ","0.27 ","0.28 ","0.30 ","0.27 "
"","(0.30)","(0.31)","(0.31)","(0.31)","(0.31)"
"Government Ownership","0.06 ","0.11 ","0.13 ","0.02 ","0.09 "
"","(0.23)","(0.24)","(0.24)","(0.24)","(0.24)"
"Control of Corruption","-0.35 ","-0.33 ","-0.34 ","-0.23 ","-0.27 "
"","(0.22)","(0.23)","(0.23)","(0.23)","(0.23)"
"Rule of Law","0.36 ","0.34 ","0.35 ","0.24 ","0.27 "
"","(0.27)","(0.27)","(0.27)","(0.28)","(0.28)"
"Health Exp. per capita (ppp)","-0.03 ","-0.01 ","-0.02 ","-0.02 ","-0.02 "
"","(0.16)","(0.16)","(0.16)","(0.16)","(0.16)"
"Years since Sign.","0.04 ","0.04 ","0.04 ","0.03 ","0.04 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"Years since Ratif.","0.01 ","0.01 ","0.01 ","0.01 ","0.00 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-3.03 ***","-0.23 ","-0.34 ","-0.57 ***","-0.54 **"
"","(0.77)","(0.26)","(0.23)","(0.20)","(0.21)"
"Year 2016","-3.52 ***","-1.28 ***","-1.04 ***","-0.98 ***","-0.96 ***"
"","(0.80)","(0.40)","(0.31)","(0.22)","(0.23)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of Bloomberg funds'. "
