"Article 6","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.73 ***","0.14 ","0.17 ***","0.12 ***","0.11 ***"
"","(0.28)","(0.09)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.62 ***","0.62 ***","0.62 ***","0.60 ***","0.61 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.81 *","0.66 ","0.74 *","0.69 *","0.52 "
"","(0.42)","(0.41)","(0.41)","(0.41)","(0.41)"
"African","0.28 ","0.19 ","0.31 ","0.11 ","0.04 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.42)"
"European","0.37 ","0.63 ","0.69 ","0.49 ","0.37 "
"","(0.44)","(0.43)","(0.43)","(0.43)","(0.44)"
"South-East Asia","0.08 ","0.30 ","0.36 ","0.19 ","0.29 "
"","(0.45)","(0.44)","(0.43)","(0.43)","(0.43)"
"Western Pacific","0.69 *","0.73 *","0.74 *","0.67 ","0.66 "
"","(0.42)","(0.42)","(0.41)","(0.41)","(0.41)"
"Democracy (POLITY)","0.01 ","0.01 ","0.00 ","0.00 ","0.02 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"GDP per capita (ppp)","-0.00 ","-0.00 ","0.02 ","-0.04 ","-0.02 "
"","(0.23)","(0.23)","(0.23)","(0.23)","(0.23)"
"Tobacco Prod. per capita","-0.02 ","-0.02 ","-0.02 ","-0.01 ","-0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"% Female Smoke","0.03 ","0.19 ","0.23 ","0.24 ","0.22 "
"","(1.23)","(1.23)","(1.20)","(1.20)","(1.21)"
"% Male Smoke","-0.72 ","-0.75 ","-0.71 ","-0.62 ","-0.55 "
"","(0.70)","(0.70)","(0.70)","(0.70)","(0.70)"
"Women's Labor","-0.00 ","0.00 ","0.00 ","0.00 ","0.01 "
"","(0.01)","(0.01)","(0.01)","(0.01)","(0.01)"
"Government Ownership","0.13 ","0.27 ","0.28 ","0.10 ","0.17 "
"","(0.25)","(0.25)","(0.24)","(0.25)","(0.25)"
"Health Exp. per capita (ppp)","0.10 ","0.14 ","0.13 ","0.15 ","0.16 "
"","(0.17)","(0.17)","(0.17)","(0.17)","(0.17)"
"Years since Ratif.","-0.03 ","-0.02 ","-0.02 ","-0.04 ","-0.05 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Year 2014","-0.66 *","0.59 *","0.59 **","0.12 ","0.15 "
"","(0.35)","(0.36)","(0.26)","(0.18)","(0.19)"
"Year 2016","-0.43 ","0.32 ","0.27 ","0.51 **","0.62 ***"
"","(0.42)","(0.25)","(0.24)","(0.23)","(0.23)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
