"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.45 ","-0.03 ","-0.07 ","0.05 ","0.15 ***"
"","(0.37)","(0.13)","(0.09)","(0.05)","(0.06)"
"Americas","-4.75 ***","-5.39 ***","-5.47 ***","-5.42 ***","-5.87 ***"
"","(1.38)","(1.29)","(1.29)","(1.28)","(1.29)"
"African","-3.17 **","-3.49 ***","-3.61 ***","-3.50 ***","-3.74 ***"
"","(1.27)","(1.25)","(1.26)","(1.25)","(1.24)"
"European","-2.45 *","-2.38 *","-2.44 *","-2.49 *","-3.06 **"
"","(1.28)","(1.28)","(1.28)","(1.29)","(1.30)"
"South-East Asia","-2.31 *","-2.16 *","-2.25 *","-2.35 *","-2.45 *"
"","(1.27)","(1.27)","(1.27)","(1.28)","(1.26)"
"Western Pacific","-1.63 ","-1.70 ","-1.77 ","-1.83 ","-2.15 *"
"","(1.23)","(1.23)","(1.23)","(1.23)","(1.23)"
"Democracy (POLITY)","-0.06 ","-0.06 ","-0.06 ","-0.05 ","-0.03 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.12)"
"GDP per capita (ppp)","0.19 ","0.22 ","0.23 ","0.19 ","0.16 "
"","(0.71)","(0.72)","(0.71)","(0.71)","(0.71)"
"Tobacco Prod. per capita","-0.16 *","-0.18 *","-0.18 *","-0.16 ","-0.13 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"% Female Smoke","3.31 ","3.79 ","3.73 ","3.52 ","3.63 "
"","(3.45)","(3.43)","(3.45)","(3.43)","(3.39)"
"% Male Smoke","-5.14 **","-5.36 **","-5.31 **","-5.10 **","-4.71 *"
"","(2.45)","(2.44)","(2.42)","(2.45)","(2.44)"
"Women's Labor","0.04 ","0.04 ","0.04 ","0.05 ","0.06 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Women's rights","0.04 *","0.04 *","0.04 *","0.04 *","0.03 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Government Ownership","1.14 ","1.27 *","1.30 *","1.13 ","0.99 "
"","(0.73)","(0.72)","(0.72)","(0.73)","(0.72)"
"Control of Corruption","-0.63 ","-0.64 ","-0.65 ","-0.46 ","-0.20 "
"","(0.68)","(0.69)","(0.68)","(0.70)","(0.69)"
"Rule of Law","-0.31 ","-0.29 ","-0.28 ","-0.51 ","-0.79 "
"","(0.83)","(0.83)","(0.83)","(0.85)","(0.84)"
"Health Exp. per capita (ppp)","0.48 ","0.48 ","0.48 ","0.51 ","0.57 "
"","(0.56)","(0.56)","(0.56)","(0.56)","(0.55)"
"Years since Sign.","0.22 ","0.24 ","0.25 ","0.21 ","0.18 "
"","(0.18)","(0.18)","(0.18)","(0.18)","(0.18)"
"Years since Ratif.","0.46 ***","0.45 ***","0.45 ***","0.44 ***","0.39 ***"
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Year 2014","0.35 ","1.05 ","0.83 ","1.23 **","1.09 **"
"","(0.92)","(1.08)","(0.73)","(0.50)","(0.50)"
"Year 2016","-0.07 ","1.04 *","1.13 **","0.93 *","0.95 *"
"","(1.02)","(0.54)","(0.53)","(0.50)","(0.50)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This is the baseline specification. "
