"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.27 ***","0.19 *","0.05 ","0.03 ","0.10 **"
"","(0.28)","(0.11)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.64 ***","0.66 ***","0.66 ***","0.66 ***","0.66 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","1.67 *","0.79 ","0.87 ","0.85 ","0.64 "
"","(0.92)","(0.93)","(0.93)","(0.93)","(0.93)"
"African","0.29 ","-0.32 ","-0.35 ","-0.43 ","-0.60 "
"","(0.94)","(0.95)","(0.96)","(0.95)","(0.95)"
"European","0.30 ","0.75 ","0.77 ","0.68 ","0.30 "
"","(0.95)","(0.96)","(0.96)","(0.97)","(0.97)"
"South-East Asia","1.65 *","1.94 **","2.11 **","1.99 **","1.88 *"
"","(0.97)","(0.99)","(0.99)","(0.99)","(0.98)"
"Western Pacific","0.87 ","0.90 ","1.05 ","1.03 ","0.82 "
"","(0.92)","(0.94)","(0.94)","(0.94)","(0.94)"
"Democracy (POLITY)","-0.18 **","-0.20 **","-0.20 **","-0.21 **","-0.20 **"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"GDP per capita (ppp)","-0.11 ","-0.05 ","-0.02 ","-0.04 ","-0.10 "
"","(0.56)","(0.57)","(0.58)","(0.57)","(0.56)"
"Tobacco Prod. per capita","-0.13 ","-0.16 **","-0.17 **","-0.16 *","-0.14 *"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","2.47 ","2.72 ","2.98 ","2.85 ","2.72 "
"","(2.85)","(2.86)","(2.86)","(2.87)","(2.88)"
"% Male Smoke","-0.64 ","-0.76 ","-0.92 ","-0.78 ","-0.46 "
"","(1.71)","(1.73)","(1.72)","(1.72)","(1.70)"
"Women's Labor","-0.02 ","-0.02 ","-0.02 ","-0.02 ","-0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Government Ownership","0.09 ","0.31 ","0.33 ","0.25 ","0.14 "
"","(0.55)","(0.55)","(0.55)","(0.56)","(0.55)"
"Health Exp. per capita (ppp)","0.18 ","0.24 ","0.20 ","0.21 ","0.26 "
"","(0.42)","(0.43)","(0.43)","(0.43)","(0.42)"
"Years since Ratif.","-0.14 ","-0.14 ","-0.13 ","-0.14 ","-0.19 *"
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Year 2014","-1.61 **","2.30 ***","1.51 ***","1.24 ***","1.21 ***"
"","(0.75)","(0.73)","(0.55)","(0.40)","(0.39)"
"Year 2016","-5.47 ***","-0.60 ","-0.00 ","0.10 ","-0.05 "
"","(1.33)","(0.64)","(0.52)","(0.46)","(0.45)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
