"Article 13","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.67 **","0.03 ","-0.02 ","0.02 ","0.10 **"
"","(0.30)","(0.10)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.53 ***","0.53 ***","0.52 ***","0.52 ***","0.52 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","-1.51 ","-2.44 **","-2.49 **","-2.45 **","-2.73 ***"
"","(1.05)","(0.98)","(0.98)","(0.98)","(0.98)"
"African","-1.29 ","-1.70 *","-1.77 *","-1.74 *","-1.95 **"
"","(1.00)","(0.99)","(1.00)","(0.99)","(0.99)"
"European","-1.57 ","-1.43 ","-1.47 ","-1.48 ","-1.91 *"
"","(0.99)","(0.99)","(0.99)","(0.99)","(1.01)"
"South-East Asia","-0.18 ","0.01 ","0.00 ","-0.02 ","-0.16 "
"","(1.03)","(1.03)","(1.03)","(1.03)","(1.02)"
"Western Pacific","-0.10 ","-0.27 ","-0.27 ","-0.29 ","-0.57 "
"","(0.96)","(0.97)","(0.97)","(0.97)","(0.97)"
"Democracy (POLITY)","-0.17 **","-0.18 **","-0.18 **","-0.18 **","-0.17 **"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"GDP per capita (ppp)","-0.16 ","-0.14 ","-0.12 ","-0.14 ","-0.21 "
"","(0.56)","(0.56)","(0.56)","(0.56)","(0.55)"
"Tobacco Prod. per capita","-0.10 ","-0.12 ","-0.12 ","-0.11 ","-0.09 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","5.89 *","6.55 **","6.58 **","6.48 **","6.37 **"
"","(3.01)","(3.05)","(3.05)","(3.06)","(3.03)"
"% Male Smoke","-2.39 ","-2.65 ","-2.70 ","-2.60 ","-2.24 "
"","(1.93)","(1.93)","(1.92)","(1.94)","(1.93)"
"Women's Labor","0.02 ","0.02 ","0.02 ","0.03 ","0.04 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Government Ownership","-0.18 ","0.04 ","0.05 ","0.00 ","-0.15 "
"","(0.58)","(0.57)","(0.58)","(0.58)","(0.58)"
"Health Exp. per capita (ppp)","0.05 ","0.09 ","0.08 ","0.09 ","0.15 "
"","(0.42)","(0.42)","(0.42)","(0.42)","(0.41)"
"Years since Ratif.","-0.04 ","-0.03 ","-0.03 ","-0.04 ","-0.08 "
"","(0.10)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.87 **","-0.27 ","-0.63 ","-0.51 ","-0.53 "
"","(0.74)","(0.86)","(0.60)","(0.44)","(0.44)"
"Year 2016","-2.78 ***","-1.28 **","-1.18 **","-1.23 **","-1.06 *"
"","(0.88)","(0.58)","(0.57)","(0.55)","(0.55)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. Also, it only includes members that provided a reported on 2012. "
