"Article 8","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.18 ***","0.26 ","0.15 ","0.14 *","0.04 "
"","(0.37)","(0.22)","(0.16)","(0.09)","(0.09)"
"Lagged Y (Number of Items)","0.48 ***","0.48 ***","0.48 ***","0.48 ***","0.48 ***"
"","(0.05)","(0.05)","(0.05)","(0.05)","(0.05)"
"Bloomberg FCTC $$$ PP","0.06 ","0.06 ","0.06 ","0.06 ","0.06 "
"","(0.08)","(0.09)","(0.08)","(0.09)","(0.09)"
"Americas","-0.50 ","-0.79 **","-0.78 *","-0.82 **","-0.81 **"
"","(0.40)","(0.40)","(0.40)","(0.40)","(0.40)"
"African","-0.94 **","-1.09 ***","-1.09 **","-1.15 ***","-1.16 ***"
"","(0.42)","(0.42)","(0.43)","(0.42)","(0.42)"
"European","-0.91 **","-0.75 *","-0.75 *","-0.84 *","-0.78 *"
"","(0.43)","(0.43)","(0.43)","(0.44)","(0.44)"
"Western Pacific","-0.56 ","-0.47 ","-0.49 ","-0.51 ","-0.47 "
"","(0.41)","(0.42)","(0.42)","(0.42)","(0.42)"
"South-East Asia","-1.10 **","-0.99 **","-0.95 **","-1.03 **","-0.98 **"
"","(0.43)","(0.43)","(0.43)","(0.43)","(0.43)"
"Control of Corruption","-0.11 ","-0.12 ","-0.12 ","-0.05 ","-0.10 "
"","(0.23)","(0.23)","(0.23)","(0.24)","(0.24)"
"Rule of Law","0.40 *","0.38 ","0.38 ","0.30 ","0.36 "
"","(0.24)","(0.24)","(0.24)","(0.25)","(0.25)"
"GDP pp","-0.10 ","-0.06 ","-0.07 ","-0.06 ","-0.06 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Years since Ratif.","-0.00 ","0.01 ","0.01 ","-0.00 ","0.00 "
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Tobacco Prod. PP","0.03 ","0.02 ","0.02 ","0.02 ","0.02 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"% Female Smoke","0.02 ","0.05 ","0.05 ","0.07 ","0.05 "
"","(0.12)","(0.13)","(0.13)","(0.13)","(0.13)"
"% Male Smoke","-0.06 ","-0.05 ","-0.06 ","-0.05 ","-0.05 "
"","(0.10)","(0.11)","(0.10)","(0.11)","(0.10)"
"Women's Labor","0.05 ","0.04 ","0.04 ","0.04 ","0.05 "
"","(0.12)","(0.12)","(0.12)","(0.12)","(0.13)"
"Women's rights","0.01 ","0.01 ","0.01 ","0.01 ","0.01 "
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Population","0.27 ***","0.29 ***","0.29 ***","0.26 ***","0.28 ***"
"","(0.09)","(0.09)","(0.09)","(0.09)","(0.09)"
"Government Ownership","-0.07 ","-0.02 ","-0.00 ","-0.08 ","-0.02 "
"","(0.24)","(0.25)","(0.25)","(0.25)","(0.25)"
"Year 2014","-2.83 ***","-0.26 ","-0.35 ","-0.56 ***","-0.50 **"
"","(0.77)","(0.26)","(0.24)","(0.21)","(0.22)"
"Year 2016","-3.35 ***","-1.23 ***","-1.04 ***","-0.94 ***","-0.88 ***"
"","(0.82)","(0.41)","(0.32)","(0.24)","(0.25)"
"Health Exp.","-0.11 ","-0.08 ","-0.08 ","-0.09 ","-0.09 "
"","(0.14)","(0.15)","(0.15)","(0.14)","(0.14)"
"N","480","480","480","480","480"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
