"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.25 ***","0.12 ","0.03 ","0.05 ","0.10 **"
"","(0.30)","(0.12)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.69 ***","0.71 ***","0.71 ***","0.70 ***","0.70 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","0.92 ","0.04 ","0.09 ","0.03 ","-0.20 "
"","(1.04)","(1.03)","(1.03)","(1.03)","(1.04)"
"African","-0.26 ","-0.93 ","-0.95 ","-0.99 ","-1.14 "
"","(0.99)","(0.99)","(1.00)","(0.99)","(0.99)"
"European","-0.36 ","0.05 ","0.07 ","-0.07 ","-0.39 "
"","(1.02)","(1.03)","(1.03)","(1.03)","(1.04)"
"South-East Asia","0.36 ","0.66 ","0.80 ","0.64 ","0.59 "
"","(1.01)","(1.03)","(1.02)","(1.03)","(1.02)"
"Western Pacific","0.04 ","0.11 ","0.23 ","0.17 ","0.01 "
"","(0.98)","(1.00)","(1.00)","(1.00)","(1.00)"
"Democracy (POLITY)","-0.12 ","-0.14 ","-0.14 ","-0.13 ","-0.12 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","-0.02 ","0.06 ","0.09 ","0.07 ","0.06 "
"","(0.58)","(0.59)","(0.59)","(0.58)","(0.58)"
"Tobacco Prod. per capita","-0.12 ","-0.15 *","-0.16 **","-0.14 *","-0.13 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","1.29 ","1.67 ","1.84 ","1.75 ","1.75 "
"","(2.81)","(2.82)","(2.81)","(2.81)","(2.82)"
"% Male Smoke","-1.82 ","-2.04 ","-2.14 ","-1.94 ","-1.73 "
"","(1.68)","(1.70)","(1.71)","(1.71)","(1.71)"
"Women's Labor","0.01 ","0.01 ","0.01 ","0.01 ","0.02 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.00 ","0.00 ","0.00 ","0.00 ","0.00 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"Bloomberg #","0.01 ","0.02 ","0.01 ","0.00 ","0.01 "
"","(0.13)","(0.13)","(0.13)","(0.13)","(0.13)"
"Government Ownership","0.30 ","0.51 ","0.52 ","0.38 ","0.34 "
"","(0.58)","(0.58)","(0.58)","(0.59)","(0.59)"
"Control of Corruption","-1.08 **","-0.95 *","-0.99 *","-0.86 ","-0.69 "
"","(0.55)","(0.56)","(0.56)","(0.57)","(0.57)"
"Rule of Law","0.40 ","0.27 ","0.31 ","0.15 ","-0.02 "
"","(0.66)","(0.67)","(0.67)","(0.68)","(0.68)"
"Health Exp. per capita (ppp)","0.46 ","0.49 ","0.46 ","0.48 ","0.50 "
"","(0.44)","(0.45)","(0.45)","(0.44)","(0.44)"
"Years since Sign.","0.04 ","0.06 ","0.06 ","0.04 ","0.03 "
"","(0.14)","(0.14)","(0.14)","(0.14)","(0.14)"
"Years since Ratif.","0.03 ","0.02 ","0.03 ","0.01 ","-0.02 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.24 ","2.32 ***","1.78 ***","1.58 ***","1.58 ***"
"","(0.79)","(0.78)","(0.57)","(0.41)","(0.41)"
"Year 2016","-5.22 ***","-0.12 ","0.27 ","0.25 ","0.17 "
"","(1.41)","(0.68)","(0.55)","(0.49)","(0.48)"
"N","1002","1002","1002","1002","1002"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'Number of Bloomberg project'. "
