"Article 14","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","0.06 ","0.00 ","0.10 *","-0.01 ","0.05 *"
"","(0.26)","(0.08)","(0.06)","(0.03)","(0.03)"
"Lagged Y (Number of Items)","0.63 ***","0.63 ***","0.64 ***","0.63 ***","0.63 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","1.35 ","1.28 ","1.61 ","1.26 ","0.89 "
"","(1.89)","(1.86)","(1.87)","(1.86)","(1.87)"
"African","0.80 ","0.72 ","1.26 ","0.76 ","0.44 "
"","(1.93)","(1.90)","(1.92)","(1.90)","(1.90)"
"European","1.16 ","1.25 ","1.51 ","1.31 ","0.59 "
"","(2.00)","(1.96)","(1.96)","(1.97)","(1.99)"
"South-East Asia","3.42 *","3.45 *","3.47 *","3.57 *","3.30 *"
"","(2.01)","(2.02)","(1.99)","(2.02)","(2.00)"
"Western Pacific","2.73 ","2.74 ","2.47 ","2.85 ","2.39 "
"","(1.94)","(1.96)","(1.93)","(1.95)","(1.94)"
"Democracy (POLITY)","-0.09 ","-0.09 ","-0.11 ","-0.09 ","-0.08 "
"","(0.17)","(0.17)","(0.16)","(0.17)","(0.17)"
"GDP per capita (ppp)","0.10 ","0.12 ","0.09 ","0.17 ","0.01 "
"","(1.04)","(1.04)","(1.03)","(1.04)","(1.05)"
"Tobacco Prod. per capita","-0.12 ","-0.13 ","-0.13 ","-0.14 ","-0.08 "
"","(0.14)","(0.13)","(0.13)","(0.14)","(0.14)"
"% Female Smoke","2.00 ","2.22 ","1.91 ","2.47 ","1.88 "
"","(5.48)","(5.39)","(5.31)","(5.41)","(5.38)"
"% Male Smoke","1.99 ","1.93 ","2.34 ","1.84 ","2.47 "
"","(3.65)","(3.65)","(3.61)","(3.63)","(3.66)"
"Women's Labor","-0.04 ","-0.04 ","-0.03 ","-0.04 ","-0.02 "
"","(0.06)","(0.06)","(0.06)","(0.06)","(0.06)"
"PolShift","-0.43 ","-0.43 ","-0.46 ","-0.42 ","-0.44 "
"","(1.00)","(1.00)","(0.99)","(1.00)","(1.02)"
"Bloomberg FCTC #","0.19 ","0.19 ","0.15 ","0.22 ","0.15 "
"","(0.77)","(0.77)","(0.77)","(0.77)","(0.77)"
"Government Ownership","-0.60 ","-0.57 ","-0.55 ","-0.48 ","-0.87 "
"","(1.13)","(1.12)","(1.12)","(1.14)","(1.13)"
"Health Exp. per capita (ppp)","1.72 **","1.73 **","1.72 **","1.70 **","1.86 **"
"","(0.77)","(0.78)","(0.77)","(0.78)","(0.79)"
"Years since Ratif.","-0.57 ***","-0.56 ***","-0.55 ***","-0.55 ***","-0.64 ***"
"","(0.20)","(0.20)","(0.20)","(0.20)","(0.20)"
"Year 2014","-2.60 ","-2.21 ","-0.99 ","-2.20 ***","-2.47 ***"
"","(1.73)","(1.41)","(1.07)","(0.80)","(0.80)"
"Year 2016","-4.05 **","-3.67 ***","-4.33 ***","-3.61 ***","-3.69 ***"
"","(1.92)","(1.09)","(0.92)","(0.84)","(0.83)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes Bloomberg FCTC count, Political Shifts, and a lagged number of items implemented. "
