"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.28 ***","0.17 ","0.04 ","0.02 ","0.09 **"
"","(0.28)","(0.11)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.64 ***","0.66 ***","0.66 ***","0.66 ***","0.66 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","1.33 ","0.42 ","0.48 ","0.45 ","0.19 "
"","(0.99)","(1.00)","(1.00)","(1.00)","(1.00)"
"African","0.29 ","-0.36 ","-0.38 ","-0.45 ","-0.61 "
"","(0.95)","(0.96)","(0.97)","(0.97)","(0.96)"
"European","0.06 ","0.52 ","0.54 ","0.45 ","0.09 "
"","(0.97)","(0.98)","(0.98)","(0.99)","(0.99)"
"South-East Asia","1.74 *","2.05 **","2.21 **","2.12 **","1.98 **"
"","(0.97)","(0.99)","(0.99)","(0.99)","(0.98)"
"Western Pacific","1.04 ","1.10 ","1.24 ","1.24 ","1.04 "
"","(0.95)","(0.97)","(0.97)","(0.97)","(0.97)"
"Democracy (POLITY)","-0.12 ","-0.13 ","-0.14 ","-0.14 ","-0.12 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"GDP per capita (ppp)","-0.01 ","0.07 ","0.09 ","0.09 ","0.05 "
"","(0.57)","(0.59)","(0.59)","(0.58)","(0.58)"
"Tobacco Prod. per capita","-0.13 ","-0.16 **","-0.16 **","-0.15 *","-0.13 *"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","2.32 ","2.62 ","2.83 ","2.73 ","2.65 "
"","(2.78)","(2.80)","(2.79)","(2.80)","(2.81)"
"% Male Smoke","-1.24 ","-1.39 ","-1.52 ","-1.43 ","-1.19 "
"","(1.79)","(1.81)","(1.80)","(1.80)","(1.78)"
"Women's Labor","-0.01 ","-0.01 ","-0.01 ","-0.01 ","-0.00 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Women's rights","0.01 ","0.01 ","0.01 ","0.01 ","0.00 "
"","(0.02)","(0.02)","(0.02)","(0.02)","(0.02)"
"PolShift","0.20 ","0.17 ","0.17 ","0.17 ","0.17 "
"","(0.50)","(0.53)","(0.53)","(0.53)","(0.51)"
"Bloomberg FCTC #","-0.37 ","-0.37 ","-0.38 ","-0.39 ","-0.41 "
"","(0.38)","(0.38)","(0.38)","(0.38)","(0.38)"
"Government Ownership","-0.08 ","0.16 ","0.17 ","0.10 ","-0.02 "
"","(0.56)","(0.57)","(0.57)","(0.57)","(0.57)"
"Control of Corruption","-1.04 **","-0.90 *","-0.96 *","-0.91 *","-0.68 "
"","(0.52)","(0.53)","(0.53)","(0.54)","(0.54)"
"Rule of Law","0.31 ","0.18 ","0.22 ","0.16 ","-0.09 "
"","(0.63)","(0.64)","(0.64)","(0.65)","(0.65)"
"Health Exp. per capita (ppp)","0.39 ","0.43 ","0.40 ","0.40 ","0.45 "
"","(0.44)","(0.45)","(0.45)","(0.44)","(0.44)"
"Years since Sign.","-0.03 ","-0.04 ","-0.03 ","-0.04 ","-0.06 "
"","(0.14)","(0.14)","(0.14)","(0.15)","(0.14)"
"Years since Ratif.","-0.10 ","-0.10 ","-0.09 ","-0.10 ","-0.14 "
"","(0.11)","(0.11)","(0.11)","(0.11)","(0.11)"
"Year 2014","-1.72 **","2.12 ***","1.44 ***","1.18 ***","1.15 ***"
"","(0.75)","(0.73)","(0.55)","(0.40)","(0.39)"
"Year 2016","-5.69 ***","-0.64 ","-0.12 ","-0.02 ","-0.18 "
"","(1.33)","(0.64)","(0.52)","(0.47)","(0.46)"
"N","478","478","478","478","478"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes Bloomberg FCTC count, Political Shifts, and a lagged number of items implemented. "
