Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
rho,0.14 (0.12) ,0.04 (0.09) ,0.03 (0.08) ,0.15 (0.21) ,0.09 (0.07) ,-0.01 (0.12) ,0.03 (0.08) ,-0.23 (0.16) ,-0.39 (0.14) ***,0.03 (0.08) 
Gov. Ownership,1.31 (0.65) **,1.30 (0.65) **,1.28 (0.65) **,1.28 (0.65) *,1.21 (0.64) *,1.29 (0.65) **,1.26 (0.66) *,1.38 (0.68) **,1.36 (0.69) *,1.30 (0.65) **
Tobacco Prod. PP,-0.06 (0.21) ,-0.08 (0.22) ,-0.08 (0.21) ,-0.08 (0.22) ,-0.07 (0.21) ,-0.07 (0.22) ,-0.08 (0.21) ,-0.10 (0.23) ,-0.09 (0.25) ,-0.07 (0.22) 
Years since Sign.,0.43 (0.19) **,0.44 (0.19) **,0.44 (0.19) **,0.46 (0.20) **,0.42 (0.18) **,0.44 (0.19) **,0.44 (0.19) **,0.50 (0.20) **,0.52 (0.21) **,0.44 (0.19) **
Years since Ratif.,0.73 (0.14) ***,0.72 (0.13) ***,0.72 (0.13) ***,0.73 (0.14) ***,0.72 (0.13) ***,0.72 (0.14) ***,0.71 (0.14) ***,0.76 (0.15) ***,0.88 (0.16) ***,0.71 (0.14) ***
GDP pp,0.19 (0.23) ,0.22 (0.22) ,0.23 (0.22) ,0.22 (0.23) ,0.23 (0.22) ,0.24 (0.22) ,0.23 (0.22) ,0.15 (0.24) ,0.15 (0.24) ,0.24 (0.22) 
Democracy,0.41 (0.26) ,0.41 (0.26) ,0.42 (0.26) ,0.45 (0.27) *,0.44 (0.26) *,0.41 (0.26) ,0.40 (0.26) ,0.37 (0.27) ,0.23 (0.29) ,0.43 (0.26) 
Bloomberg FCTC Amount,0.14 (0.20) ,0.14 (0.20) ,0.15 (0.20) ,0.16 (0.20) ,0.17 (0.20) ,0.14 (0.20) ,0.14 (0.20) ,0.11 (0.21) ,0.07 (0.22) ,0.15 (0.19) 
Art. 6
rho,0.15 (0.11) ,0.06 (0.09) ,0.05 (0.09) ,0.21 (0.23) ,0.00 (0.08) ,0.08 (0.11) ,0.13 (0.07) *,-0.18 (0.15) ,-0.16 (0.14) ,0.08 (0.08) 
Gov. Ownership,1.27 (0.61) **,1.22 (0.60) **,1.24 (0.61) **,1.22 (0.61) **,1.24 (0.62) **,1.25 (0.61) **,1.03 (0.61) *,1.30 (0.63) **,1.26 (0.61) **,1.18 (0.60) *
Tobacco Prod. PP,-0.15 (0.21) ,-0.18 (0.22) ,-0.17 (0.21) ,-0.19 (0.22) ,-0.16 (0.21) ,-0.18 (0.22) ,-0.17 (0.21) ,-0.19 (0.22) ,-0.19 (0.22) ,-0.17 (0.21) 
Years since Sign.,0.46 (0.18) **,0.48 (0.18) ***,0.49 (0.19) ***,0.50 (0.19) ***,0.49 (0.18) ***,0.48 (0.19) ***,0.44 (0.18) **,0.52 (0.19) ***,0.51 (0.19) ***,0.46 (0.18) ***
Years since Ratif.,0.66 (0.13) ***,0.65 (0.13) ***,0.66 (0.13) ***,0.67 (0.13) ***,0.66 (0.13) ***,0.65 (0.13) ***,0.64 (0.13) ***,0.70 (0.14) ***,0.70 (0.14) ***,0.63 (0.13) ***
GDP pp,0.45 (0.21) **,0.47 (0.21) **,0.48 (0.21) **,0.47 (0.22) **,0.50 (0.21) **,0.49 (0.21) **,0.45 (0.21) **,0.42 (0.22) *,0.46 (0.21) **,0.53 (0.21) **
Democracy,0.43 (0.24) *,0.42 (0.24) *,0.42 (0.24) *,0.45 (0.25) *,0.41 (0.25) ,0.39 (0.24) ,0.41 (0.25) *,0.38 (0.25) ,0.34 (0.26) ,0.45 (0.25) *
Bloomberg FCTC Amount,0.04 (0.18) ,0.05 (0.18) ,0.06 (0.18) ,0.06 (0.18) ,0.06 (0.18) ,0.05 (0.18) ,0.05 (0.18) ,0.03 (0.19) ,0.03 (0.19) ,0.06 (0.18) 
Art. 8
rho,0.01 (0.12) ,0.11 (0.08) ,0.03 (0.08) ,0.14 (0.16) ,0.08 (0.07) ,0.02 (0.09) ,0.09 (0.07) ,-0.02 (0.16) ,-0.01 (0.13) ,0.11 (0.08) 
Gov. Ownership,0.78 (0.49) ,0.71 (0.50) ,0.77 (0.50) ,0.79 (0.50) ,0.74 (0.49) ,0.78 (0.49) ,0.63 (0.49) ,0.80 (0.49) ,0.79 (0.49) ,0.71 (0.48) 
Tobacco Prod. PP,-0.23 (0.18) ,-0.24 (0.17) ,-0.23 (0.17) ,-0.24 (0.17) ,-0.23 (0.18) ,-0.23 (0.18) ,-0.22 (0.18) ,-0.24 (0.18) ,-0.23 (0.18) ,-0.24 (0.18) 
