"Article 11","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Lagged Exposure (rho)","1.23 ***","0.14 ","0.03 ","0.06 ","0.11 ***"
"","(0.30)","(0.12)","(0.07)","(0.04)","(0.04)"
"Lagged Y (Number of Items)","0.70 ***","0.71 ***","0.71 ***","0.71 ***","0.71 ***"
"","(0.04)","(0.04)","(0.04)","(0.04)","(0.04)"
"Americas","1.23 ","0.36 ","0.42 ","0.40 ","0.19 "
"","(0.97)","(0.97)","(0.97)","(0.97)","(0.97)"
"African","-0.21 ","-0.85 ","-0.88 ","-0.92 ","-1.10 "
"","(0.99)","(1.00)","(1.00)","(0.99)","(0.99)"
"European","-0.13 ","0.24 ","0.25 ","0.10 ","-0.24 "
"","(1.00)","(1.01)","(1.01)","(1.01)","(1.02)"
"South-East Asia","0.36 ","0.65 ","0.78 ","0.61 ","0.59 "
"","(1.00)","(1.01)","(1.01)","(1.01)","(1.00)"
"Western Pacific","0.06 ","0.10 ","0.22 ","0.14 ","-0.03 "
"","(0.96)","(0.98)","(0.98)","(0.98)","(0.97)"
"Democracy (POLITY)","-0.17 **","-0.19 **","-0.19 **","-0.19 **","-0.18 **"
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"GDP per capita (ppp)","-0.07 ","-0.00 ","0.02 ","-0.02 ","-0.05 "
"","(0.57)","(0.58)","(0.58)","(0.57)","(0.56)"
"Tobacco Prod. per capita","-0.12 ","-0.15 *","-0.16 **","-0.13 *","-0.12 "
"","(0.08)","(0.08)","(0.08)","(0.08)","(0.08)"
"% Female Smoke","1.27 ","1.59 ","1.81 ","1.65 ","1.59 "
"","(2.87)","(2.86)","(2.85)","(2.86)","(2.86)"
"% Male Smoke","-1.13 ","-1.32 ","-1.44 ","-1.11 ","-0.84 "
"","(1.58)","(1.60)","(1.60)","(1.61)","(1.61)"
"Women's Labor","-0.00 ","-0.00 ","-0.00 ","-0.00 ","0.01 "
"","(0.03)","(0.03)","(0.03)","(0.03)","(0.03)"
"Government Ownership","0.44 ","0.65 ","0.67 ","0.49 ","0.46 "
"","(0.57)","(0.57)","(0.58)","(0.58)","(0.58)"
"Health Exp. per capita (ppp)","0.23 ","0.28 ","0.24 ","0.26 ","0.29 "
"","(0.42)","(0.43)","(0.43)","(0.42)","(0.42)"
"Years since Ratif.","0.01 ","0.01 ","0.01 ","-0.01 ","-0.05 "
"","(0.10)","(0.10)","(0.10)","(0.10)","(0.10)"
"Year 2014","-1.18 ","2.43 ***","1.79 ***","1.61 ***","1.68 ***"
"","(0.80)","(0.78)","(0.58)","(0.44)","(0.44)"
"Year 2016","-5.13 ***","-0.23 ","0.23 ","0.28 ","0.36 "
"","(1.44)","(0.74)","(0.64)","(0.56)","(0.55)"
"N","501","501","501","501","501"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
