"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","no progress","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","La culture du tabac demeure très faible en Algérie.","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Not applicable"
"7","Austria","Answer/report not provided","In December 2011 the last tobacco manufacturing site in Austria was closed down. Social plans are supposedly in force. Individual sellers (tobacconists) are encouraged to extend their range of goods by selling products such as event tickets (concerts sports events ...) hotel vouchers etc. - for detailed information see http://trafikplus.at/cms/cms.php","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Tobacco production is not an established industry locally","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","The 2005 Act (Section 12) requires the Government to grant loans on easy terms for the purpose of discouraging the tobacco cultivator to grow tobacco and encouraging to cultivate alternative cash crops and this grant project shall continue for five year after the commencement of the Act. In addition to the grant project the Act also calls upon the Government to make necessary guidelines to promote for comprehensive discouragement in producing and using tobacco products and for discouragement to set up industries of tobacco products. The exact figures for the Government spending on this project were not provided during the mission but the Asian Bank for Development (ABD) also provided around US$ 40 million for the diversification project over the five years of the project. The crop diversification project for tobacco growers is implemented within the frame of a broader agricultural development project aimed at crop zoning and better utilization of land. The project will end in 2010 and it is still to be decided upon its possible continuation. 
Still very few growers decided to diversify; the challenge with this project rests in the fact that tobacco growing provides growers with a secure and guaranteed revenue (e.g. negotiations for minimum prices are led by the Ministry of Agriculture but the tobacco industry is one of the invited stakeholders). Crop diversification can only be successful if the other crop suggested instead of tobacco attracts the same level of income to growers and the Government ensures adequate level of subsidy for it. A detailed evaluation of the projects achievements impact and cost-effectiveness is necessary to take a decision with respect to its continuation.
The priorities of the agricultural ministry in relation to tobacco growing include the following: 
o	Leading discussions on the continuation of the diversification project;
o	Registration and licensing of all tobacco growers producers and other actors of the tobacco sector (this may help in tracing down production of bidis and unbranded low priced cigarettes in remote areas of the country).
o	Tackling the issue of subsidies if any related to agricultural inputs for tobacco growers.
WHO Bangladesh plans to organize a workshop for assistant agricultural officers on tobacco to sensitize them on issues related to tobacco control and to invite them advocating for crop diversification among the growers."
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","No change","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","le bénin ne cultive pas le tabac à grande échelle","Answer/report not provided","Answer/report not provided"
"17","Bhutan","The law provides that no person in the country shall cultivate harvest or manufacture tobacco or tobacco products","The law provides no person in the country to cultivate or harvest tobacco.
http://www.bnca.gov.bt/themes/acquia_marina/DownloadsBNCA/TobaccoControlNotic-English.pdf","The law provides no person in the country to cultivate or harvest tobacco."
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","The country does not grow tobacco although there are only few manufacturers. They have not been aproached for alternatives including their employees. The retailers were made aware of the health effects of tobacco use and made to understand that they are contributing in killing people who are their customers(smokers) and were advised of available alternatives.","Answer/report not provided"
"21","Brazil","The National Program for Activities Diversification in Tobacco Growing Areas under the coordination of the Ministry of Agrarian Development (MDA ) was launched in 2005. It aims to reduce the tobacco growers economic dependence on tobacco productive chain by supporting the implementation of projects of rural extension . training and research to implement strategies for productive diversification that create new opportunities for income generation and quality of life for families .Its principles are associated with a systemic view of the famrs . with actions to strengthen sustainable development . enhance the food security of families . adopt diversified production systems that mobilize the effective participation of families including youth and women in the planning process promoting community cooperatives and association to guarantee market for new products..The Program is managed collectively and held by the institutions that comprise the Thematic Network of Diversification in Tobacco growing Family Farming. .By 2012 the program was invested more than 12 million US dollars to provide Technical Assistance and Rural Extension ( Ater ) . training and research to generate references for the diversification process Between 2011 and 2012. 75 projects were implemented in 6 tobacco growing states ( RS . SC . PR . BA . AL and SE ) in partnership with 50 NGOs and civil society . universities . research centers . associations of producers . benefiting more than 55 000 families . In 2012 . the Ministry of Agrarina Development launched a specific call for projects of Ater to promote diversification in tobacco growing areas prioritizing 95 major tobacco growing municipalities. benefiting 10.000 households producing tobacco . with investments of over 5 million US dollars.
In 2012 MDA sponsored a survey on the situation of tobacco farmers in the tobacco supply chain and their interest to shift for other crops or activities.","60 projects with R$ 12 million invested benefiting 80.000 family farmers.","60 projects with R$ 12 million invested benefiting 80.000 family farmers."
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Tobacco growers are supported under the Rural development program in two directions: 
• Diversification into non-agricultural activities in rural areas; 
• Diversification into other agronomic activities within the farm.
http://prsr.government.bg/","The social impact for Bulgarian tobacco growers is still at the same stage but the government maintains a strong position to defend any public or non public initiative to promote alternative mode of production for the concerned regions. A research is made into the concerned area; also an alternative scheme for the income support is elaborated.","The social impact for Bulgarian tobacco growers is still at the same stage but the government maintains a strong position to defend any public or non public initiative to promote alternative mode of production for the concerned regions. A research is made into the concerned area; also an alternative scheme for the income support is elaborated."
