"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Si cette information est disponible veuillez fournir toute information additionnelle sur la mortalité attribuable à l’usage du tabac (par exemple cancer du poumon maladies cardiovasculaires) sur votre territoire.","Answer/report not provided","Pas de données nationales sur la mortalité liée au tabac néanmoins il existe de données sur le taux dincidence du cancer du poumon qui est de 16 5 cas pour 100 000 habitants dont 80 % sont des fumeurs."
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Based on the most recent estimates (for the year 2004-2005). 15.000 deaths each year in Australia are attributable to tobacco use and exposure to tobacco smoke. In 2004-2005. tobacco is estimated to have killed 9.814 men and 5.236 women in Australia.
 For men. the largest number of tobacco-related deaths is caused by cancer. which is responsible for around 43% of all male tobacco-related deaths. These cancer deaths are dominated by lung cancer. which accounts for 77% of male tobacco-related cancer deaths.
The remaining tobacco-related male cancer deaths are caused by several different types of cancer—including oesophageal cancer (6%). oropharyngeal cancer (4%). bladder cancer (4%) and pancreatic cancer (3%).
The second and third largest causes of male tobacco-related deaths are ischaemic heart disease and chronic obstructive pulmonary disease. which account for 22% and 19% of male tobacco-related deaths respectively. The ''other direct smoking'' category accounts for 15% of male tobacco-related deaths. This category comprises a variety of causes. the largest contributors being stroke (43% of the ''other'' category). atherosclerosis (29%) and pneumonia (19%).
For women the pattern is a little different. As with men. the largest number of tobacco related deaths for women are caused by cancer. which is responsible for around 32% of all female tobacco-related deaths. This category is also dominated by lung cancer. which accounts for 75% of female tobacco-related cancer deaths. The remaining tobacco-related female cancer deaths are caused by several different types of cancer—including oesophageal cancer (7%). pancreatic cancer (7%). bladder cancer (4%) and oropharyngeal cancer (3%).
Chronic obstructive pulmonary disease accounts for a larger proportion of female tobacco related deaths (22%) than does ischaemic heart disease (20%). However. the ''other direct smoking'' category is larger than either of these. accounting for 25% of female tobacco related deaths. Again. this category comprises a variety of causes. the largest contributors being stroke (46% of the ''other'' category). atherosclerosis (23%) and pneumonia (17%).","Based on the most recent estimates (for the year 2004-2005) 15 000 deaths each year in Australia are attributable to tobacco use and exposure to tobacco smoke. In 2004-2005 tobacco is estimated to have killed 9 814 men and 5 236 women in Australia.","Answer/report not provided"
"7","Austria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Main causes of death in 2012: 
cardiovascular - 63.3%
cancer - 10.7%
respiratory - 3.2 %","Of those 2860 killed by smoking: 
cancer - 25 66%
vascular - 45 25%
respiratory - 17 80%
other - 11 29%","Of those 2860 killed by smoking: 
cancer - 25 66%
vascular - 45 25%
respiratory - 17 80%
other - 11 29%"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","No available data","No available data","Ischaemic Heart Disease: 1185; Stroke: 4041; Lung cancer: 32715; Ca Larynx: 17244; COPD: 2303"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","The number of deaths from malignant neoplasm of the larynx - 316 people the number of deaths from malignant neoplasms of the trachea bronchus and lung - 2816 people the number of deaths from diseases of the circulatory system - 66 208 people.","Mortality from malignant neoplasms of trachea bronchus and lung in 2011. - 2772 cases of diseases of the circulatory system - 35 524","Mortality from malignant neoplasm of trachea bronchus and lung in 2009 - 2815 cases of diseases of the circulatory system - 35730"
"14","Belgium","Si cette information est disponible veuillez fournir toute information additionnelle sur la mortalité attribuable à l’usage du tabac (par exemple cancer du poumon maladies cardiovasculaires) sur votre territoire.","For Flanders: http://www.zorg-en-gezondheid.be/Cijfers/Sterftecijfers/Algemene-sterftecijfers/Sterfte-door-roken-%28tabaksgerelateerde-sterfte%29/","For Flanders: http://www.zorg-en-gezondheid.be/Cijfers/Sterftecijfers/Algemene-sterftecijfers/Sterfte-door-roken-%28tabaksgerelateerde-sterfte%29/"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Si cette information est disponible veuillez fournir toute information additionnelle sur la mortalité attribuable à l’usage du tabac (par exemple cancer du poumon maladies cardiovasculaires) sur votre territoire.","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Enfermedades Cardiovasculares 22% de la mortalidad general tasa de mortalidad por cáncer de pulmón es de 11 4 x 100.000 habitantes y la tasa de mortalidad por cardiopatia isquémica es de 456 7 x 100.000 habitantes.","Answer/report not provided"
"19","Bosnia and Herzegovina","Data for 2012 : SDR mortality rate caused by CV diseases recorded as 370/100.000 population morbidity rate of cancer of lung bronchus and trachea recorded in adult males as 27/10.000 population and females 7 9/10.000 population prevalence of hypertension in adults increase from 2006/100.000population in 2006 to 849/100.000 population in 2012 
 Leading tobacco attributable death causes in the Republic of Srpska for men is carcinoma of lung trachea and bronchus (C33 - C34) - 33% and for women 10%.","Leading tobacco attributable death causes in the Federation of Bosnia and Herzegovina are circulatory diseases (53 9%) and carcinoma (20 1%) out which stroke as part of cerebrovascular diseases (I60-I69) with 10 2% than cardiomyopathia (I42) with 8 9% heart failure (I46) with 8 6% and acute miocardial infarct (I21) with 7 9% as part of ishaemic heart diseases and lung cancer (C34) with 5%.
Leading tobacco attributable death causes in the Republic of Srpska for men is carcinom of lung tracchea and bronchus (C33 - C34) - 32% and for women 11.2%.","Answer/report not provided"
"20","Botswana","Answer/report not provided","cardiovascular diseases and lung cancer","Answer/report not provided"
"21","Brazil","Around 130 000 deaths attributable to tobacco use in 2008. 
Lung Cancer = 21 900; Other cancer sites = 23 300; Cardiovascular disease = 51 800; Respiratory diseases = 33 000","Mortality from trachea bronchus and lung cancer decreased from 17.4% in 2006 to 15.9% in 2007.
The trend of mortality from cardiovascular disease showed a fall of around 4.8% per year among both men and women in Brazil. 
Source: Ministério da Saúde. Saúde Brasil 2008: 20 anos de Sistema Único de Saúde (SUS) no Brasil / Ministério da Saúde Secretaria de Vigilância em Saúde Departamento de Análise de Situação em Saúde. - Brasília: Ministério da Saúde 2009. 346-347 p. : il. - (Série G. Estatística e Informação em Saúde).
http://www.rededepesquisaaps.org.br/UserFiles/File/biblioteca/saude_brasil_2008_web_20_11.pdf","Mortality from trachea bronchus and lung cancer decreased from 17.4% in 2006 to 15.9% in 2007.
The trend of mortality from cardiovascular disease showed a fall of around 4.8% per year among both men and women in Brazil. 
Source: Ministério da Saúde. Saúde Brasil 2008: 20 anos de Sistema Único de Saúde (SUS) no Brasil / Ministério da Saúde Secretaria de Vigilância em Saúde Departamento de Análise de Situação em Saúde. - Brasília: Ministério da Saúde 2009. 346-347 p. : il. - (Série G. Estatística e Informação em Saúde).
http://www.rededepesquisaaps.org.br/UserFiles/File/biblioteca/saude_brasil_2008_web_20_11.pdf"
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","There are no new data since the last report from 2010","3478 deaths during 2008 i.e. 45.6 factual mortality per 100 000 because of lung cancer (see source 1).
The deaths among men because of lung cancer is the highest part from all
kind of deaths because of tobacco smoking:
35-44 years old men - 85% of deaths are due to tobacco smoking;
45-64 years old men - 93% of deaths are due to tobacco smoking;
65 years old men and above - 86% are due to tobacco smoking.
The deaths among women because of lung cancer are lower:
35-44 years old women- 21% of deaths are due to tobacco smoking;
45-64 years old women - 50% of deaths are due to tobacco smoking;
65 old women and above - 29% of deaths are due to tobacco smoking (see
source 2).
As regards cardiovascular deaths for men the mortality is:
35-44 years old- 43% and
45-64 years old - 48%
and for women:
35-44 years old- 9%
45-64 years old - 10% (see source 2).","The deaths among men because of lung cancer is the highest part from all kind of deaths because of tobacco smoking:
35-44 years old men - 85% of deaths are due to tobacco smoking;
45-64 years old men - 93% of deaths are due to tobacco smoking;
65 years old men and above - 86% are due to tobacco smoking.
The deaths among women because of lung cancer are lower:
35-44 years old women- 21% of deaths are due to tobacco smoking;
45-64 years old women - 50% of deaths are due to tobacco smoking;
65 old women and above - 29% of deaths are due to tobacco smoking (see source 2).
As regards cardiovascular deaths for men the mortality is:
35-44 years old- 43% and
45-64 years old - 48%
and for women:
35-44 years old- 9%
45-64 years old - 10% (see source 2)."
"24","Burkina Faso","On estime à 600 le nombre de décès liés au tabagisme dans notre pays","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","In Cambodia. nearly 30 people die every day from tobacco related diseases. many of whom are still in their productive years. In a year about 10000 Cambodians lose their lives prematurely to an epidemic that is preventable.
Almost one in every 7 deaths among those aged 30-44 and one in 7 among those aged 45-59 years were attributable to tobacco use. Of those who died in the 45-59 year age bracket. tobacco use accounted for 12.1% of those whose death was due to a lower respiratory infection. 30.7% of deaths due to the category of ''all cardiovascular diseases combined''. and 71.7% of those who had died from cancer of the trachea bronchus and lung.","See Annex 2.","Answer/report not provided"
"27","Cameroon","Si cette information est disponible veuillez fournir toute information additionnelle sur la mortalité attribuable à l’usage du tabac (par exemple cancer du poumon maladies cardiovasculaires) sur votre territoire.","Answer/report not provided","Answer/report not provided"
"28","Canada","For 2002 (most recent Canadian data for total number of deaths attributable to tobacco use)

Malignant Neoplasms 17.427
Cardiovascular Diseases 10.275
Respiratory Disease  8.282
Intestinal Disease   190
Perinatal Conditions  92
Injury (Fire)    55
Tobacco Abuse   57
Passive Smoking   831 
Total     37.209","For 2002 (most recent Canadian data)
Malignant Neoplasms 17 427
Cardiovascular Diseases 10 275
Respiratory Disease  8 282
Intestinal Disease   190
Perinatal Conditions  92
Injury (Fire)    55
Tobacco Abuse   57
Passive Smoking   831","For 2002 (most recent Canadian data)
Malignant Neoplasms 17 427
Cardiovascular Diseases 10 275
Respiratory Disease  8 282
Intestinal Disease   190
Perinatal Conditions  92
Injury (Fire)    55
Passive Smoking   831"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"31","Chile","Para profundizar en pregunta 2.3.2
Se estima que el 18.5% de todas las muertes que se producen en el país son atribuibles al tabaco.
Analizando enfermedades específicas se estima que las muertes en:
EPOC: 4.526
Enfermedades Cardiacas: 2.551
Cáncer de Pulmón: 2.338
Otros Cánceres: 2.969
Tabaquismo Pasivo: 1.898
Accidente Cerebro Vascular: 1.493
Neumonía: 720.","Para profundizar en pregunta 2.3.2
Muertes atribuibles a tabaco según Departamento de Estadístcas e Información en Salud Minsal 2009:
Mujeres: 6.594
Hombres: 8.776
Total: 15.370
Otra información importante hace referencia a las muertes atribubles a ciertas enfermedades asociadas con tabaco:
Cáncer de Lengua mucosa. labio y faringe  Enfermedad Hipertensiva   
M: 41           845      
H: 122           657      
T: 163           1502      
Cáncer de Esofago       Arteroesclerosis     
M: 196          23       
H: 332          23       
T: 528          46       
Cáncer de Páncreas      Aneurisma Aórtico    
M: 197          67       
H: 142          124       
T: 339          191       
Cáncer de Laringe       Bronquitis Bronquiollitis Aguda  
M: 15          7       
H: 109          4       
T: 124          12       
Cáncer de Pulmón Tráquea y Bronquios Bronquitis crónica y otras Enf obstructivas            crónicas 
M: 748          922       
 H: 1427         1185       
T: 2175         2107","Answer/report not provided"
"32","China","Answer/report not provided","Answer/report not provided","Answer/report not provided"
