"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","Indicator not used","Indicator not used"
"2","Albania","Answer/report not provided","Indicator not used","Indicator not used"
"3","Algeria","Answer/report not provided","Indicator not used","Indicator not used"
"4","Antigua and Barbuda","Answer/report not provided","Indicator not used","Indicator not used"
"5","Armenia","Answer/report not provided","Indicator not used","Indicator not used"
"6","Australia","Answer/report not provided","Indicator not used","Indicator not used"
"7","Austria","Answer/report not provided","Indicator not used","Indicator not used"
"8","Azerbaijan","Answer/report not provided","Indicator not used","Indicator not used"
"9","Bahamas","Answer/report not provided","Indicator not used","Indicator not used"
"10","Bahrain (Kingdom of)","Answer/report not provided","Indicator not used","Indicator not used"
"11","Bangladesh","Answer/report not provided","Indicator not used","Indicator not used"
"12","Barbados","Answer/report not provided","Indicator not used","Indicator not used"
"13","Belarus","Answer/report not provided","Indicator not used","Indicator not used"
"14","Belgium","Answer/report not provided","Indicator not used","Indicator not used"
"15","Belize","Answer/report not provided","Indicator not used","Indicator not used"
"16","Benin","Answer/report not provided","Indicator not used","Indicator not used"
"17","Bhutan","Answer/report not provided","Indicator not used","Indicator not used"
"18","Bolivia","Answer/report not provided","Indicator not used","Indicator not used"
"19","Bosnia and Herzegovina","Answer/report not provided","Indicator not used","Indicator not used"
"20","Botswana","Answer/report not provided","Indicator not used","Indicator not used"
"21","Brazil","Answer/report not provided","Indicator not used","Indicator not used"
"22","Brunei Darussalam","Answer/report not provided","Indicator not used","Indicator not used"
"23","Bulgaria","Answer/report not provided","Indicator not used","Indicator not used"
"24","Burkina Faso","Answer/report not provided","Indicator not used","Indicator not used"
"25","Burundi","Answer/report not provided","Indicator not used","Indicator not used"
"26","Cambodia","Answer/report not provided","Indicator not used","Indicator not used"
"27","Cameroon","Answer/report not provided","Indicator not used","Indicator not used"
"28","Canada","Answer/report not provided","Indicator not used","Indicator not used"
"29","Central African Republic","Answer/report not provided","Indicator not used","Indicator not used"
"30","Chad","Answer/report not provided","Indicator not used","Indicator not used"
"31","Chile","Durante la discusión del proyecto de reforma de la Ley de Tabaco que derivó en la aprobación de la Ley 20.660 que modifica la ley 19.419. las directrices del convenio marco fueron entregadas y utilizadas como mecanismo para dirimir discrepancias en las discusiones de la Comisión de Salud de la Cámara de Diputados. de la Comisión de Salud de la Cámara del Senado. como en las diversas comisiones que así lo requiriesen. Los defensores de la Nueva Ley de tabaco utilizaron las directrices entre sus argumentos a favor de una nueva legislación en sus presentaciones en sala. La definición de espacio cerrado incorporada en el artículo 2 de la Ley 19.419 fue redactada en función de la definición de espacio cerrado plasmado en las Directrices del artículo 8.","Indicator not used","Indicator not used"
"32","China","Answer/report not provided","Indicator not used","Indicator not used"
"33","Colombia","En todos los documentos que son elaborados por el Ministerio de Salud se utilizan las directrices en tanto brindan información que resulta de utilidad para soportar las decisiones implementadas por el Gobierno. para el caso. sobre la protección de los ambientes libres de humo de tabaco.","Indicator not used","Indicator not used"
"34","Comoros","Answer/report not provided","Indicator not used","Indicator not used"
"35","Congo","Answer/report not provided","Indicator not used","Indicator not used"
"36","Cook Islands","Answer/report not provided","Indicator not used","Indicator not used"
"37","Costa Rica","Se anexan Ley 9028 y sus reglamentos","Indicator not used","Indicator not used"
"38","Côte d'Ivoire","Les Directives sont prises en comptes et sont mêmes vulgarisées en même temps que les dispositions pertinentes de la CCLAT au personnel des Ministères techniques concernés aux leaders communautaires lors des campagnes de sensibilisation ou de formation.","Indicator not used","Indicator not used"
"39","Croatia","Answer/report not provided","Indicator not used","Indicator not used"
"40","Cyprus","Answer/report not provided","Indicator not used","Indicator not used"
"41","Czech Republic","Answer/report not provided","Indicator not used","Indicator not used"
"42","Democratic People's Republic of Korea","Answer/report not provided","Indicator not used","Indicator not used"
"43","Democratic Republic of the Congo","Answer/report not provided","Indicator not used","Indicator not used"
"44","Denmark","Answer/report not provided","Indicator not used","Indicator not used"
"45","Djibouti","Answer/report not provided","Indicator not used","Indicator not used"
"46","Ecuador","La Guía de las Directrices ha sido de gran utilidad ya que ha permitido realizar un conjunto de acciones encaminadas a fortalecer la aplicación de los espacios libres de humo de tabaco y la protección del humo de tabaco ajeno.
Se han realizado tres campañas comunicacionales de alcance nacional. a través de medios masivos de comunicación (radio y televisión) motivando y sensibilizando a respetar los espacios 100% libres de humo de tabaco y los daños que ocasiona el consumo de tabaco y la exposición al humo de tabaco.
Se cuenta con apoyo y participación de la comunidad mediante la utilización del correo electrónico creado para realizar las denuncias de incumplimiento a la Ley: denuncias.tabaco@msp.gob.ec Estas denuncias a nivel nacional son derivadas a los respectivos comisarios de salud de las provincias. a fin de que apliquen la Ley de acuerdo a la infracción.
Se elaboró la Norma Técnica para el monitoreo y control de la aplicación de la Ley Orgánica para la Regulación y Control del tabaco. la misma que debe ser aprobada mediante Acuerdo Ministerial. Esta Norma permitirá una mayor eficacia y control de los espacios 100% libres de humo. Adjunta a la presente.","Indicator not used","Indicator not used"
"47","Egypt","Answer/report not provided","Indicator not used","Indicator not used"
"48","El Salvador","Answer/report not provided","Indicator not used","Indicator not used"
"49","Estonia","Answer/report not provided","Indicator not used","Indicator not used"
"50","European Union","Answer/report not provided","Indicator not used","Indicator not used"
"51","Fiji","Answer/report not provided","Indicator not used","Indicator not used"
"52","Finland","Answer/report not provided","Indicator not used","Indicator not used"
"53","France","Answer/report not provided","Indicator not used","Indicator not used"
"54","Gabon","Answer/report not provided","Indicator not used","Indicator not used"
"55","Gambia","Answer/report not provided","Indicator not used","Indicator not used"
"56","Georgia","Answer/report not provided","Indicator not used","Indicator not used"
"57","Germany","Answer/report not provided","Indicator not used","Indicator not used"
"58","Ghana","Answer/report not provided","Indicator not used","Indicator not used"
"59","Greece","Answer/report not provided","Indicator not used","Indicator not used"
"60","Grenada","Answer/report not provided","Indicator not used","Indicator not used"
"61","Guatemala","Answer/report not provided","Indicator not used","Indicator not used"
"62","Guyana","Answer/report not provided","Indicator not used","Indicator not used"
"63","Honduras","Toda la industria hotelera. maquilera. turística etc e instituciones del Estado y en la totalidad de empresas privadas se han visto beneficiadas con la aplicación del Artículo 26 de la Ley Especial para el Control del Tabaco LECT y su Reglamentación. referente a la prohibición de consumo de tabaco en lugares abiertos y cerrados ya sea públicos o privados","Indicator not used","Indicator not used"
"64","Hungary","According to the amendment (entered into force on the 1st of January 2012) of the decree no. 6/1996 of the Minister of Justice on rules applicable for the execution of pre-trial detention and imprisonment. in penal institutions smoker and non-smoker convicted persons shoud be placed separately. 
According to the decree mentioned above the convicted person should inform the penal institution in writing about his/her smoking habits at the beginning of the execution of his/her sentence and later in order to place him/her in a smoking or a non-smoking living area or cell. The longest period between the opportunities to inform the penal institution should not be longer than 3 months. When the convicted person informs the penal institution about the change of his/her smoking habits. his/her placement should be changed for the request of such person.When the convicted person should be placed into a non-smoking area because of sanitary reasons. the penal institution should change his/her placement immediately.","Indicator not used","Indicator not used"
"65","Iceland","Answer/report not provided","Indicator not used","Indicator not used"
"66","India","Answer/report not provided","Indicator not used","Indicator not used"
"67","Iran (Islamic Republic of)","Answer/report not provided","Indicator not used","Indicator not used"
"68","Iraq","Answer/report not provided","Indicator not used","Indicator not used"
"69","Ireland","Answer/report not provided","Indicator not used","Indicator not used"
"70","Israel","Answer/report not provided","Indicator not used","Indicator not used"
"71","Italy","Answer/report not provided","Indicator not used","Indicator not used"
"72","Jamaica","Answer/report not provided","Indicator not used","Indicator not used"
"73","Japan","Answer/report not provided","Indicator not used","Indicator not used"
"74","Jordan","Smoking is banned in public places as per the Public Health Law No. 47 for the year 2008 as set by the law and where appropriate there is full separation of places allocated for smokers and non-smokers in places with partial ban.","Indicator not used","Indicator not used"
"75","Kazakhstan","Answer/report not provided","Indicator not used","Indicator not used"
"76","Kenya","Answer/report not provided","Indicator not used","Indicator not used"
"77","Kiribati","Answer/report not provided","Indicator not used","Indicator not used"
"78","Kuwait","Answer/report not provided","Indicator not used","Indicator not used"
"79","Kyrgyzstan","Answer/report not provided","Indicator not used","Indicator not used"
"80","Lao People's Democratic Republic","Answer/report not provided","Indicator not used","Indicator not used"
"81","Latvia","Answer/report not provided","Indicator not used","Indicator not used"
"82","Lebanon","Answer/report not provided","Indicator not used","Indicator not used"
"83","Lesotho","Answer/report not provided","Indicator not used","Indicator not used"
"84","Libyan Arab Jamahiriya","Answer/report not provided","Indicator not used","Indicator not used"
"85","Lithuania","Answer/report not provided","Indicator not used","Indicator not used"
"86","Luxembourg","Answer/report not provided","Indicator not used","Indicator not used"
"87","Madagascar","Directives à titre de référence lors de l’élaboration du règlement régissant l’application de l’article 8 de la CCLAT.","Indicator not used","Indicator not used"
