"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","tobacco control legislation is under process and no any information at this point","Answer/report not provided"
"2","Albania","On 12.03.2013 the law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law ; also warning messages about the health now are in figures or illustration that shows damages that came from smoking. Pictorial warnings have been adopted but not yet enter into force","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Un projet darrête modifiant et complétant larrêté de 2004 est en cours délaboration par le ministère des finances sur létiquetage des produits du tabac."
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing.","Answer/report not provided"
"5","Armenia","According to the List of priority actions of the State Tobacco Control Program and some proposals of the Ministry of Health it is envisaged to change the packaging and labeling of tobacco products up to 2015 and introduction of new types of it with the use of pictorial warnings.","Answer/report not provided","On February 1 2008 a new type of packaging and labeling was introduced."
"6","Australia","Tobacco Plain Packaging
All tobacco products manufactured or packaged in Australia for domestic consumption were required to be in plain packaging. effective 1 October 2012. and all tobacco products were required to be sold in plain packaging effective 
1 December 2012. 
The objectives of the plain packaging measure are to:
– reduce the appeal of tobacco products to consumers. particularly young people;
– increase the effectiveness of mandated health warnings;
– reduce the ability of the retail packaging of tobacco products to mislead consumers about the harmful effects of smoking or using tobacco products; and
– through the achievement of these aims in the long term. as part of a comprehensive suite of tobacco control measures. contribute to efforts to reduce smoking rates.
Tobacco plain packaging is being implemented through the Tobacco Plain Packaging Act 2011 and the Trade Marks Amendment (Tobacco Plain Packaging) Act 2011. 
The legislation prohibits tobacco industry logos. brand imagery. colours and promotional text other than brand and product names in a standard colour. position. font style and size on retail packaging of tobacco products. 
Tobacco product retail packaging is required to appear in a drab dark brown colour in matt finish. Cigarette packs are required to have standardised shapes and openings. Plain packaging applies not just to cigarette products but to all tobacco products. including loose leaf tobacco. cigars and bidis. Some restrictions also apply to the appearance of tobacco products.
Graphic Health Warnings
Graphic health warnings on tobacco products have been updated and expanded in the Competition and Consumer (Tobacco) Information Standard 2011 (the Standard) which commenced on 1 January 2012 and took full effect from 1 December 2012. The requirments are as follows
– The size of graphic health warnings increased to 75 per cent of the front of the pack for cigarettes and cartons. up from 30 per cent. with the 90 per cent warnings for the back of packs retained.
– The size of graphic health warnings for most other smoked tobacco products has increased to 75 per cent of both the front and back of the pack.
– Cigars sold singly are also required to have health warnings under the Standard. 
– The graphic health warnings for cigarettes and most other smoked tobacco products (not including cigars and bidis) rotate in two sets of seven warnings every 12 months.
– Information messages about the toxic chemicals in tobacco smoke and their health effects are paired to each of the 14 warnings and are required on the side of cigarette packaging and on other panels of most other smoked tobacco products (not including cigars and bidis). 
In relation to questions 3.2.5.11 and 3.2.5.12. the Australian Government owns copyright for some but not all of the images used as graphic health warnings on tobacco product packaging in Australia. Australia grants copyright licences to other Parties for use of the images owned by the Australian Government. or where the Australian Government is permitted to sublicense the use of an externally owned image. In the case of some images not owned by the Australian Government. permission may need to be sought from an external copyright owner and may include a fee.","On 29 April 2010 the Australian Government announced its decision to implement plain packaging for tobacco products and to mandate updated and expanded graphic health warnings. 
Plain packaging is being implemented through the Tobacco Plain Packaging Act 2011 and the Trade Marks Amendment (Tobacco Plain Packaging) Act 2011. The legislation prohibits tobacco industry logos brand imagery colours and promotional text other than brand and product names in a standard colour position font style and size. Tobacco product retail packaging will be required to appear in a drab dark brown colour in matt finish and with standardised shapes and openings. Plain packaging will be applied to all tobacco products including loose leaf tobacco cigars and bidis. 
All tobacco products manufactured or packaged in Australia from 1 October 2012 for domestic consumption will be required to be in plain packaging and all tobacco products will be required to be sold in plain packaging by 1 December 2012. The objectives of the plain packaging measure are to:
- reduce the attractiveness and appeal of tobacco products to consumers particularly young people;
- increase the noticeability and effectiveness of mandated health warnings;
- reduce the ability of the retail packaging of tobacco products to mislead consumers about the harms of smoking; and
- through the achievement of these aims in the long term as part of a comprehensive suite of tobacco control measures contribute to efforts to reduce smoking rates.
On 1 January 2012 the Competition and Consumer (Tobacco) Information Standard 2011 (the Standard) commenced updating and expanding the graphic health warnings required on most tobacco product packaging since 1 March 2006. The key changes to the graphic health warning requirements are:
- the size of graphic health warnings will increase to 75 per cent of the front of the pack for cigarettes and cartons with the current 90 per cent warnings for the back of packs retained;
- the size of graphic health warnings for most other smoked tobacco products will increase to 75 per cent of both the front and back of the pack; and
- single-sale cigars will no longer be exempt from displaying health warnings.
International guidelines scientific evidence current research the experience of other countries and a program of market research informed the development of the new graphic health warning requirements. Further information on plain packaging and graphic health warnings including the program of market research can be found online at www.yourhealth.gov.au. The legislation can be accessed at www.comlaw.gov.au.
As part of updating and expanding the graphic health warnings Australia has also updated its side of pack tobacco product warnings containing information about the toxic chemicals in tobacco smoke and their health effects. Further information is at section 3.2.4 above. 
In relation to questions 3.2.5.11 and 3.2.5.12 the Australian Government own","An evaluation of the effectiveness of Australian graphic health warnings was undertaken in 2008. This report can be found at www.health.gov.au/tobacco"
"7","Austria","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) and the Directive 2012/9/EU (concerning manufacture presentation and sale of tobacco products) into national law: This will result in an amendment of the Austrian Tobacco act concerning the regulations of packing and labelling (combined warnings/65% on both sides of the unit packet of FMC and RYO position at the top health warnings on the lateral sides some standardisation of packet shapes no promotional elements slim cigarettes not covered by TPD).","Increasing number of calls at national quit line due to printing number of the quitlinge as one of 14 additional health warnings on cigarette packs.","Answer/report not provided"
"8","Azerbaijan","Since 2012 in Azerbaijan have come into force a new standard for labelling of tobacco products: AZS 335-2009 ''Tobacco products. Packaging and labelling'' State Standard. standard ensuring that the 30% of cigarette packs must occupy the inscription ''Smoking damages your health'' on national language.","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses packaging and labelling of tobacco products in compliance with the prescribed standards","Draft legislation produced in the Ministry of Health by reviewing legislation enacted withing the Caribbean subregion. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Bahrain as part of Gulf Counsil Countries (GCC) agreed to start implementing pictorial warning on tobacco products packets (cigarretes cigars and moassel) starting August 2012 and granted tobaco selling representitives 6 months to clear their stocks.","GCC specification for packaging and labelling was adopted and a local ministerial order was issued to start a new specification for packaging and labelling of the tobacco products which includes picture and a health warning in two sides not less than 50% this will be implemented on 9th august 2012","Answer/report not provided"
"11","Bangladesh","According to the recent amended law there should be pictorial warning on pack of tobacco products at least 50% of the pack","An amendment of the law has been drafted including pictorial warning on pack covering at least 50% area of the pack. This is under consideration of the government.","Answer/report not provided"
"12","Barbados","The Caribbean Regional Organisation on Standards and Quality of the Caribbean Community (CARICOM) adopted a Regional Standard on Packaging and Labelling of Tobacco Products in 2013. The Ministry of Health has initiated the process to adopt the Standard nationally. Work in on-going between the Ministry of Health and the Office of the Attorney General to prepare the necessary legislation for the consideration of the Cabinet and passage in the Parliament to adopt the Regional Standard for Barbados thus requiring graphic rotating pictorial warning labels on all tobacco products sold in Barbados. An unwritten policy continues to be honoured requiring a written health warning on all packages of cigarettes that are sold from the Chief Medical Officer or the Minister of Health.","Barbados is part of a regional process to develop and approve a standard for packaging and labelling. The process is managed by the Caribbean Regional Organisation on Standards and Quality on bahalf of Member States of the Caribbean Community but is lengthy. In the meantime there is a gentlemens agreement requiring a health warning on all packages of cigarettes.","Answer/report not provided"
