"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","Indicator not used","Indicator not used"
"2","Albania","Answer/report not provided","Indicator not used","Indicator not used"
"3","Algeria","Answer/report not provided","Indicator not used","Indicator not used"
"4","Antigua and Barbuda","We are not of the view that our constitution precludes us from undertaking comprehensive bans on tobacco advertising. Absence of legislation however may more likely be the reason these bans are not yet in place.","Indicator not used","Indicator not used"
"5","Armenia","Answer/report not provided","Indicator not used","Indicator not used"
"6","Australia","Answer/report not provided","Indicator not used","Indicator not used"
"7","Austria","Answer/report not provided","Indicator not used","Indicator not used"
"8","Azerbaijan","Answer/report not provided","Indicator not used","Indicator not used"
"9","Bahamas","Answer/report not provided","Indicator not used","Indicator not used"
"10","Bahrain (Kingdom of)","Answer/report not provided","Indicator not used","Indicator not used"
"11","Bangladesh","Answer/report not provided","Indicator not used","Indicator not used"
"12","Barbados","Answer/report not provided","Indicator not used","Indicator not used"
"13","Belarus","Answer/report not provided","Indicator not used","Indicator not used"
"14","Belgium","Answer/report not provided","Indicator not used","Indicator not used"
"15","Belize","Answer/report not provided","Indicator not used","Indicator not used"
"16","Benin","Notre législation anti-tabac actuelle a interdit la publicité globale dans les médias à l’exception de la publicité sur le matériel de vente ; ce qui a permis aux vendeurs de cigarettes d’intensifier la publicité sur les lieux de vente et sur les moyens roulants voitures et motos ; grâce aux directives de l’article 13 nous avons un nouveau projet de loi qui est en cours et qui prend en compte l’interdiction de la publicité dans les médias et sur les lieux de vente et sur le matériel roulant même si c’est un matériel de vente.","Indicator not used","Indicator not used"
"17","Bhutan","Answer/report not provided","Indicator not used","Indicator not used"
"18","Bolivia","Answer/report not provided","Indicator not used","Indicator not used"
"19","Bosnia and Herzegovina","Answer/report not provided","Indicator not used","Indicator not used"
"20","Botswana","Answer/report not provided","Indicator not used","Indicator not used"
"21","Brazil","Answer/report not provided","Indicator not used","Indicator not used"
"22","Brunei Darussalam","Answer/report not provided","Indicator not used","Indicator not used"
"23","Bulgaria","Answer/report not provided","Indicator not used","Indicator not used"
"24","Burkina Faso","Cependant la loi 040 portant lutte contre le tabac a émis des restrictions à l’interdiction globale avec des expressions du genre « à l’exception des espaces autorisés par les textes règlementaires ». Ce qui constitue une limite à l’interdiction globale.","Indicator not used","Indicator not used"
"25","Burundi","Answer/report not provided","Indicator not used","Indicator not used"
"26","Cambodia","Answer/report not provided","Indicator not used","Indicator not used"
"27","Cameroon","Answer/report not provided","Indicator not used","Indicator not used"
"28","Canada","Answer/report not provided","Indicator not used","Indicator not used"
"29","Central African Republic","Answer/report not provided","Indicator not used","Indicator not used"
"30","Chad","Answer/report not provided","Indicator not used","Indicator not used"
"31","Chile","Durante la discusión del proyecto de reforma de la Ley de Tabaco que derivó en la aprobación de la Ley 20.660 que modifica la ley 19.419. las directrices del convenio marco fueron entregadas y utilizadas como mecanismo para dirimir discrepancias en las discusiones de la Comisión de Salud de la Cámara de Diputados. de la Comisión de Salud de la Cámara del Senado. como en las diversas comisiones que así lo requiriesen. Los defensores de la Nueva Ley de tabaco utilizaron las directrices entre sus argumentos a favor de una nueva legislación en sus presentaciones en sala. Las definiciones y acciones plasmadas en el artículo 3° de la ley fueron sacadas del Convenio y de las Directrices del Convenio Marco. 
Durante la discusión parlamentaria. la prohibición de publicidad fue discutido por la Comisión de Constitucionalidad del Senado quienes emitieron informe favorable basándose en el Convenio Marco como en las directrices del mismo.","Indicator not used","Indicator not used"
"32","China","Answer/report not provided","Indicator not used","Indicator not used"
"33","Colombia","Al igual que en el caso de las directrices del artículo 11. estas directrices han sido utilizadas para fortalecer los argumentos frente al retiro de las frases promocionales de las cajetillas en tanto constituyen una forma de promoción indirecta de los productos de tabaco.","Indicator not used","Indicator not used"
"34","Comoros","Answer/report not provided","Indicator not used","Indicator not used"
"35","Congo","Answer/report not provided","Indicator not used","Indicator not used"
"36","Cook Islands","Answer/report not provided","Indicator not used","Indicator not used"
"37","Costa Rica","Promulgación de la Ley 9028 y sus reglamentos","Indicator not used","Indicator not used"
"38","Côte d'Ivoire","Answer/report not provided","Indicator not used","Indicator not used"
"39","Croatia","Answer/report not provided","Indicator not used","Indicator not used"
"40","Cyprus","Answer/report not provided","Indicator not used","Indicator not used"
"41","Czech Republic","Answer/report not provided","Indicator not used","Indicator not used"
"42","Democratic People's Republic of Korea","Answer/report not provided","Indicator not used","Indicator not used"
"43","Democratic Republic of the Congo","Answer/report not provided","Indicator not used","Indicator not used"
"44","Denmark","Answer/report not provided","Indicator not used","Indicator not used"
"45","Djibouti","Answer/report not provided","Indicator not used","Indicator not used"
"46","Ecuador","Answer/report not provided","Indicator not used","Indicator not used"
"47","Egypt","Answer/report not provided","Indicator not used","Indicator not used"
"48","El Salvador","Answer/report not provided","Indicator not used","Indicator not used"
"49","Estonia","Answer/report not provided","Indicator not used","Indicator not used"
"50","European Union","Answer/report not provided","Indicator not used","Indicator not used"
"51","Fiji","Answer/report not provided","Indicator not used","Indicator not used"
"52","Finland","Answer/report not provided","Indicator not used","Indicator not used"
"53","France","Answer/report not provided","Indicator not used","Indicator not used"
"54","Gabon","Answer/report not provided","Indicator not used","Indicator not used"
"55","Gambia","Answer/report not provided","Indicator not used","Indicator not used"
"56","Georgia","Answer/report not provided","Indicator not used","Indicator not used"
"57","Germany","Answer/report not provided","Indicator not used","Indicator not used"
"58","Ghana","Answer/report not provided","Indicator not used","Indicator not used"
"59","Greece","Answer/report not provided","Indicator not used","Indicator not used"
"60","Grenada","Answer/report not provided","Indicator not used","Indicator not used"
"61","Guatemala","Answer/report not provided","Indicator not used","Indicator not used"
"62","Guyana","Answer/report not provided","Indicator not used","Indicator not used"
"63","Honduras","En los estadios de futbol. en los cines. en los centros comerciales y a nivel nacional no se encuentran ninguna publicidad que potencie la marca de productos derivados de tabaco.","Indicator not used","Indicator not used"
"64","Hungary","Answer/report not provided","Indicator not used","Indicator not used"
"65","Iceland","Answer/report not provided","Indicator not used","Indicator not used"
"66","India","The guidelines have been referred  while framing rules and regulations","Indicator not used","Indicator not used"
"67","Iran (Islamic Republic of)","Answer/report not provided","Indicator not used","Indicator not used"
"68","Iraq","Answer/report not provided","Indicator not used","Indicator not used"
"69","Ireland","Answer/report not provided","Indicator not used","Indicator not used"
"70","Israel","Answer/report not provided","Indicator not used","Indicator not used"
"71","Italy","Answer/report not provided","Indicator not used","Indicator not used"
"72","Jamaica","Answer/report not provided","Indicator not used","Indicator not used"
"73","Japan","Answer/report not provided","Indicator not used","Indicator not used"
"74","Jordan","Answer/report not provided","Indicator not used","Indicator not used"
"75","Kazakhstan","Answer/report not provided","Indicator not used","Indicator not used"
"76","Kenya","Answer/report not provided","Indicator not used","Indicator not used"
"77","Kiribati","Answer/report not provided","Indicator not used","Indicator not used"
"78","Kuwait","Answer/report not provided","Indicator not used","Indicator not used"
"79","Kyrgyzstan","Answer/report not provided","Indicator not used","Indicator not used"
"80","Lao People's Democratic Republic","Answer/report not provided","Indicator not used","Indicator not used"
"81","Latvia","Answer/report not provided","Indicator not used","Indicator not used"
"82","Lebanon","Answer/report not provided","Indicator not used","Indicator not used"
"83","Lesotho","Answer/report not provided","Indicator not used","Indicator not used"
"84","Libyan Arab Jamahiriya","Answer/report not provided","Indicator not used","Indicator not used"
"85","Lithuania","Answer/report not provided","Indicator not used","Indicator not used"
"86","Luxembourg","Answer/report not provided","Indicator not used","Indicator not used"
"87","Madagascar","A titre de référence","Indicator not used","Indicator not used"
"88","Malaysia","Answer/report not provided","Indicator not used","Indicator not used"
"89","Maldives","Answer/report not provided","Indicator not used","Indicator not used"
"90","Mali","Answer/report not provided","Indicator not used","Indicator not used"
"91","Malta","Answer/report not provided","Indicator not used","Indicator not used"
"92","Marshall Islands","Answer/report not provided","Indicator not used","Indicator not used"
"93","Mauritania","Answer/report not provided","Indicator not used","Indicator not used"
"94","Mauritius","Answer/report not provided","Indicator not used","Indicator not used"
"95","Mexico","Answer/report not provided","Indicator not used","Indicator not used"
"96","Micronesia (Federated States of)","Answer/report not provided","Indicator not used","Indicator not used"
"97","Mongolia","Answer/report not provided","Indicator not used","Indicator not used"
"98","Montenegro","Answer/report not provided","Indicator not used","Indicator not used"
"99","Myanmar","Answer/report not provided","Indicator not used","Indicator not used"
"100","Namibia","Answer/report not provided","Indicator not used","Indicator not used"
"101","Nauru","Answer/report not provided","Indicator not used","Indicator not used"
"102","Nepal","Answer/report not provided","Indicator not used","Indicator not used"
"103","Netherlands","Answer/report not provided","Indicator not used","Indicator not used"
"104","New Zealand","Answer/report not provided","Indicator not used","Indicator not used"
"105","Niger","Answer/report not provided","Indicator not used","Indicator not used"
"106","Nigeria","Answer/report not provided","Indicator not used","Indicator not used"
"107","Niue","Answer/report not provided","Indicator not used","Indicator not used"
"108","Norway","Answer/report not provided","Indicator not used","Indicator not used"
"109","Oman","Answer/report not provided","Indicator not used","Indicator not used"
"110","Pakistan","Answer/report not provided","Indicator not used","Indicator not used"
"111","Palau","Answer/report not provided","Indicator not used","Indicator not used"
