"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","Yes","Yes","Answer/report not provided"
"3","Algeria","Yes","Yes","Answer/report not provided"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","Yes","Yes","Answer/report not provided"
"6","Australia","Yes","Yes","Answer/report not provided"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","Yes","Yes","Answer/report not provided"
"9","Bahamas","Answer/report not provided","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","Yes","Yes","Answer/report not provided"
"11","Bangladesh","Yes","Yes","Answer/report not provided"
"12","Barbados","Yes","Yes","Answer/report not provided"
"13","Belarus","Yes","Yes","Answer/report not provided"
"14","Belgium","Yes","Yes","Answer/report not provided"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","Yes","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Yes","Yes","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Yes","Answer/report not provided"
"19","Bosnia and Herzegovina","Yes","Yes","Answer/report not provided"
"20","Botswana","Answer/report not provided","Yes","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","Yes","Yes","Answer/report not provided"
"23","Bulgaria","Yes","Yes","Answer/report not provided"
"24","Burkina Faso","Yes","Yes","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Yes","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","No","Answer/report not provided","Answer/report not provided"
"33","Colombia","Yes","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","Yes","No"
"35","Congo","Yes","No","Answer/report not provided"
"36","Cook Islands","Yes","Yes","Answer/report not provided"
"37","Costa Rica","Yes","Yes","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","Yes","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Yes","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Yes","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Yes","Yes","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Yes","Yes","Answer/report not provided"
"45","Djibouti","Yes","Yes","Answer/report not provided"
"46","Ecuador","Yes","Yes","Answer/report not provided"
"47","Egypt","Yes","Yes","Answer/report not provided"
"48","El Salvador","Yes","Answer/report not provided","Answer/report not provided"
"49","Estonia","Yes","Yes","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","Yes","No","Answer/report not provided"
"52","Finland","Yes","Yes","Answer/report not provided"
"53","France","Yes","Yes","Answer/report not provided"
"54","Gabon","Yes","No","Answer/report not provided"
"55","Gambia","No","Yes","Answer/report not provided"
"56","Georgia","Yes","Yes","Answer/report not provided"
"57","Germany","Yes","Yes","Answer/report not provided"
"58","Ghana","Yes","Answer/report not provided","Answer/report not provided"
"59","Greece","Yes","Yes","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Yes","Yes","Answer/report not provided"
"62","Guyana","Answer/report not provided","No","Answer/report not provided"
"63","Honduras","Yes","Yes","Yes"
"64","Hungary","Yes","Yes","Answer/report not provided"
"65","Iceland","Yes","Yes","Answer/report not provided"
"66","India","Yes","Yes","Answer/report not provided"
"67","Iran (Islamic Republic of)","Yes","Yes","Answer/report not provided"
"68","Iraq","Yes","No","Answer/report not provided"
"69","Ireland","Yes","Yes","Answer/report not provided"
"70","Israel","Answer/report not provided","Yes","Answer/report not provided"
"71","Italy","Yes","Answer/report not provided","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"74","Jordan","Yes","Yes","Answer/report not provided"
"75","Kazakhstan","Yes","Yes","Answer/report not provided"
"76","Kenya","Yes","Answer/report not provided","Answer/report not provided"
"77","Kiribati","Yes","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Yes","Yes","Yes"
"79","Kyrgyzstan","Yes","Yes","Answer/report not provided"
"80","Lao People's Democratic Republic","Yes","Answer/report not provided","Answer/report not provided"
"81","Latvia","Yes","Yes","Answer/report not provided"
"82","Lebanon","Yes","Yes","Answer/report not provided"
"83","Lesotho","Answer/report not provided","No","Answer/report not provided"
"84","Libyan Arab Jamahiriya","No","No","Answer/report not provided"
"85","Lithuania","Yes","Yes","Answer/report not provided"
"86","Luxembourg","Yes","Yes","Answer/report not provided"
"87","Madagascar","Yes","Yes","Answer/report not provided"
"88","Malaysia","Yes","Yes","Answer/report not provided"
"89","Maldives","Yes","Answer/report not provided","Answer/report not provided"
"90","Mali","Yes","Yes","Answer/report not provided"
"91","Malta","Yes","Yes","Answer/report not provided"
"92","Marshall Islands","Yes","Yes","Answer/report not provided"
"93","Mauritania","No","No","Answer/report not provided"
"94","Mauritius","Yes","Yes","Answer/report not provided"
"95","Mexico","Yes","Yes","Answer/report not provided"
"96","Micronesia (Federated States of)","Yes","Yes","Answer/report not provided"
"97","Mongolia","Yes","Yes","Answer/report not provided"
"98","Montenegro","Yes","Answer/report not provided","Answer/report not provided"
"99","Myanmar","Yes","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Yes","Yes"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Yes","Yes","Answer/report not provided"
"103","Netherlands","Yes","Yes","Answer/report not provided"
"104","New Zealand","Yes","Yes","Answer/report not provided"
"105","Niger","Answer/report not provided","Yes","Answer/report not provided"
"106","Nigeria","Yes","Answer/report not provided","Answer/report not provided"
"107","Niue","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"108","Norway","Yes","Yes","Answer/report not provided"
"109","Oman","No","No","Answer/report not provided"
"110","Pakistan","Yes","Yes","Answer/report not provided"
"111","Palau","Yes","Yes","Answer/report not provided"
"112","Panama","Yes","Yes","Answer/report not provided"
"113","Papua New Guinea","Yes","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","Yes","Yes","Answer/report not provided"
"116","Philippines","Yes","Yes","Answer/report not provided"
"117","Poland","Answer/report not provided","Yes","Answer/report not provided"
"118","Portugal","Yes","Yes","Answer/report not provided"
"119","Qatar","Yes","Yes","Answer/report not provided"
"120","Republic of Korea","Yes","Yes","Answer/report not provided"
"121","Republic of Moldova","Yes","Yes","Answer/report not provided"
"122","Romania","Yes","Answer/report not provided","Answer/report not provided"
