"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","La règlementation de base concernant les environnements sans fumée est la loi de 1985 sur promotion de la santé (article 63 Chapitre IV). Voir annexe 2.","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","According to the List of priority actions of the State Tobacco Control Program it is envisaged to revision the relevant law and introduce approprate changes.
 Although there are several laws and acts regulating smoking in public places serious problems with their implementation still exist."
"6","Australia","Answer/report not provided","Answer/report not provided","Note: All sub-jurisdictions ban smoking in indoor public places except for the Northern Territory which allows smoking in bars and clubs. Individual responses from jurisdictions are attached."
"7","Austria","According to the National Tobacco Act sanctions for violations of the smoking bans/restrictions in public indoor places including hospitality venues are implemented (fines up to € 2.000 - for first violation by tenant up to € 10.000 - for repeated/ongoing violations; fines up to € 100 - for first violation by smokers/up to € 1.000 - for second violation).
According to Para. 130 Sect. 1 Z 15 of the Austrian law on health and safety at work at sanctions for violations of the smoking restrictions can be imposed (fines from € 166 up to € 8.324 for first violation by tenant from € 333 up to € 16.659 for repeated/ongoing violations.
On 18th February 2014 an “authentic interpretation” concerning the Austrian national tobacco act entered into force: It states that it is reasonable for guests of hospitality venues to quickly pass smoking rooms/areas in order to enter non-smoking rooms/areas or WC facilities","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic. http://www.az-customs.net/az/5090.htm (in Azerbaijani language)","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic. http://www.az-customs.net/az/5090.htm (in Azerbaijani language)"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Smoking is pertially banned in following public places where smoking room can be identified if fiscible:
Educational institutions Government Semi-Government Offices Offices of autonomous bodies libraries elevators court building airport buildings sea-port buildings river-port buildings railway station buildings bus terminal building ferry cinema hall covered showing place theatre hall shopping buildings public toilet children park maintained under the supervision by the Government or public and such other place as may be determined by the Government by notification in the Official Gazette.
Smoking is completely banned in: (a) childrens pre-school or day care centre primary school high school or hostel for high school students; (b) any room or place for giving education or training; (c) all mother care centres clinics or hospital buildings; (d) sheds fixed for sports and exercise and any public vehicle of single compartment
Smoking is banned in following public transports: motor car bus railways ship launch all kinds of mechanical public transport aeroplaces queue or place specified for the passengers waiting to get into public vehicle and such other vehicles as may be determined or declared by the Government by notification in the Official Gazette."
"12","Barbados","Answer/report not provided","Legislation was enacted in October 2010","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Annex 4 contains detailed information on the enforcement of the smoke-free legislation.","Annex 4 contains detailed information on the enforcement of the smoke-free legislation."
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","The following public places are defined as non-smoking areas provided under Chapter Two of the Tobacco Control Act of Bhutan 2010:
Commercial centers: all shops shopping complexes supermarkets showrooms exhibition halls lobbies and places to which public have access in hotels motels guest houses inns and lodging bars and restaurants clubs internet cafes;
Recreation centers: discotheques snooker rooms health clubs sports and game centers playing fields and related offices cinema theatre video halls and other buildings of entertainment;
Institutions: all offices including those in the private sector fortress monasteries museums health educational religious and training centers and their vicinity;
Public gatherings/spaces: public meetings festivals and traditional celebrations vegetable markets bus and taxi stands airports;
Public transportation: all buses and taxis all forms of motor vehicles and aircrafts for passenger transport;"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Renforcement de la collaboration avec les associations et les institutions relgieuses oeuvrant contre le tabagisme.","Answer/report not provided"
"31","Chile","La Ley 19.419 en su Art 10º establece:
 Se prohíbe fumar en los siguientes lugares
 Letra b) Espacios cerrados o abiertos. públicos o privados que correspondan a dependencias de:
1- Establecimientos de Educación parvularia Básica y media. 
2 Recintos donde se expendan combustibles.
3. Aquellos lugares en que se fabriquen. procesen. depositen o manipules explosivos. materiales inflamables. medicamentos o alimentos
4. En las galerías. tribunas y otras aposentadurías destinadas. al público en los recintos deportivos. gimnasios o estadios. Esta prohibición se extiende a la cancha y a toda el área comprendida en el perímetro conformado por dichas galerías . tribunas y aposentadurías . salvo en los lugares especialmente habilitados para fumar que podrán tener los mencionados recintos.","El programa de promoción de la salud tiene como propósito Contribuir al desarrollo de políticas públicas de nivel nacional regional y comunal que construyan oportunidades para que las personas familias y comunidades accedan a entornos y estilos de vida saludables. Uno de sus componentes es la promoción de espacios libres de humo de tabaco.","Answer/report not provided"
"32","China","Answer/report not provided","In 2008 the Smoking Free Olympics in Beijing was highly favored by the International Olympic Committee; in 2010 the Smoking Free World Expo held in Shanghai in 2010 won compliments from visitors both at home and abroad.","In 2008 the Smoking Free Olympics in Beijing was highly favored by the International Olympic Committee; in 2010 the Smoking Free World Expo held in Shanghai in 2010 won compliments from visitors both at home and abroad."
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","There are no trains or ferries in the Cook Islands","Answer/report not provided","Answer/report not provided"
"37","Costa Rica","Answer/report not provided","Se anexan documentos","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Cet aspect sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","As regards electronic cigarettes: Despite the fact that smoking is not defined in Act No. 379/2005 Coll. appropriate provisions stipulating places with smoking ban include the use of electronic cigarettes /a not legally binding opinion of MoH; revision of legislation underway/.","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","Larticle 38 de la Loi 2008 concerne lusage du tabac dans les lieux publics. Des règles semblables sappliquent pour le tabagisme et lutilisation de la chicha. Voir la loi à http://www.who.int/entity/fctc/reporting/party_reports/djibouti_annex1_tobacco_control_act_2008.pdf.
La Loi requiert la configuration suivante: II est interdit de fumer dans les lieux affectés à un usage collectif notamment les lieux de travail intérieurs les transports publics les lieux publics intérieurs et le cas échéant dautres lieux publics tels que les établissements scolaires et universitaires les établissements hospitaliers dans les installations sportives dans les salles daudiences ainsi que dans le transport collectif.
Il est également interdit de fumer dans les bars et restaurants où il sera possible le cas échéant dy aménager des espaces spécifiques pour les fumeurs sauf impossibilité.
La consommation de la chicha est soumise à la même interdiction.
En outre larrêté n 2008-492/PR/MS fixe les caractéristiques de la consigne dinterdiction de fumer et conditions daffichage. Voir à http://www.who.int/entity/fctc/reporting/party_reports/djibouti_annex5_presidential_order_characteristics_of_labels_2008.pdf.","Answer/report not provided"
"46","Ecuador","En varias provincias del país se han creado núcleos provinciales del Comité Interinstitucional de Lucha Antitabáquica. uno de sus objetivos es contribuir al cumplimiento de la Ley. en especial en lo relativo a los espacios libres de humo de tabaco.","Se han elaborado Ordenanzas Municipales que fortalecen el cumplimiento de la Ley respecto de los espacios 100% libres de humo al declararse municipios o ciudades libres de humo
Se han ralizado visitas de control de la aplicación de la Ley a restaurantes bares y discotecas. Esta previsto realizar todo un plan de seguimiento de control y aplicación de la Ley a nivel de cada una de las provincias del país","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","La ley nacional contiene las disposiciones de prohibición del fumado en edificios públicos y medios de transporte colectivos. No obstante. la interpretación de la prohibición es ambigua. Por ejemplo. la ley prohíbe fumar en “espacios cerrados” pero omite la descripción del concepto. Por eso está trabajándose en el reglamento de la ley en donde se corrige esta ambigüedad: El reglamento está en la etapa final de revisión en la Casa Presidencial","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"51","Fiji","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","Tobacco legislation launched in 1995 concerning other workplaces than restaurants has reduced significantly occupational exposure to tobacco smoke in Finland. However in average 10% of the Finnish workforce still report smell of tobacco smoke in workplaces especially in small scale companies. Tobacco Act concerning restaurants has reduced the exposure to tobacco smoke in the hospitality industry. However only after the total ban since June 2009 a significant reduction of exposure to tobacco smoke was detected among workers and clients in Finnish restaurants. The latest Tobacco Act concerning restaurants still allows the restaurant owners to build a tobacco cabin for smokers. However due to strict regulations and according to the preliminary findings from the FIOH smoke seems not to spread from smoking cabins to other areas of restaurants.
Finnish Institute of Occupational Health (FIOH) http://www.ttl.fi/internet/english"
"53","France","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"54","Gabon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"55","Gambia","Answer/report not provided","Smoking in public places is regulated by the 1998 Tobacco Act. See Annex 3 to this report. The law is not fully implemented because smoking areas are not designated in most of the workplaces.","Answer/report not provided"
"56","Georgia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"58","Ghana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","El IHADFA a pesar del bajo presupuesto anual que el Congreso Nacional le asigna. cuenta con una unidad de inspectores dependiente del Departamento Legal para dar seguimiento a nivel nacional de lo establecido en el Artículo 26 de la Ley Especial para el Control del Tabaco LECT y su Reglamentación. referente a la prohibición de consumo de tabaco en lugares abiertos y cerrados ya sea públicos o privados","Answer/report not provided","Answer/report not provided"
"64","Hungary","Answer/report not provided","According to the amendment (entered into force on the 1st of January 2012) of the decree no. 6/1996 of the Minister of Justice on rules applicable for the execution of pre-trial detention and imprisonment in penal institutions smoker and non-smoker convicted persons shoud be placed separately. 
According to the decree mentioned above the convicted person should inform the penal institution in writing about his/her smoking habits at the beginning of the execution of his/her sentence and later in order to place him/her in a smoking or a non-smoking living area or cell. The longest period between the opportunities to inform the penal institution should not be longer than 3 months. When the convicted person informs the penal institution about the change of his/her smoking habits his/her placement should be changed for the request of such person.When the convicted person should be placed into a non-smoking area because of sanitary reasons the penal institution should change his/her placement immediately.","Answer/report not provided"
"65","Iceland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
