"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","Yes","Yes","Answer/report not provided"
"3","Algeria","Yes","Yes","Yes"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","Yes","Yes","Yes"
"6","Australia","Yes","Yes","Yes"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","No","No","No"
"9","Bahamas","No","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","Yes","No","Answer/report not provided"
"11","Bangladesh","Yes","Yes","Yes"
"12","Barbados","No","No","Answer/report not provided"
"13","Belarus","Yes","Yes","Yes"
"14","Belgium","Yes","Yes","Yes"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","No","No"
"17","Bhutan","No","No","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Yes","Answer/report not provided"
"19","Bosnia and Herzegovina","Yes","Yes","Answer/report not provided"
"20","Botswana","Answer/report not provided","Yes","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","Yes","Yes","Answer/report not provided"
"23","Bulgaria","Yes","No","No"
"24","Burkina Faso","Yes","Yes","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Yes","Yes","Yes"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","No"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","No","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","Yes","Yes","Yes"
"33","Colombia","Yes","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","Yes","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","Yes","Yes","Yes"
"37","Costa Rica","Yes","Yes","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","Yes","Yes","Answer/report not provided"
"40","Cyprus","Yes","Yes","Yes"
"41","Czech Republic","Yes","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Yes","No","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Yes","Yes","Yes"
"45","Djibouti","Yes","Yes","Answer/report not provided"
"46","Ecuador","Yes","Yes","Answer/report not provided"
"47","Egypt","Yes","Yes","Yes"
"48","El Salvador","Yes","Answer/report not provided","Answer/report not provided"
"49","Estonia","Yes","Yes","Answer/report not provided"
"50","European Union","Yes","Yes","Yes"
"51","Fiji","Yes","Yes","Answer/report not provided"
"52","Finland","Yes","Yes","Yes"
"53","France","Yes","Yes","Yes"
"54","Gabon","No","Answer/report not provided","Answer/report not provided"
"55","Gambia","No","Yes","Answer/report not provided"
"56","Georgia","Yes","Yes","Answer/report not provided"
"57","Germany","Yes","Yes","Yes"
"58","Ghana","Yes","Yes","Yes"
"59","Greece","Yes","Yes","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Yes","Yes","Answer/report not provided"
"62","Guyana","Answer/report not provided","Yes","Yes"
"63","Honduras","Yes","Yes","Yes"
"64","Hungary","Yes","Yes","Yes"
"65","Iceland","Yes","Yes","Answer/report not provided"
"66","India","Yes","Yes","Yes"
"67","Iran (Islamic Republic of)","Yes","Yes","Answer/report not provided"
"68","Iraq","Yes","No","Answer/report not provided"
"69","Ireland","Yes","Yes","Yes"
"70","Israel","Answer/report not provided","Yes","Answer/report not provided"
"71","Italy","Yes","Yes","Answer/report not provided"
"72","Jamaica","Yes","Answer/report not provided","Answer/report not provided"
"73","Japan","Yes","Yes","Yes"
"74","Jordan","Yes","Yes","No"
"75","Kazakhstan","Yes","Yes","Answer/report not provided"
"76","Kenya","Yes","Answer/report not provided","Yes"
"77","Kiribati","Yes","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Yes","No","No"
"79","Kyrgyzstan","Yes","Yes","Answer/report not provided"
"80","Lao People's Democratic Republic","Yes","Yes","Answer/report not provided"
"81","Latvia","Yes","Yes","Yes"
"82","Lebanon","Yes","No","No"
"83","Lesotho","No","No","No"
"84","Libyan Arab Jamahiriya","Yes","Yes","Answer/report not provided"
"85","Lithuania","Yes","Yes","Yes"
"86","Luxembourg","Yes","Yes","Yes"
"87","Madagascar","Yes","No","No"
"88","Malaysia","Yes","Yes","Yes"
"89","Maldives","Yes","Answer/report not provided","Answer/report not provided"
"90","Mali","Yes","Answer/report not provided","Answer/report not provided"
"91","Malta","Yes","Yes","Yes"
"92","Marshall Islands","No","Yes","No"
"93","Mauritania","No","No","Answer/report not provided"
"94","Mauritius","Yes","Yes","Yes"
"95","Mexico","Yes","Yes","Yes"
"96","Micronesia (Federated States of)","No","No","Yes"
"97","Mongolia","Yes","Yes","Yes"
"98","Montenegro","Yes","Yes","Yes"
"99","Myanmar","No","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Yes","Yes"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Yes","Yes","Answer/report not provided"
"103","Netherlands","Yes","Yes","Yes"
"104","New Zealand","Yes","Yes","Yes"
"105","Niger","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"106","Nigeria","Yes","Answer/report not provided","Answer/report not provided"
"107","Niue","No","Answer/report not provided","No"
"108","Norway","Yes","Yes","Yes"
"109","Oman","Yes","Yes","No"
"110","Pakistan","Yes","Yes","Answer/report not provided"
"111","Palau","No","No","No"
"112","Panama","Yes","Yes","Yes"
"113","Papua New Guinea","No","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","Yes","Yes","Answer/report not provided"
"116","Philippines","No","Yes","Answer/report not provided"
"117","Poland","No","Yes","Answer/report not provided"
"118","Portugal","Yes","Yes","Yes"
"119","Qatar","Answer/report not provided","No","Yes"
"120","Republic of Korea","Yes","Yes","Yes"
"121","Republic of Moldova","Yes","Yes","Answer/report not provided"
"122","Romania","Yes","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","Yes","No","Answer/report not provided"
"124","Rwanda","Answer/report not provided","No","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","No","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","No","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","No","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","No","No","No"
"130","Sao Tome and Principe","No","No","Answer/report not provided"
"131","Saudi Arabia","Yes","Yes","Answer/report not provided"
"132","Senegal","Yes","No","Answer/report not provided"
"133","Serbia","Yes","Yes","Yes"
"134","Seychelles","Yes","Yes","Yes"
"135","Sierra Leone","No","No","Answer/report not provided"
"136","Singapore","Yes","Yes","Yes"
"137","Slovakia","Yes","Yes","Yes"
