"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","No","Answer/report not provided"
"2","Albania","No","No","Answer/report not provided"
"3","Algeria","No","Yes","Yes"
"4","Antigua and Barbuda","Yes","Yes","Answer/report not provided"
"5","Armenia","No","No","No"
"6","Australia","Yes","Yes","No"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","No","No","No"
"9","Bahamas","No","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","Yes","Yes","Answer/report not provided"
"11","Bangladesh","No","No","No"
"12","Barbados","Yes","Yes","Answer/report not provided"
"13","Belarus","Yes","Yes","Yes"
"14","Belgium","Yes","Yes","Yes"
"15","Belize","Yes","Answer/report not provided","Answer/report not provided"
"16","Benin","No","No","No"
"17","Bhutan","Yes","Yes","Yes"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","No","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","No","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","Yes","Yes","Answer/report not provided"
"23","Bulgaria","Yes","Yes","Yes"
"24","Burkina Faso","No","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Yes","No","No"
"27","Cameroon","Yes","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Yes"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","Yes","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","Yes","No","No"
"33","Colombia","No","No","Answer/report not provided"
"34","Comoros","Answer/report not provided","No","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","Yes","Yes","Yes"
"37","Costa Rica","Yes","Yes","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","No","No","Answer/report not provided"
"40","Cyprus","No","Yes","Yes"
"41","Czech Republic","Yes","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Yes","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Yes","Yes","Yes"
"45","Djibouti","No","No","Answer/report not provided"
"46","Ecuador","Yes","Yes","Answer/report not provided"
"47","Egypt","No","Yes","Yes"
"48","El Salvador","No","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","No","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","No","Yes","Answer/report not provided"
"52","Finland","Yes","Yes","Yes"
"53","France","No","No","Yes"
"54","Gabon","No","No","Answer/report not provided"
"55","Gambia","Yes","No","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","Yes","Yes","Yes"
"58","Ghana","No","No","No"
"59","Greece","No","No","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","Yes","Yes"
"63","Honduras","Yes","No","No"
"64","Hungary","Yes","Yes","Yes"
"65","Iceland","Yes","Yes","Answer/report not provided"
"66","India","Yes","Yes","Yes"
"67","Iran (Islamic Republic of)","Yes","Answer/report not provided","Answer/report not provided"
"68","Iraq","No","No","Answer/report not provided"
"69","Ireland","Yes","Yes","Yes"
"70","Israel","Answer/report not provided","No","Answer/report not provided"
"71","Italy","Yes","Yes","Answer/report not provided"
"72","Jamaica","Yes","Answer/report not provided","Answer/report not provided"
"73","Japan","Yes","Yes","Yes"
"74","Jordan","Yes","Yes","Yes"
"75","Kazakhstan","No","No","Answer/report not provided"
"76","Kenya","Answer/report not provided","Answer/report not provided","Yes"
"77","Kiribati","Yes","Answer/report not provided","Answer/report not provided"
"78","Kuwait","No","No","No"
"79","Kyrgyzstan","Yes","No","Answer/report not provided"
"80","Lao People's Democratic Republic","No","No","Answer/report not provided"
"81","Latvia","No","No","Yes"
"82","Lebanon","No","Yes","Yes"
"83","Lesotho","Yes","Answer/report not provided","Yes"
"84","Libyan Arab Jamahiriya","Yes","Yes","Answer/report not provided"
"85","Lithuania","Yes","Yes","Yes"
"86","Luxembourg","Yes","Yes","Yes"
"87","Madagascar","No","Yes","Yes"
"88","Malaysia","Yes","No","No"
"89","Maldives","No","Answer/report not provided","Answer/report not provided"
"90","Mali","No","No","Answer/report not provided"
"91","Malta","Yes","Yes","Yes"
"92","Marshall Islands","No","No","No"
"93","Mauritania","Answer/report not provided","No","Answer/report not provided"
"94","Mauritius","No","No","No"
"95","Mexico","Yes","Yes","Yes"
