"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Ban on Import of cigarettes and tobacco productions and cigarette and any kind of the tobacco production in illegal manners","Answer/report not provided","Answer/report not provided"
"2","Albania","Responsible for the implementation of this article are: State Sanitary Inspectorate Municipality and Commune Police.
Municipal Police Communal Police and the State Sanitary Inspectorate follow the application of Articles 15 16 prohibiting smoking in enclosed public places. 
The Minister of Health on 02 August 2012 has set up a task force nr 2 for the implementation of the law (for the control of the smoking ban in public places). The purpose of this order was to create the model for the state inspectorate of how they should work to implement the law. The task force was successful but this model was not implemented on State Sanitary Inspectorate.
 But the law is not implemented still yet but is raise awareness.","Responsible for the implementation of this article are: State Sanitary Inspectroate Municipality and Commune Police.
Municipal Police Communal Police and the State Sanitary Inspectorate follow the application of Articles 15 16 prohibiting smoking in enclosed public places. 
Only in Tirana there are working around 300 municipal police officers and around 60 state sanitary inspectors. One of the reasons for not applying the Law to ban smoking in public places has to do with the fines. The manner of levied fines in 2010 was not effective.
In 2011 the Ministry of Health made a change in the Law for a new collection of fines by creating a standard model prepared in order that these penalties have a sheet serial number.
Financial penalties are settled at the State Sanitary Inspectorate and their value flows to the state budget (nr.10279 law dated 20.05.2010 On Administrative Offences as amended).
In accordance with the law nr.10279 dated 20.05.2010 On Administrative Offences (changed) when the fine is not paid within the specified time (the first month of the date of receipt of the decision-final penalty) it is expected another month (the second) but for every day of delay (in the second month) the penalty increases to 2 percent of the value up to 30 days (Article 34 of Law 7643 dt.02.12.1992 the amended).
After this deadline the law enforcement nr.10279 dated 20.05.2010 On Administrative Offences (as amended) the State Sanitary Inspectorate is legally obliged to send the penalty decision in the Court of First Instance to be transformed into an executable order and and as an executable the bail is sent for execution.
What has the Ministry of Health done for the above? In the Nr.10279 Law enforcement was approved the Guide On the practice of unified administrative offenses punishable by fine. Nevertheless it was concluded that the interventions required by the Ministry of Health has not succeeded in establishing and levying of fines so the work of its subordinate structures is insufficient and ineffective.
As a results of Minister of Health on 12 August 2011 a taks force was set up for the implementation of the law (for the control of the smoking ban in public places). The order was valid for 6 months which contributed to the creation of a model on how the state inspectorate should work for the implementation of this law. There were put 230 fines and all these fines are being collected which was not the case before. The taks force was succesful in its mission.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Ministére de linterieur et des Collectivités Locales","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","All Australian state and territory tobacco control legislation has penalty and enforcement provisions. Most states and territories provide for enforcement and inspection mechanisms additional to the statutory penalty provisions.
The Victorian Government provides funding to local councils to undertake education and enforcement activity in relation to tobacco smoking at workplaces. eating establishments. and licensed premises. This arrangement is specified under a Service Agreement between the Victorian Department of Health and the Municipal Association of Victoria (the peak body representing local government authorities in Victoria).
A Memorandum of Understanding between the Victorian Department of Health and WorkSafe Victoria for inspection and enforcement activity exists for workplaces where there have been more than two complaints. and the investigating council has not been able to resolve the matter via standard protocols.
Victorian council inspectors are also empowered to enforce the smoking bans at patrolled beaches (from 1 December 2012) and the smoking bans at outdoor children''s playground equipment. skate parks. public swimming pool complexes and sporting venues during organised underage sporting events (from 1 April 2014). 
Victorian police enforce the ban on smoking in cars with minors.
Public Transport Victoria enforce smoking bans at public transport stops and on public transport.
In New South Wales. compliance monitoring and investigation is carried out by authorised officers in Public Health Units of the fifteen Local Health Districts across the State. Enforcement activity is also undertaken by the New South Wales Ministry of Health.
In South Australia. breaches of the legislation are enforced by South Australian police and monitored by Department of Health authorised officers.
In Tasmania. the Department of Health and Human Services employs two Tobacco Control Officers to enforce the tobacco provisions of the Public Health Act 1997. Tasmanian police and Local Council Environmental Health Officers are also authorised under the Public Health Act 1997 to enforce these laws.
In Western Australia. investigators are gazetted to enforce the legislation. Restricted powers are also given to police and local authorities.
In the Australian Capital Territory. powers for the inspection of premises are regulated under the Smoke-Free Public Places Act 2003 (ACT). Police also have the power to stop vehicles to enforce the ban on smoking in cars with minors.
In the Northern Territory. non-compliance with the legislation is subject to on-the-spot fines of AUD $200-400 or prosecution. Authorised persons employed by the Northern Territory health department are also able to assist with enforcement. 
In Queensland. compliance monitoring and investigation is undertaken by Environmental Health Officers in the Public Health Units of the seventeen Hospital and Health Services across the State. Police officers also have the power to stop vehicles to enforce the ban on smoking in cars with children aged less than sixteen years and for smoking in a vehicle being used for business purposes if there is anyone else in the vehicle.","All Australian State and Territory tobacco control legislation has penalty and enforcement provisions. Most States and Territories provide for enforcement and inspection mechanisms additional to the statutory penalty provisions.
The Victorian government provides funding to local councils to undertake inspections education and enforcement activities in relation to tobacco smoke in dining and drinking venues. The arrangement is specified under a Service Agreement between the Victorian Department of Health and the Municipal Association of Victoria (the peak body representing local government authorities in Victoria). Inspection and enforcement activity for other workplaces is the responsibility of WorkSafe Victoria under a Memorandum of Understanding between the Department of Health and WorkSafe. Victorian police enforce the ban on smoking in cars with minors. 
In New South Wales compliance monitoring and investigation is carried out by authorised officers in Public Health Units of the fifteen Local Health Districts across the State. Enforcement activity is also undertaken by the New South Wales Ministry of Health.
In South Australia breaches of the legislation are enforced by South Australian police and monitored by Department of Health authorised officers.
In Tasmania nominated officers (volunteers) can be appointed to assist with enforcement of the legislation.
In Western Australia investigators are gazetted to enforce the legislation. Restricted powers are also given to police and local authorities.
In the Australian Capital Territory powers for the inspection of premises are regulated under the Smoke-Free Public Places Act 2003 (ACT). Police also have the power to stop vehicles to enforce the ban on smoking in cars with minors.
In the Northern Territory non-compliance with the legislation is subject to on-the-spot fines of AUD $200-400 or prosecution. Authorised persons employed by the Northern Territory health department are also able to assist with enforcement.","Answer/report not provided"
"7","Austria","Para. 14 of the Austrian tobacco act provides for the possibility to impose fines on smokers and tenants of public indoor places (including workplaces accessible to the public); the district administration authorities are competent for prosecuting violations of the tobacco act.
The provisions of the Austrian law on health and safety at work act are controlled by specific inspectors (''Arbeitsinspektoren'') on a regular basis and fines can be imposed if provisions for the protection of workers are violated. If there are sever threats to workers'' health and safety an establishment can even be closed down","14 of the Austrian tobacco act provides for the possibility to impose fines on smokers and tenants of public indoor places (including workplaces accessible to the public); the district administration authorities are competent for prosecuting violations of the tobacco act. The provisions of the Austrian law on health and safety at work act are controlled by specific inspectors (Arbeitsinspektoren) on a regular basis and fines can be imposed if provisions for the protection of workers are violated. If there are sever threats to workers health and safety an establishment can even be closed down.","Answer/report not provided"
"8","Azerbaijan","sa=t&rct=j&q=The+Code+of+the+Azerbaijan+Republic+On+administrative+violations+&source=web&cd=1&ved=0CCEQFjAA&url=http%3A%2F%2Flegislationline.org%2Fdownload%2Faction%2Fdownload%2Fid%2F3439%2Ffile%2FAzerbaijan_Code%2520on%2520Administrative%2520offences_2000_eng.pdf&ei=natQUOH1NYjAhAfD9YHYDA&usg=AFQjCNGzsGVV2FAq7cCOwoo-FtJ7pLCVRA&cad=rjt 
The Code of the Azerbaijan Republic On administrative violations enacted in 2000 provides penalties: for smoking cigarette in aircraft railway sea and river transports (Articles 134; 140; 148. The draft new Law on Smoking Restriction currently being developed and is expected to introduce more stringent antismoking regulations.","According to The Code of the Azerbaijan Republic on Administrative Violations smoking in restricted areas of the air transport shall involve penalization at the rate of thirty to forty manats (AZN); smoking in restricted areas of the railway transport shall involve penalization at the rate of five to fifteen manats (AZN); smoking in restricted areas in sea and river transport shall involve penalization at the rate of seven to thirteen mantas (AZN). 
The exchange rate of national currency of Azerbaijan Manat: 1 AZN = 1.26 USD as of December 10 2010.","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Article 4 of antismoking law smoking is prohibited in all colsed public places however a designated area for smokers can be allocated provided it is compliant with specifications of smoking areas stated in decree (2)/2011 issued by Minister of Health.","small committee created throught he national committee to implement and follow the implementaion of this article .","Answer/report not provided"
