"","Party","2014","2012","2010"
"1","Afghanistan","in above mentioned law on Tobacco clearly indicated the finality for who import tobacco production illicitly and for whom who sold on children subject to pay the certain amount as finality","no progress","Answer/report not provided"
"2","Albania","Answer/report not provided","Albania takes part in the negotiations on the Protocol on Illicit Trade in
Tobacco Products.","Answer/report not provided"
"3","Algeria","Le commerce illicite et la contrebande de tabac sont réprimés par les dispositions de lordonnance 05-06 de lannée 2005 relative à la lutte contre la contrebande. Cette ordonnance prévoit des sanctions comportant: 
-	la confiscation du tabac et des moyens de transport saisis; 
-	la confiscation de tous matériels destinés à la fabrication illicite de tabac ;
-	des peines demprisonnement.
Par ailleurs la contrefaçon est sanctionnée dans le cadre dune réglementation nationale qui a transposé les dispositions de la législation type de lOMC en la matière dans le cadre de la protection des droits de propriété intellectuelle liés au commerce (les ADPICS).
Toutes les marchandises de contrefaçon (tabac et autres) sont systématiquement saisies et détruites par décision de justice. De même que le propriétaire de la marque contrefaite peut demander des réparations civiles.","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Armenia takes part in the negotiations on the Protocol on Illicit Trade in Tobacco Products."
"6","Australia","Australia has in place a strong legislative and regulatory framework to combat the illicit trade of tobacco products. The Australian Taxation Office (ATO) and the Australian Customs and Border Protection Service (ACBPS) have an active ongoing role in monitoring and enforcement activity in relation to illicit tobacco production or importation. 
Current excise law provides a strong regulatory regime for licensing the manufacture and storage of tobacco products. controlling the movement of product on which excise has not been paid. and attendant sanctions and penalties for contravention of the regulatory provisions. Primary legislation is the Excise Act 1901 and the Excise Tariff Act 1921. 
The Criminal Code Act 1995 contains relevant offences including in relation to bribery of officials. dealing with proceeds of crime. obtaining financial advantage by deception and participating in a criminal group. 
The Crimes Act 1914 provides for search and seizure by the Australian Federal Police. The Customs Act 1901 provides for seizure and disposal by the Australian Customs and Border Protection Service. The Proceeds of Crime Act 2002 provides a comprehensive scheme for tracing. investigating. restraining and confiscating proceeds generated from Commonwealth indictable offences. foreign indictable offences and certain offences against state and territory law.
Recent steps taken by the Australian Government. as part of its ongoing work to reduce illicit trade in tobacco. include increased penalties for tobacco smuggling. On 6 November 2012. the Customs Amendment (Smuggled Tobacco) Act 2012 received Royal Assent. The Act created new offences for smuggling tobacco or tobacco products and conveying or possessing smuggled tobacco products. and allows a penalty of up to ten years imprisonment to be imposed. in addition to the existing monetary penalty of up to five times the amount of duty evaded. These changes are intended to more accurately reflect the risks posed to the Australian community and the seriousness of the offences. and to provide a strong deterrent to criminals.
In relation to the Protocol to eliminate illicit trade in tobacco products (ITP). Australia was actively involved in the negotiation of the text of the ITP. participating in all the drafting group meetings and the Intergovernmental Negotiating Body. Australia has commenced work on the domestic processes that precede a decision by the Australian Government on whether to accede to the ITP.","The packaging of cigarettes for sale in Australia is subject to a number of legislative and regulatory requirements. These include a requirement for display of a trade description containing in prominent and legible characters the name of the country in which the goods were made or produced (Commerce (Imports) Regulations 1940) and a requirement that the name and business address of the manufacturer be displayed (National Trade Measurement Regulations 2009). 
Current excise law provides a strong regulatory regime for licensing the manufacture and storage of tobacco products controlling the movement of product on which excise has not been paid and attendant sanctions and penalties for contravention of the regulatory provisions. Primary legislation is the Excise Act 1901 and the Excise Tariff Act 1921. 
The Criminal Code Act 1995 contains relevant offences including in relation to bribery of officials dealing with proceeds of crime obtaining financial advantage by deception and participating in a criminal group. 
The Crimes Act 1914 provides for search and seizure by the Australian Federal Police. The Customs Act 1901 provides for seizure and disposal by the Australian Customs and Border Protection Service. The Proceeds of Crime Act 2002 provides a comprehensive scheme for tracing investigating restraining and confiscating proceeds generated from Commonwealth indictable offences foreign indictable offences and certain offences against State and Territory law. 
Australian Government agencies actively cooperate and exchange information internationally consistent with the Governments domestic and international legal obligations. 
Relevant Commonwealth legislation is accessible at www.comlaw.gov.au.","Answer/report not provided"
"7","Austria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Passage and Implementation of the Tobacco Excise Stamp Tax Act 2013","Draft legislation produced in the Ministry of Health by reviewing legislation enacted withing the Caribbean subregion. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Collaboration between Ministry of Health and Ministry of Interior is strenghthened to combat illicit trade of tobacco products. Ratification of Illicit trade Protocol is under negotiation in the Government","no progress as we dont have a problem","Answer/report not provided"
