"","Party","2014","2012","2010"
"1","Afghanistan","Banning of tobacco smoke in public and closed governmental spaces is included in Tobacco ban decree also it is part of National Tobacco control legislation The above mentioned law indicated to ban on tobacco production environmental protection to avoid the announcement on the Tobacco production and usage and trade","Government order dated 2010.","Answer/report not provided"
"2","Albania","Article 15 of the Law “For the protection of health from tobacco products” bans smoking in “Workplaces health institutions excluding institutions of mental health (only for patients) educational institutions public transport business areas bars restaurants disco night clubs and other public places”. So our law creates free tobacco environments. 
We have improved the definition of public place in the legislation also the definition of workplace in the legislation","Article 15 of the Law For the protection of health from tobacco products bans smoking in Workplaces health institutions excluding institutions of mental health (only for patients) educational institutions public transport business areas bars restaurants disco night clubs and other public places.
So our law creates free tobacco environments.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Decret executif n 04-285 septembre 2001","Answer/report not provided"
"4","Antigua and Barbuda","Smoke and Tobacco Free working environment within the Public Service of Antigua & Barbuda including government owned and operated vehicles. buildings and premises.","Smoke and Tobacco Free working environment within the Public Service of Antigua & Barbuda including government owned and operated vehicles buildings and premises.","Answer/report not provided"
"5","Armenia","Answer/report not provided","See Annex 2","Answer/report not provided"
"6","Australia","In Australia. protection from exposure to tobacco smoke is primarily the responsibility of state and territory governments. 
Each state and territory government has implemented tobacco control laws which include provisions to protect the public from exposure to tobacco smoke. Please see Annex 1 for further information and Annex 2 for links to the primary tobacco control legislation in each state and territory.","In Australia protection from exposure to tobacco smoke is primarily the responsibility of State and Territory governments. 
Each State and Territory government has implemented tobacco control laws which include provisions to protect the public from exposure to tobacco smoke. Please see Annex 1 for further information and Annex 2 for links to the primary tobacco control legislation in each State and Territory.","Answer/report not provided"
"7","Austria","indoor public places and public transport: Para.12 and 13 of the Austrian Tobacco Act (incl. offices and office buildings that can be accessed by clients) 
indoor workplaces: Para. 30 of the Austrian law on health and safety at work act (''Arbeitnehmerschutzgesetz”) Para. 30 of the Austrian OSH regulations for public servants (''Bundesbedienstetenschutzgesetz”) and Para. 88 h of the farm labour act (''Landarbeitergesetz”)
Furthermore voluntary agreements going beyond the legal requirements for protection from tobacco smoke at the workplace can be found in many companies (mainly based on Para. 97 Section 1 ''Arbeitsverfassungsgesetz'').
Some municipalities have introduced smoking bans on playgrounds/outdoor public places on the basis of administrative/executive orders (''ortspolizeiliche Verordnungen'').","12 and 13 of the Austrian Tobacco Act (Tabakgesetz Federal Law gazette no. 431/1995 idgF) for indoor public places (incl. offices and office buildings that can be accessed by clients) public transport
30 of the Austrian law on health and safety at work act (Arbeitnehmerschutzgesetz Federal law gazette No. 450/1994 idgF) 30 of the Austrian OSH regulations for public servants (Bundesbedienstetenschutzgesetz Federal Law gazette No. 70/1999 idgF) and 88 h of the farm labour act (Landarbeitergesetz Federal law gazette no. 287/1984 idgF) for indoor workplaces
Voluntary agreements going beyond the legal requirements for protection from tobacco smoke at the workplace can be found in many companies (mainly based on 97 Abs. 1 Z 1 Arbeitsverfassungs-gesetz Federal law gazette Nr. 22/1974 idgF).
Some municipalities have introduced smoking bans on playgrounds/ outdoor public places on the basis of administrative/executice orders (ortspolizeiliche Verordnungen).","Answer/report not provided"
"8","Azerbaijan","http://www.tobaccocontrollaws.org/files/live/Azerbaijan/Azerbaijan%20-%20Law%20No.%20138-IIG%20.pdf 
Law of the Azerbaijan Republic On tobacco and tobacco products enacted in 2001 and came into force in 2002 sets restrictions on smoking places (Article 21. Limitations to the use of tobacco products). The Law prohibiting smoking indoors in public places and public workplaces however smoking is allowed in designated places. Employers must provide designated areas for smoking and post a “no smoking” sign in visible places. The Law prohibiting smoking in public transport however smoking is allowed in designated places of long-distance transport. However the implementation of many law provisions appears to be poorly enforced.","Details of The Law on Tobacco and Tobacco Product of Azerbaijan Republic concerning the type/nature and content of the measures providing for the ban are as following:
Places where smoking is prohibited in Azerbaijan are training education health and cultural as well as sport facilities and other event places; workplaces in administrative buildings except individual workplaces and designated smoking areas; residential buildings and other closed public areas for common use trade public catering and domestic service facilities except high-class restaurants cafes bars; all types of public transport except designated specific smoking areas in long-distance passenger transport. 
Should be separated special designated places for smokers in hotels. The heads of companies departments agency and other employers must provide and designate special places for smoking in the workplace and put in other places well visible No smoking or other warning signs.
Measures to control consumption of tobacco products are being prepared and implemented by the relevant executive authorities. Measures to control consumption of tobacco products as part of the state environmental and health programs are financed from the state budget and other sources. Municipalities consumers and NGOs can develop and implement programs on control of tobacco products consumption and submit the relevant proposals in this regard.","Answer/report not provided"
"9","Bahamas","Policies implemented for all government buildings to be smoke free. Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses banning smoking in ALL indoor public places amongst others","Governmental policies banning smoking in all government agencies airports common areas and open air markets","Answer/report not provided"
"10","Bahrain (Kingdom of)","According to article 4 of antismoking law smoking is prohibited in all colsed public places however a designated area for smokers can be allocated provided it is compliant with specifications of smoking areas stated by Ministry of Health.","article 4 in low No. 8 of year 2009 which ban smoking in wide range of closed areas which was implemented in steps started in malls and work places extended to resturants and hotels.","Answer/report not provided"
"11","Bangladesh","Conducted mobile courts advocacy meeting & study up ''No Smoking Signage'' at public place and public transport","Conducted mobile courts advocacy meeting and installed No Smoking Signage at public place and public transport.","Answer/report not provided"
