"","Party","2014","2012","2010"
"1","Afghanistan","We have law on ban of the tobacco production and ban for the children specially under 18 years old","tobacco control legislation is under process and no any information at this point","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","information relative à la nicotine et au goudron est mentionnée sur le paquet de cigarette","Projet modifiant et complétant le décret exécutif N 04-331 du 18 octobre 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","The three main tobacco companies involved in the Australian market (Philip Morris Limited. British American Tobacco Australia Limited and Imperial Tobacco Australia Limited) disclose information about the ingredients of cigarettes pursuant to a voluntary agreement with the Australian Government Department of Health. The data is posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/health-pubhlth-strateg-drugs-tobacco-ingredients.htm. The three tobacco companies also undertook cigarette emissions testing on a one off basis in 2001. The emissions data were supplied to the Australian Government Department of Health and posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-emis.
The Australian Government Department of Health is developing a regulation impact statement on options for further implementation of WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.","The three tobacco companies involved in manufacturing in Australia (Philip Morris Limited British American Tobacco Australia Limited and Imperial Tobacco Australia Limited) disclose information about the ingredients of cigarettes pursuant to a voluntary agreement with the Australian Government Department of Health and Ageing. The data is posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/health-pubhlth-strateg-drugs-tobacco-ingredients.htm. The three tobacco companies also undertook cigarette emissions testing on a one off basis in 2001. The emissions data were supplied to the Australian Government Department of Health and Ageing and posted unmodified at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-emis.
The Department is currently commissioning further research on the scientific technical practical feasibility and public health value of regulating disclosure of tobacco product ingredients and emissions data. This research will help inform future consideration of further regulatory options. 
In addition the Australian Government requires public disclosure of information about the contents and emissions of tobacco products through messages required to be displayed on the side of cigarette packs. New requirements were introduced in the Competition and Consumer (Tobacco) Information Standard 2011 which commenced on 1 January 2012 and can be accessed at www.comlaw.gov.au. The new requirements include multiple information messages that are linked to specific graphic health warnings and are required to be rotated in the same manner as graphic health warnings. The information messages were informed by scientific evidence and market research findings and are a mix of both new and familiar information about the toxic chemicals in tobacco smoke and their health effects. Between 1 January 2012 and 30 November 2012 tobacco products can comply with either the Competition and Consumer (Tobacco) Information Standard 2011 or the Trade Practices (Consumer Product Information Standard) (Tobacco) Regulations 2004. From 1 December 2012 all tobacco products must comply with the new Standard.","Australia has commissioned projects to inform future disclosure of emissions ingredients."
"7","Austria","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) into national law: This will result in an amendment of the Austrian Tobacco act also taking into account reporting obligations for all ingredients and enhanced reporting obligations for additives on a “priority list”.","According to § 8 of the Austrian tobacco Act producers/importers have to report to the Federal Ministry of Health on the content of all tobacco products as well as the tar carbonmonoxide and nicotine content in cigarette smoke of products sold on the Austrian market once a year. Since 2010 the data (including trade secrets) has to be reported into a secure electronic database (EMTOC) according to the Austrian regulation on reporting on tobacco product ingredients (TIEV Federal Law gazette II No. 16/2010 - https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20006671).","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses regulation of tobacco product disclosures","Draft legislation produced in the Ministry of Health by reviewing legislation enacted withing the Caribbean subregion. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","no progress","Answer/report not provided"
