"","Party","2014","2012","2010"
"1","Afghanistan","Not applicable","Not applicable","Answer/report not provided"
"2","Albania","No","No","Answer/report not provided"
"3","Algeria","No","No","Not applicable"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","No","No","No"
"6","Australia","Not applicable","Not applicable","Not applicable"
"7","Austria","Not applicable","Not applicable","Answer/report not provided"
"8","Azerbaijan","No","No","No"
"9","Bahamas","Not applicable","Not applicable","Answer/report not provided"
"10","Bahrain (Kingdom of)","Not applicable","Not applicable","Answer/report not provided"
"11","Bangladesh","Yes","Yes","Yes"
"12","Barbados","Not applicable","Not applicable","Answer/report not provided"
"13","Belarus","No","No","No"
"14","Belgium","No","No","No"
"15","Belize","Not applicable","Answer/report not provided","Answer/report not provided"
"16","Benin","No","Not applicable","Not applicable"
"17","Bhutan","Not applicable","Not applicable","Not applicable"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","No","Not applicable","Answer/report not provided"
"20","Botswana","Answer/report not provided","Not applicable","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","Not applicable","Not applicable","Answer/report not provided"
"23","Bulgaria","Yes","No","Not applicable"
"24","Burkina Faso","Yes","Yes","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Not applicable","Not applicable","Not applicable"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","No","Yes","Yes"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","Yes","Answer/report not provided"
"31","Chile","No","No","Answer/report not provided"
"32","China","Yes","Yes","Yes"
"33","Colombia","Yes","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","Not applicable","No"
"35","Congo","No","Not applicable","Answer/report not provided"
"36","Cook Islands","Not applicable","Not applicable","Not applicable"
"37","Costa Rica","No","Not applicable","Answer/report not provided"
"38","Côte d'Ivoire","Not applicable","No","Answer/report not provided"
"39","Croatia","No","No","Answer/report not provided"
"40","Cyprus","Not applicable","Not applicable","Not applicable"
"41","Czech Republic","Not applicable","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Not applicable","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Not applicable","Not applicable","Not applicable"
"45","Djibouti","Not applicable","Not applicable","Answer/report not provided"
"46","Ecuador","No","No","Answer/report not provided"
"47","Egypt","Not applicable","Not applicable","Not applicable"
"48","El Salvador","Not applicable","Answer/report not provided","Answer/report not provided"
"49","Estonia","Not applicable","Not applicable","Answer/report not provided"
"50","European Union","Yes","Yes","Answer/report not provided"
"51","Fiji","No","No","Answer/report not provided"
"52","Finland","Not applicable","Not applicable","Not applicable"
"53","France","Not applicable","No","Not applicable"
"54","Gabon","Not applicable","No","Answer/report not provided"
"55","Gambia","Not applicable","Not applicable","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","No","No","No"
"58","Ghana","No","No","No"
"59","Greece","No","No","Answer/report not provided"
"60","Grenada","Not applicable","Answer/report not provided","Answer/report not provided"
"61","Guatemala","No","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","Not applicable","Not applicable"
"63","Honduras","Yes","Yes","Yes"
"64","Hungary","Yes","Yes","No"
"65","Iceland","Not applicable","Not applicable","Answer/report not provided"
"66","India","No","No","Yes"
"67","Iran (Islamic Republic of)","No","No","Answer/report not provided"
"68","Iraq","Yes","Not applicable","Answer/report not provided"
"69","Ireland","Not applicable","Not applicable","Not applicable"
"70","Israel","Answer/report not provided","Not applicable","Answer/report not provided"
"71","Italy","Yes","Answer/report not provided","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","No","No","No"
"74","Jordan","Not applicable","Not applicable","Not applicable"
"75","Kazakhstan","No","No","Answer/report not provided"
"76","Kenya","No","Answer/report not provided","No"
"77","Kiribati","Not applicable","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Not applicable","Not applicable","Not applicable"
"79","Kyrgyzstan","Yes","No","Answer/report not provided"
