"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","No","No","Answer/report not provided"
"3","Algeria","No","No","No"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","No","No","No"
"6","Australia","Yes","Yes","Yes"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","No","No","No"
"9","Bahamas","No","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","No","No","Answer/report not provided"
"11","Bangladesh","No","No","Yes"
"12","Barbados","No","No","Answer/report not provided"
"13","Belarus","No","No","No"
"14","Belgium","No","No","No"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","No","No"
"17","Bhutan","No","No","No"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","No","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","No","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","No","No","Answer/report not provided"
"23","Bulgaria","No","No","No"
"24","Burkina Faso","No","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","No","No","No"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Yes"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","No","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","No","Answer/report not provided","Answer/report not provided"
"33","Colombia","Yes","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","No","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","No","No","No"
"37","Costa Rica","Yes","Yes","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","No","Answer/report not provided","Answer/report not provided"
"40","Cyprus","No","No","No"
"41","Czech Republic","Yes","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","No","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Yes","Yes","Yes"
"45","Djibouti","No","No","Answer/report not provided"
"46","Ecuador","Yes","Yes","Answer/report not provided"
"47","Egypt","Yes","No","Yes"
"48","El Salvador","No","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","Yes","Answer/report not provided"
"50","European Union","Yes","Yes","Yes"
"51","Fiji","No","No","Answer/report not provided"
"52","Finland","Yes","Yes","Yes"
"53","France","Yes","Yes","Yes"
"54","Gabon","No","No","Answer/report not provided"
"55","Gambia","No","No","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","Yes","Yes","Yes"
"58","Ghana","No","No","No"
"59","Greece","Yes","Yes","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Yes","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","No","No"
"63","Honduras","No","No","No"
"64","Hungary","Yes","Yes","Yes"
"65","Iceland","Yes","Yes","Answer/report not provided"
"66","India","Yes","Yes","Yes"
"67","Iran (Islamic Republic of)","No","No","Answer/report not provided"
"68","Iraq","No","No","Answer/report not provided"
"69","Ireland","Yes","No","No"
"70","Israel","Answer/report not provided","Yes","Answer/report not provided"
"71","Italy","No","No","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","Yes","Yes","Yes"
"74","Jordan","Yes","Yes","Yes"
"75","Kazakhstan","No","No","Answer/report not provided"
"76","Kenya","No","Answer/report not provided","No"
"77","Kiribati","No","Answer/report not provided","Answer/report not provided"
"78","Kuwait","No","No","No"
"79","Kyrgyzstan","No","Yes","Answer/report not provided"
"80","Lao People's Democratic Republic","Yes","Yes","Answer/report not provided"
"81","Latvia","No","No","No"
"82","Lebanon","No","No","No"
"83","Lesotho","No","No","No"
"84","Libyan Arab Jamahiriya","No","No","Answer/report not provided"
"85","Lithuania","No","No","No"
"86","Luxembourg","No","No","No"
"87","Madagascar","No","Yes","Yes"
"88","Malaysia","Yes","Yes","Yes"
"89","Maldives","No","Answer/report not provided","Answer/report not provided"
"90","Mali","No","No","Answer/report not provided"
"91","Malta","No","No","No"
"92","Marshall Islands","No","No","No"
"93","Mauritania","No","No","Answer/report not provided"
"94","Mauritius","No","No","No"
"95","Mexico","Yes","Yes","Yes"
"96","Micronesia (Federated States of)","Yes","No","Yes"
"97","Mongolia","No","No","No"
"98","Montenegro","No","No","No"
"99","Myanmar","No","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","No","No"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","No","No","Answer/report not provided"
"103","Netherlands","Yes","Yes","Yes"
"104","New Zealand","Yes","Yes","Yes"
"105","Niger","Answer/report not provided","No","Answer/report not provided"
"106","Nigeria","Yes","Answer/report not provided","Answer/report not provided"
"107","Niue","No","Answer/report not provided","No"
"108","Norway","Yes","Yes","No"
"109","Oman","No","No","No"
"110","Pakistan","No","No","Answer/report not provided"
"111","Palau","No","No","No"
"112","Panama","Yes","Yes","Yes"
"113","Papua New Guinea","No","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","Yes","No","Answer/report not provided"
"116","Philippines","Yes","Yes","Answer/report not provided"
"117","Poland","No","No","Answer/report not provided"
"118","Portugal","Yes","Yes","Yes"
"119","Qatar","No","No","No"
"120","Republic of Korea","Yes","Yes","Yes"
"121","Republic of Moldova","Yes","Yes","Answer/report not provided"
"122","Romania","No","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","Yes","Yes","Answer/report not provided"
"124","Rwanda","Answer/report not provided","No","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","No","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","No","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","No","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","No","No","No"
"130","Sao Tome and Principe","No","No","Answer/report not provided"
"131","Saudi Arabia","Yes","No","Answer/report not provided"
"132","Senegal","No","No","Answer/report not provided"
"133","Serbia","No","No","No"
"134","Seychelles","No","No","No"
"135","Sierra Leone","No","No","Answer/report not provided"
"136","Singapore","Yes","Yes","No"
"137","Slovakia","Yes","Yes","Yes"
"138","Slovenia","No","No","No"
"139","Solomon Islands","No","No","No"
"140","South Africa","No","Yes","Yes"
