"","Party","2014","2012","2010"
"1","Afghanistan","Lack of technical advisor and tobacco unit for tobacco control","We are planning to establish a tobacco control unit in the MoH.","Answer/report not provided"
"2","Albania","On 02 August 2012 the Minister signed the order for the establishment of the task-force for the implementation of the law “On health protection from tobacco products” which will be working in all country. The Albanian Government did not allocate budget for national NGOs.","On 12 August Minister signed the order per the establishment of the task-force for the implementation of the law On health protection from tobacco products which will be only for the Tirana region due to lack of funds. The Albanian Government did not allocated budget for national NGOs.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Un budget est dégagé chaque année par le MSPRH pour la prévention et la lutte anti tabac."
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Annually government allocates the funds for supporting national NGO''s to carry out the tobacco control programmes especially awareness campaigns. Youth foundation is official partner for this project. Source www.heh.am","Answer/report not provided","Since 2005 to 2009 the first National Tobacco Control Program was in effect. In the frame of this program in 2006 2007 and 2008 the Armenian Government allocated budget for national NGOs (annually 100 million of Armenian Drams) for public awareness and monitoring campaigns in tobacco control which are distributed via grants for national NGOs nondependent on the tobacco industry. 
The new State Tobacco Control Program was adopted by the Armenian Government in April 2010 and will be active until 2015. (Please see supporting documents)."
"6","Australia","The National Tobacco Strategy (NTS) 2012-2018 was endorsed by Commonwealth. state and territory Health Ministers at the 9 November 2012 meeting of the Standing Council on Health. and was published on the National Drug Strategy website on 2 January 2013 (www.nationaldrugstrategy.gov.au). 
The NTS 2012-2018 was developed by the Intergovernmental Committee on Drugs. Standing Committee on Tobacco as a sub-strategy under the National Drug Strategy 2010-2015. and sets out a national framework to reduce tobacco related harm in Australia. with the goal “to improve the health of all Australians by reducing the prevalence of smoking and its associated health. social and economic costs. and the inequalities it causes”.
The objectives of the NTS 2012-2018 are to:
1. prevent uptake of smoking;
2. encourage and assist as many smokers as possible to quit as soon as possible. and prevent relapse;
3. reduce smoking among Aboriginal and Torres Strait Islander people. groups at higher risk from smoking. and other populations with a high prevalence of smoking;
4. eliminate harmful exposure to tobacco smoke among non-smokers;
5. reduce harm associated with continuing use of tobacco and nicotine products;
6. ensure that tobacco control in Australia is supported by focused research and evaluation; and
7. ensure that all of the above contribute to the continued denormalisation of smoking. 
The NTS 2012-2018 identifies nine priority areas for action. including; 
1. Protect public health policy. including tobacco control policies. from tobacco industry interference;
2. Strengthen mass media campaigns to : motivate smokers to quit and recent quitters to remain quit; discourage uptake of smoking; and reshape social norms about smoking; 
3. Continue to reduce the affordability of tobacco products; 
4. Bolster and build on existing programs and partnerships to reduce smoking rates among Aboriginal and Torres Strait Islander people; 
5. Strengthen efforts to reduce smoking among people in populations with a high prevalence of smoking;
6. Eliminate remaining advertising. promotion and sponsorship of tobacco products;
7. Consider further regulation of the contents. product disclosure and supply of tobacco products and alternative nicotine delivery systems;
8. Reduce exceptions to smoke-free workplaces. public places and other settings; and
9.	Provide greater access to a range of evidence-based cessation services and supports to help smokers to quit.
The NTS 2012-2018 also recognises the social and health inequalities associated with tobacco use. and emphasises the importance of working in partnership to reduce smoking rates among Aboriginal and Torres Strait Islander people. and other populations with a high prevalence of smoking.
Overall progress under the NTS 2012-2018 will be monitored using targets consistent with the performance benchmark agreed by the Council of Australian Governments (COAG) in the 2008 National Healthcare Agreement and its 2012 update. and the public health outcome identified in the COAG 2008 National Partnership Agreement on Preventive Health and its 2012 update. These targets are set out in the NTS 2012-2018 (pages 2. 11 and 38) as follows:
By 2018:
1. Reduce the national adult daily smoking rate to 10 per cent of the population.
2. Halve the Aboriginal and Torres Strait Islander adult daily smoking rate (from 47%) over the 2009 baseline","New coordination arrangements for tobacco control in Australia are being implemented under the National Drug Strategy 2010-15. A Standing Committee on Tobacco co-chaired by the Australian Government and the government of the State of South Australia has been established under the Intergovernmental Committee on Drugs (IGCD). The Standing Committee includes expert members from outside the government sector including an Indigenous expert member. The first priority of the Standing Committee is the development of a new National Tobacco Strategy (NTS) for 2012-18. The NTS fits within the National Drug Strategy and is auspiced through the IGCD. It is the framework for national tobacco control policy and programs. At the time of submission of this report the draft for consultation of the National Tobacco Strategy 2012-18 was under consideration by all jurisdictional health ministers.
The National Healthcare Agreement of the Council of Australian Governments (comprising all States and Territories and the Commonwealth Government) has set a target of reducing the adult daily smoking rate in Australia to ten per cent by 2018 and halving Aboriginal and Torres Strait Islander smoking rates within the same period. The National Preventative Health Strategy of the Preventative Health Taskforce and the Governments response to that Strategy also outline strategic directions and targets for these reductions.","."
"7","Austria","The FMH is currently developing a national addiction prevention strategy focusing on young people. This strategy will cover all kinds of addiction: non-substance as well substance related addictions including alcohol and tobacco. In thins context the national strategy will also cover national coordinating mechanism for tobacco control taking into the account the FCTC provisions. In preparation of this strategy the FMH initiated and completed already a study (“Delphi-Study”) in order to consult well-known experts and practitioners in the fields of science and addiction related matters. 
On provincial level there are already some addiction prevention strategies existing taking into account tobacco prevention measures/activities (monitored by the FMH). Carinthia f.ex. is currently developing a regional tobacco strategy.
On World No Tobacco Day 2006 the Austrian quitline (“Rauchertelefon”) an initiative of the Social Insurance Agencies the Austrian Provinces and the FMH was launched. It provides information and help on smoking and smoking cessation. Besides also on subnational level several programmes are initiated many of them by addiction prevention units on provincial or regional level. As from 1st May 2014 the Austrian quitline will be renaimed from “Rauchertelefon” (“smoking quitline”) into” Rauchfrei Telefon” (“smokefree quitline”) and will be furthermore offered free of charge.","As of 1/1/2009 major amendments to the Austrian tobacco act entered into force including smoking restrictions (with exemptions) also for hospitality venues. After a transitional period lasting until 30/6/2010 at least 50% of the places of all hospitality venues with the exemption of 1-room-premises with a surface of under 50m² (in certain cases up to 80m² if a division into 2 rooms is forbidden by legal provisions) must be smokefree. If hospitality venues provide more than 1 room for serving guests the main room is in any case covered by a smoking ban. Smoking and non-smoking areas cannot be in one room but only in detached rooms that can be closed with a door. Hospitality venues have to be marked as smoking/non-smoking or mixed premises at the entrance and also inside. Fines for violations of the smoking bans were introduced for the tenants of the premises (public rooms as well as hospitality venues) as well as smokers. As of 1/7/2010 within the Federal ministry of health an Ombudsstelle for the protection from tobacco smoke has been estblished where citizens can ask questions and address complaints about violations of smoking bans etc.","Answer/report not provided"
"8","Azerbaijan","National Clinical Protocol on Smoking Cessation developed and approved National Clinical Protocol on Prevention of Cardio-Vascular Diseases developed ''The National Tobacco Control Strategy 2011-2015'' developed the National Tobacco Control Coalition established in 2009 the draft Law on Banning Smoking in Public Places developed. These documents are not available in English.","The National Tobacco Control Strategy 2011-2015 and The MOH Action Plan to help to quit tobacco use 2011-2015 developed the National Tobacco Control Coalition established in 2009 the draft Law on Banning Smoking in Public Places developed. These documents are not available in English.","The National Tobacco Control Strategy 2011-2015 and The MOH Action Plan to help to quit tobacco use 2011-2015 developed the National Tobacco Control Coalition established in 2009 the draft Law on Banning Smoking in Public Places developed. These documents are not available in English."
"9","Bahamas","Draft Tobacco Control Bill 2014 is being discussed among Cabinet Members for official tabling and passage","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","The issuance of Royal Decree-Law No. (8) for the year 2009 on the control of smoking and tobacco which gave a strong impetus to efforts to combat smoking in the Kingdom also contributed to the formation of the National Committee to combat smoking and tobacco headed by the Minister of Health which includes representatives on the various governmental sectors. Since then several decrees were issued to implement the antismoking law including banning smokeless tobacco in Bahrain role and regulations of tobacco products sales regulations of tobacco products serving places (shisha) banning of tobacco products promotion and advertisements implementing pictorial warnings starting August 2012 and banning E-cigarette.","reforming of the anti tobacco committee which contiued with the implementaion of the tobacoo control ntional strategy increase the covering of the implementaion of smoke free areas to include the resturants and hotels","Answer/report not provided"
