"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","No","Answer/report not provided"
"2","Albania","Yes","Yes","Answer/report not provided"
"3","Algeria","No","Yes","Yes"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","Yes","Yes","Yes"
"6","Australia","No","No","No"
"7","Austria","Yes","No","Answer/report not provided"
"8","Azerbaijan","No","Answer/report not provided","Answer/report not provided"
"9","Bahamas","No","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","Yes","Yes","Answer/report not provided"
"11","Bangladesh","Yes","Yes","Yes"
"12","Barbados","No","No","Answer/report not provided"
"13","Belarus","Yes","Yes","Yes"
"14","Belgium","Yes","No","No"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","Yes","Yes"
"17","Bhutan","Yes","Yes","Yes"
"18","Bolivia","Answer/report not provided","Yes","Answer/report not provided"
"19","Bosnia and Herzegovina","Yes","Yes","Answer/report not provided"
"20","Botswana","Answer/report not provided","Yes","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","Yes","No","Answer/report not provided"
"23","Bulgaria","Yes","Yes","Yes"
"24","Burkina Faso","Yes","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Yes","Yes","Yes"
"27","Cameroon","Yes","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Yes"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","Yes","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","Yes","Yes","Yes"
"33","Colombia","No","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","No","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","Yes","Yes","Yes"
"37","Costa Rica","Yes","Yes","Answer/report not provided"
"38","Côte d'Ivoire","Yes","Yes","Answer/report not provided"
"39","Croatia","No","Yes","Answer/report not provided"
"40","Cyprus","No","No","No"
"41","Czech Republic","No","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Yes","Yes","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","No","No","No"
"45","Djibouti","No","No","Answer/report not provided"
"46","Ecuador","Yes","No","Answer/report not provided"
"47","Egypt","Yes","Yes","Yes"
"48","El Salvador","Yes","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","No","Answer/report not provided"
"50","European Union","Yes","Yes","Yes"
"51","Fiji","Yes","Yes","Answer/report not provided"
"52","Finland","Yes","Yes","Yes"
"53","France","Yes","No","No"
"54","Gabon","No","No","Answer/report not provided"
"55","Gambia","Yes","No","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","Yes","Yes","Yes"
"58","Ghana","Yes","Yes","No"
"59","Greece","Yes","Yes","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","No","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","Yes","Yes"
"63","Honduras","No","No","No"
"64","Hungary","No","No","No"
"65","Iceland","No","No","Answer/report not provided"
"66","India","Yes","Yes","Yes"
"67","Iran (Islamic Republic of)","Yes","Yes","Answer/report not provided"
"68","Iraq","Yes","Yes","Answer/report not provided"
"69","Ireland","Yes","No","No"
"70","Israel","Answer/report not provided","Yes","Answer/report not provided"
"71","Italy","Yes","Yes","Answer/report not provided"
"72","Jamaica","Yes","Answer/report not provided","Answer/report not provided"
"73","Japan","Yes","Yes","Yes"
"74","Jordan","Yes","Yes","Yes"
"75","Kazakhstan","No","No","Answer/report not provided"
"76","Kenya","No","Answer/report not provided","Yes"
"77","Kiribati","No","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Yes","Yes","Yes"
"79","Kyrgyzstan","Yes","No","Answer/report not provided"
"80","Lao People's Democratic Republic","No","No","Answer/report not provided"
"81","Latvia","No","No","No"
"82","Lebanon","Yes","Yes","Yes"
"83","Lesotho","No","Answer/report not provided","Yes"
"84","Libyan Arab Jamahiriya","Yes","Yes","Answer/report not provided"
"85","Lithuania","No","Answer/report not provided","Yes"
"86","Luxembourg","Yes","Yes","Yes"
"87","Madagascar","No","No","No"
"88","Malaysia","No","No","No"
"89","Maldives","Yes","Answer/report not provided","Answer/report not provided"
"90","Mali","No","No","Answer/report not provided"
"91","Malta","Answer/report not provided","No","No"
"92","Marshall Islands","Yes","No","No"
"93","Mauritania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"94","Mauritius","Yes","Yes","Yes"
"95","Mexico","Yes","Yes","Yes"
"96","Micronesia (Federated States of)","Yes","Yes","Answer/report not provided"
"97","Mongolia","Yes","Yes","Yes"
"98","Montenegro","Yes","Yes","Yes"
"99","Myanmar","Yes","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Yes","Yes"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Yes","Yes","Answer/report not provided"
"103","Netherlands","No","No","No"
"104","New Zealand","No","No","No"
"105","Niger","Answer/report not provided","Yes","Answer/report not provided"
"106","Nigeria","No","Answer/report not provided","Answer/report not provided"
"107","Niue","No","Answer/report not provided","No"
"108","Norway","No","No","No"
"109","Oman","No","No","No"
"110","Pakistan","No","No","Answer/report not provided"
"111","Palau","Yes","Yes","Yes"
"112","Panama","Yes","Yes","Yes"
"113","Papua New Guinea","No","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","Yes","No","Answer/report not provided"
"116","Philippines","Yes","Yes","Answer/report not provided"
"117","Poland","Yes","Yes","Answer/report not provided"
"118","Portugal","No","No","No"
"119","Qatar","No","Yes","Answer/report not provided"
"120","Republic of Korea","Yes","Yes","Yes"
"121","Republic of Moldova","Yes","No","Answer/report not provided"
"122","Romania","No","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","No","No","Answer/report not provided"
"124","Rwanda","Answer/report not provided","Yes","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","No","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","No","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","No","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","No","No","No"
"130","Sao Tome and Principe","No","No","Answer/report not provided"
"131","Saudi Arabia","No","No","Answer/report not provided"
"132","Senegal","No","No","Answer/report not provided"
"133","Serbia","No","No","No"
"134","Seychelles","No","No","No"
"135","Sierra Leone","No","Answer/report not provided","Answer/report not provided"
"136","Singapore","No","Yes","Yes"
"137","Slovakia","Yes","Yes","Yes"
"138","Slovenia","Yes","Yes","Yes"
"139","Solomon Islands","Yes","Yes","Yes"
"140","South Africa","No","Yes","Yes"
"141","Spain","Answer/report not provided","Yes","Yes"
"142","Sri Lanka","Answer/report not provided","No","Answer/report not provided"
"143","Sudan","Answer/report not provided","No","Answer/report not provided"
"144","Suriname","Yes","Yes","Answer/report not provided"
"145","Swaziland","Answer/report not provided","No","Answer/report not provided"
"146","Sweden","No","No","Yes"
"147","Syrian Arab Republic","Answer/report not provided","Answer/report not provided","Yes"
"148","Tajikistan","No","Answer/report not provided","Answer/report not provided"
"149","Thailand","Yes","Yes","Yes"
"150","The former Yugoslav Republic of Macedonia","Yes","Answer/report not provided","Answer/report not provided"
"151","Timor-Leste","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"152","Togo","Yes","Yes","No"
"153","Tonga","Yes","Yes","Yes"
"154","Trinidad and Tobago","No","No","No"
"155","Tunisia","Yes","Yes","Answer/report not provided"
"156","Turkey","Yes","Yes","Yes"
"157","Turkmenistan","Yes","Answer/report not provided","Answer/report not provided"
"158","Tuvalu","No","Answer/report not provided","Answer/report not provided"
"159","Uganda","No","Yes","Answer/report not provided"
"160","Ukraine","No","No","No"
"161","United Arab Emirates","Yes","Yes","Answer/report not provided"
"162","United Kingdom","Yes","Yes","Yes"
"163","United Republic of Tanzania","No","Answer/report not provided","Answer/report not provided"
"164","Uruguay","Yes","Yes","No"
"165","Uzbekistan","Yes","Answer/report not provided","Answer/report not provided"
"166","Vanuatu","No","Yes","Answer/report not provided"
"167","Venezuela","Yes","Yes","Answer/report not provided"
"168","Viet Nam","Yes","Yes","Yes"
"169","Yemen","No","Yes","Answer/report not provided"
