"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","No","Answer/report not provided"
"2","Albania","No","No","Answer/report not provided"
"3","Algeria","Yes","Answer/report not provided","No"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Yes","No","No"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","No","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","No","No","Answer/report not provided"
"11","Bangladesh","No","No","No"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","No","No","No"
"14","Belgium","No","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","No","Yes","Yes"
"17","Bhutan","No","No","No"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","No","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","No","Answer/report not provided"
"21","Brazil","Yes","Yes","Yes"
"22","Brunei Darussalam","No","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Yes","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","Yes","Answer/report not provided","Answer/report not provided"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","No","Answer/report not provided"
"31","Chile","No","Answer/report not provided","Answer/report not provided"
"32","China","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"33","Colombia","Yes","Yes","Answer/report not provided"
"34","Comoros","Answer/report not provided","No","No"
"35","Congo","No","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","No","Yes","No"
"37","Costa Rica","No","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"39","Croatia","Yes","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Yes","Yes","Yes"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Yes","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Yes","No","No"
"45","Djibouti","Yes","Yes","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","No","Answer/report not provided","Yes"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","No","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","No","No","Answer/report not provided"
"52","Finland","Yes","Yes","Answer/report not provided"
"53","France","No","No","Yes"
"54","Gabon","No","Answer/report not provided","Answer/report not provided"
"55","Gambia","No","No","Answer/report not provided"
"56","Georgia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"57","Germany","Yes","Yes","Yes"
"58","Ghana","No","Answer/report not provided","Yes"
"59","Greece","Yes","Yes","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","Yes","No","No"
"64","Hungary","No","Yes","Answer/report not provided"
"65","Iceland","No","No","Answer/report not provided"
"66","India","No","Yes","Answer/report not provided"
"67","Iran (Islamic Republic of)","Yes","No","Answer/report not provided"
"68","Iraq","No","Answer/report not provided","Answer/report not provided"
"69","Ireland","No","No","No"
"70","Israel","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"71","Italy","No","Yes","Answer/report not provided"
"72","Jamaica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"73","Japan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"74","Jordan","No","No","No"
"75","Kazakhstan","Answer/report not provided","No","Answer/report not provided"
"76","Kenya","Yes","Answer/report not provided","Yes"
"77","Kiribati","No","Answer/report not provided","Answer/report not provided"
"78","Kuwait","No","No","No"
"79","Kyrgyzstan","No","No","Answer/report not provided"
"80","Lao People's Democratic Republic","No","Answer/report not provided","Answer/report not provided"
"81","Latvia","No","No","Answer/report not provided"
"82","Lebanon","No","Answer/report not provided","Answer/report not provided"
