"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","La règlementation de base concernant les environnements sans fumée est la loi de 1985 sur promotion de la santé (article 66 Chapitre IV). Voir annexe 2.","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","According to the List of priority actions of the State Tobacco Control Program (see annex 1) it is envisaged to change the packaging and labelling of tobacco products up to 2015 and introduction of new types of it with the possible use of pictorial warnings.
Please see annex 3 for details on packaging and labelling.","According to the List of priority actions of the State Tobacco Control Program it is envisaged to change the packaging and labeling of tobacco products up to 2015 and introduction of new types of it with the possible use of pictorial warnings."
"6","Australia","Answer/report not provided","Answer/report not provided","The Australian Government owns copyright for some but not all the images used as graphic health warnings. Copyright licences can be granted for the images owned by the Australian Government. Licences for the other images will need permission from their owners and may include a fee. 
On 29 April 2010 the Australian Government announced that as part of its 2010/11 Budget $2.6 million (over four years) was allocated to develop and introduce legislation to ensure all cigarettes will be sold in plain packaging by 1 July 2012. This will remove one of the last remaining forms of cigarette advertising.	The legislation will restrict or prohibit tobacco industry logos brand imagery colours and promotional text other than brand and product names in a standard colour position font style and size.
The Government will develop and test package design that will make cigarettes less appealing particularly to young people. Graphic health warnings will be updated and expanded. Research shows that industry branding and packaging design reduce the effectiveness of graphic health warnings on tobacco products."
"7","Austria","Cigarette packs must contain information about the emissions/contents of tar nicotine and carbonmonoxide in the smoke of 1 cigarette. Detailed provisions on packaging and labelling can be found in Para. 4a 5 6 and 7 of the Austrian Tobacco act.","Cigarette packs must contain information about the emissions of tar nicotine and carbonmonoxide in the smoke of 1 cigarette.
Detailed provisions on packaging and labelling can be found in §§ 4a 5 6 and 7 of the Austrian Tobacco act :
https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10010907","Answer/report not provided"
"8","Azerbaijan","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Article 13","Source: the Law on Tobacco and tobacco products of Azerbaijan Republic","Source: the Law on Tobacco and tobacco products of Azerbaijan Republic"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Article 10 of the 2005 Law concerns packaging of tobacco products.","Answer/report not provided"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","Anvisa has issued a public consultation (CP 117/2010 - http://portal.anvisa.gov.br/wps/wcm/connect/2bab1e004535a66bb52df52475bf1155/CP+N%C2%BA+117+GPDTA.pdf?MOD=AJPERES) deadline for submission 31 March 2011.","Anvisa has issued a public consultation (CP 117/2010 - http://portal.anvisa.gov.br/wps/wcm/connect/2bab1e004535a66bb52df52475bf1155/CP+N%C2%BA+117+GPDTA.pdf?MOD=AJPERES) deadline for submission 31 March 2011."
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","The requirements mentioned above are enforced since 2005. There is no new requirements at the present.","Answer/report not provided"
"24","Burkina Faso","La chambre du commerce des USA a aussi interpelé le gouvernement du Burkina Faso quant à certaines dispositions du décret portant sur le conditionnement et l’étiquetage des produits du tabac.","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Canada''s health warnings are displayed in full colour with English on one side of the package and French on the other. 
Some products with a small market share. such as waterpipe tobacco. are not required to display a health warning. while the health warnings on some cigar and pipe packages may not occupy less than 30% of the main panels on occasions. Cigars sold individually are not required to display health warnings. 
With respect to 3.2.5.11. the Government owns the copyright for most. but not all. of the pictures used in the health warnings.","Canadas health warnings are displayed in full colour with English on one side of the package and French on the other. 
Some products with a small market share such as waterpipe tobacco are not required to display a health warning while the health warnings on some cigar and pipe packages may not occupy less than 30% of the main panels on occasions. Cigars sold individually are not required to display health warnings. 
With respect to 3.2.5.11 the Government owns the copyright for most but not all of the pictures used in the health warnings.","Please refer to Annex 3 for activities on packaging and labelling of tobacco products.
In responding to 3.2.5.5 regarding the rotational policy on health warning messages Canada indicates that it has not adopted or implemented policies or programs for the rotation of health warnings. Canada has implemented a process of random display versus rotational for the display of health warning messages. 
Canadas health warnings are displayed in full colour and in English on one principle display and in French on the other side of the display panel. They occupy 50% of the display surface and are positioned in a manner that ensures that none of the words of the warning are severed when the package is opened. 
There are a total of 16 separate health messages that are randomly displayed through the market place.
Canadas health warning messages are defined in Federal Regulations (JUS-601413)."
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Article 13 de la loi 10/PR/2010. http://www.who.int/entity/fctc/reporting/Annex4_TobaccoControlAct_2010.pdf","Answer/report not provided"
"31","Chile","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"32","China","Answer/report not provided","The printing and sale of packages of cigarettes without permission creates a condition for the production and sale of counterfeit noted cigarettes. The administrations for industry and commerce at all levels have subject to the provisions of the Anti-unfair Competiton Law of the Peoples Republic of China actively investigated and punished such illegal behaviors as printing and selling packages of famous commodities including cigarettes without permission thus having made a contribution to the elimination of false and shoddy tobacco products","The printing and sale of packages of cigarettes without permission creates a condition for the production and sale of counterfeit noted cigarettes. The administrations for industry and commerce at all levels have subject to the provisions of the Anti-unfair Competiton Law of the Peoples Republic of China actively investigated and punished such illegal behaviors as printing and selling packages of famous commodities including cigarettes without permission thus having made a contribution to the elimination of false and shoddy tobacco products"
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Answer/report not provided","La mention abus nocif à la santé est maintenant visible sur les paquets de cigarette par rapport il y a de cela 2 ans.","Answer/report not provided"
"36","Cook Islands","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"37","Costa Rica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Cet aspectde la problématique du tabagisme sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","3.2.5.2: Cet article est réglementée par lArticle 10 de la Loi 2008. Voir à http://www.who.int/entity/fctc/reporting/party_reports/djibouti_annex1_tobacco_control_act_2008.pdf.
3.2.5.4 3.2.5.5 3.2.5.6 3.2.5.9 et 3.2.5.10: Article 11 de la Loi 2008. Voir annexe.
3.2.5.13: Article 12 de la Loi 2008. Voir annexe.
3.2.5.14: Article 13 de la Loi 2008. Voir annexe.
Larrêté n 2008-491/PR/MS fixe les mises en gardes sanitaires combinées et messages pour tout conditionnement des produits du tabac. Voir annexe.
Aussi le Décret n 2008-0183/PR/MS fixe les modalités dinscription des mentions qui doivent être portées sur la couverture extérieure des paquets et emballage contenant des produits de tabac. Voir à http://www.who.int/entity/fctc/reporting/party_reports/djibouti_annex4_presidential_decree_packaging_and_labelling_2008.pdf.","Answer/report not provided"
"46","Ecuador","La tercera edición de la Revista. “Informe Internacional sobre advertencias sanitarias en los empaques de cigarrillos” de octubre de 2012. editado por la Sociedad Canadiense de Cáncer. ubica al Ecuador en el octavo (8vo) lugar entre 198 países por el tamaño y las características de las advertencias sanitarias.
Los pictogramas elaborados por la Autoridad Sanitaria del Ecuador están disponibles para que puedan ser utilizados en otros países.","Los pictogramas elaborados por la Autoridad Sanitaria del Ecuador está disponible para que puedan ser utilizados en otros países","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","Regarding point 3.2.5.11 the European Union owns the copyright of a majority of pictures and pictograms currently in use in 10 EU Member States on a voluntary basis. These pictures and pictograms are presented in the Health Warnings Database at http://www.who.int/tobacco/healthwarningsdatabase/eu/en/index.html. 
The Convention Secretariat facilitates the granting of licences to other Parties to use warnings from this database.","The Commission is currently preparing a legislative proposal for the revision of the Tobacco Products Directive 2001/37/EC. The issue of packaging and labelling of tobacco products is being analysed in the ongoing revision. 
Regarding point 3.2.5.11 the European Union owns the copyright of a majority of pictures and pictograms. These pictures and pictograms are presented in the Health Warnings Database at http://www.who.int/tobacco/healthwarningsdatabase/eu/en/index.html. The Convention Secretariat facilitates the granting of licences to other Parties to use warnings from this database.","Regarding point 3.2.5.2 the Tobacco Products Directive (2001/37/EC) bans any texts names trade marks and figurative or other signs on tobacco packaging suggesting that a particular tobacco product is less harmful than others. 
Regarding points 3.2.5.7 and 3.2.5.8 - Depending on the number of official languages the Tobacco Products Directive (2001/37/EC) requires the health warnings to occupy at least 30-35% of the front and 40-50% of the back of the pack.
Regarding point 3.2.5.9 the use of pictorial warnings is optional. Commission Decision C(2005) 1452 final of May 2005 established a library of 42 images - three for each of the 14 specific health warnings."
"51","Fiji","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","In regards to question 3.2.5.1 the general ban on advertising and sales promotion covers also the package itself. However plain packaging has not been introduced."
"53","France","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"54","Gabon","Answer/report not provided","Pour linstant la mise en garde noccupe quun sixième de la boîte de cigarette","Answer/report not provided"
"55","Gambia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"56","Georgia","Answer/report not provided","Nine pictograms are adopted my the Ministry of Labour Health and Social Affairs of Georgia has approved and has copyright on nine pictograms used in EU. But they are not obligatory to use on the tobacco packages so none of the tobacco company has used them yet.","Answer/report not provided"
"57","Germany","Regarding 3.2.5.5. ''rotation'' in the meaning of alternate.
The law on tobacco products can be found under the link:
http://www.gesetze-im-internet.de/bundesrecht/tabprodv/gesamt.pdf","Regarding 3.2.5.5. rotation in the meaning of alternate.
The law on tobacco products can be found under the link:
http://www.gesetze-im-internet.de/bundesrecht/tabprodv/gesamt.pdf","Regarding 3.2.5.5. rotation in the meaning of alternate"
"58","Ghana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","El Instituto Hondureño para la Prevención del Alcoholismo. Drogadicción y Farmacodependencia IHADFA tiene los derechos de autor de las imágenes o pictogramas y los mensajes de advertencia que se ha utilizado en las cajetillas de cigarrillos de 10 unidades y de 20 unidades.","Art # 40 sanciones aplicables al incumplimiento de estas disposiciones. ( la Ley Especial para el control del tabaco).","Art # 40 sanciones aplicables al incumplimiento de estas disposiciones. ( la Ley Especial para el control del tabaco)."
