"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","trainings on tobacco hazards conducted to teachers media youths community leaders and IEC materials in national languages developed and dissaminated also tobacco health hazards included in school curriculla.","Answer/report not provided"
"2","Albania","In addition special educational programs as it was envisaged by the Ministry of Health and WHO were introduced into training plans and conducted in the various health institutions.","In addition special educational programs as it was envisaged by the Ministry of Health and WHO were introduced into training plans and conducted in the various health institutions.","Answer/report not provided"
"3","Algeria","- Reportages sur les effets de la cigarette sur la santé (Cancer de la gorge AVC et autres)
- La télévision a diffusé en moyenne un volume horaire de 50mn54s par an (JT reportages).
- La radio a diffusé sur les 55 chaînes (nationales et locales) en moyenne de 160h par an.
- La presse écrite (06titres publics) a publié 868 articles sur le thème en question.","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","Answer/report not provided"
"5","Armenia","Answer/report not provided","Within the framework of the 2010-2015 State Tobacco Control Program (see Annex 1) it is planed to conduct awareness and education campaigns with various groups of population.","In 2006-2008 within the frameworks of the State Tobacco Control Program means were allocated from the state budget for NGOs to conduct awareness and education campaigns with various groups of population. In addition special educational programs as it was envisaged by the State program were introduced into training plans and conducted in the various medical institutions."
"6","Australia","In Australia. tobacco control education. communication. training and public awareness are a joint responsibility of the Commonwealth Government and state and territory governments. 
The Commonwealth Government has provided funding for national anti-smoking campaigns to contribute to reducing smoking rates in Australia. 
The National Partnership Agreement on Preventive Health Tobacco Social Marketing Campaign focuses on encouraging a reduction in smoking among all adult smokers by motivating quitting attempts and supporting the quitting process. The primary target audiences for this campaign are daily smokers and recent quitters aged 18-40. 
The National Tobacco Campaign – More Targeted Approach is implementing targeted measures to reduce harm from tobacco use among high risk and hard to reach groups. The target groups include pregnant women and their partners. people from culturally and linguistically diverse backgrounds. people living in disadvantaged areas. people with mental illness and prisoners. 
The National Tobacco Campaign features television. radio. print. outdoor and online advertising. Campaign materials are available online at www.quitnow.gov.au. 
In addition to national social marketing campaigns. the Commonwealth Government provides resources and information on Australia''s tobacco control initiatives on the Department of Health website at www.health.gov.au and the Quitnow website at www.quitnow.gov.au/internet/quitnow/publishing.nsf/Content/home. 
The Commonwealth Government has also made additional in national campaigns to contribute to efforts to reduce smoking rates among Aboriginal and Torres Strait Islander people in the long term. as part of a balanced package of measures and in partnership with Indigenous communities. 
The implementation of the AUD $100 million Tackling Smoking measure under the Council of Australian Governments Closing the Gap in Indigenous Health National Partnership continued between 2012 and 2014. The Tackling Smoking measure has established a national network of Regional Tobacco Coordinators and Tobacco Action Workers across 57 regions around Australia. The workers are engaged through Aboriginal Community Controlled Health Organisations where practicable. and reach out to Indigenous communities across each region to increase awareness of the harms from smoking and facilitate smoking prevention and cessation programs. Full training is being provided. and the tobacco workers have access to funding and materials to conduct local community-based social marketing campaigns and community events. 
Funding is also being provided to enhance Quitlines for Indigenous people and to train health workers seeing Indigenous patients in the use of brief interventions to support smoking cessation. 
Education. communication. training and public awareness measures are also in place at state and territory level. For further information. please see Annex 1.","In Australia tobacco control education communication training and public awareness are a joint responsibility of the Commonwealth Government and State and Territory governments. 
The Commonwealth Government is currently investing record funding in two world first national anti-smoking campaigns to contribute to efforts to reduce smoking rates in Australia in the long term as part of a balanced package of measures. 
The National Partnership Agreement on Preventative Health Tobacco Social Marketing Campaign (AUD $61 million over four years from 2009-10) focuses on encouraging a reduction in smoking among all adult smokers by motivating quitting attempts and supporting the quitting process. The primary target audiences for this campaign are daily smokers and recent quitters aged 18-40. The Australian National Preventative Health Agency has primary responsibility for the campaign. 
The National Tobacco Campaign - More Targeted Approach (AUD $27.8 million over four years from 2010-11) is implementing targeted measures to reduce harm from tobacco use among high risk and hard to reach groups. The target groups include pregnant women and their partners people from culturally and linguistically diverse backgrounds people living in disadvantaged areas people with mental illness and prisoners. The Australian Government Department of Health and Ageing has primary responsibility for this campaign. 
The National Tobacco Campaign features television radio print outdoor and online advertising. Campaign materials are available online at www.quitnow.gov.au. 
In addition to national social marketing campaigns the Australian Government provides resources and information on Australias tobacco control initiatives on the Department of Health and Ageing website at www.health.gov.au and the Quitnow website at www.quitnow.gov.au/internet/quitnow/publishing.nsf/Content/home. Public consultation and information on legislative developments is also available on the YourHealth website at www.yourhealth.gov.au/internet/yourhealth/publishing.nsf/Content/theme-prevention.
The Australian Government is making additional record investments in national campaigns to contribute to efforts to reduce smoking rates among Indigenous Australians in the long term as part of a balanced package of measures and in partnership with Indigenous communities. In March 2008 the Australian Government announced the AUD $14.5 million Indigenous Tobacco Control Initiative to pilot innovative approaches to reducing smoking in Indigenous communities. This Initiative is funding 18 projects driven by Indigenous communities around Australia. 
Lessons learned from the Indigenous Tobacco Control Initiative will be applied to the implementation of the AUD $100 million Tackling Smoking measure under the Council of Australian Governments Closing the Gap in Indigenous Health National Partnership. The Tackling Smoking measure includes roll-out of a national network of Regional Tobacco Coordin","A number of awareness campaigns have been developed. See individual responses from sub-jurisdictions - Attachment A"
"7","Austria","On the national level a series of public awareness media campaigns especially targeted at school children and parents were run (f.ex.: ''echt cool'' (2011) ''Nichtrauchen lohnt sich'' (2010); in November 2014 a special conference focussing on tobacco prevention will take place.
On the subnational level and regional level a number of programms were initiated by municipalities local/district authorities etc. for example: 
Styria: The Styrian competence centre for addiction prevention (VIVID) organizes trainings for teachers on addiction prevention in general with a focus on tobacco prevention. Furthermore parent''s evenings on addiction prevention in kindergartens and schools are offered. Trainings were offered for medical practitioneers in free medical practice (general practitioners pediatricians gynecologists dentists specialists in internal medicine) nurseries in hospitals midwifes social workers family workers pharmacists teachers in nursery schools teachers at medical universities teachers at a college for health sciences.
Vorarlberg: SUPRO (garage for addiction prevention) is organizing trainings for teachers and parents (the programme is so called “klartext:nikotin”; http://www.supro.at/klartext/); since January 2014 the programme also includes special trainings for school children (“Niko-Teen” project). Additional information is provided on the website www.supro.at and www.suchthaufen.net. 
Lower Austria: “Free your mind” (project on smoking prevention for school children 2013)
Vienna: “feel-ok.at” (a web-based health programme for the youth aged 12-18 years in regard of f.ex.smoking cessation
Upper Austria: trainings for parents (“Elternkurzintervention Rauchen”","On the national level a series of public awareness media campaigns especially targeted at school children and parents were run (f.ex.: echt cool (2011) Nichtrauchen lohnt sich (2010) ongoing project smokefree schools).
Details on these campaigns can be found at http://bmg.gv.at/home/Presse/Presseunterlagen/Kampagnen/_echt_cool_Informationsoffensive_an_Volksschulen_gegen_Alkohol_und_Zigaretten and
http://bmg.gv.at/home/Presse/Presseunterlagen/Kampagnen/Nichtraucher_Kampagne
On the subnational level and regional level a number of programms were initiated by municipalities local/district authorities etc. As an example here are some details of how Art. 12 is implemented in the federal state of Styria:
In Styria the Styrian competence centre for addiction prevention (VIVID) organizes trainings for teachers (kindergaten elementary school higher schools) on addiction prevention in general with a focus on tobacco prevention. Furthermore parents evenings on addiction prevention in kindergartens and schools are offered.
Trainings were offered for medical practitioneers in free medical practice (general practitioners pediatricians gynecologists dentists specialists in internal medicine) nurseries in hospitals midwifes social workers family workers pharmacists teachers in nursery schools teachers at medical universities teachers at a college for health sciences. The trainings were designed specialized for the target groups. General content of the trainings was:
- general informations about tobacco tobacco use motives for tobacco use tobacco industry consequences of tobacco use benefits of quitting second hand smoke
- possibilities of quitting and aid 
- motivational interviewing for quitting tobacco use (communication training with casuistics in small groups)
Communication campaigns on the topics second hand smoke (2007) Smokefree hospitality venues (2008) protection of children from second hand smoke (2009) and Smoking cessation (2010) were run.
Details can be found at http://www.rauchfrei-dabei.at/","Answer/report not provided"
"8","Azerbaijan","2011-2015 Action Plan of the State Program on ''Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015'' and State Program ''Azerbaijani youth in 2011-2015'' with aspects of tobacco control especial in regards of education communication training and public awareness are now implemented.","Under Bloomberg Initiative (BI) To Reduce Tobacco Use Grant a national capacity for tobacco control was built through appropriate training of more than 40 representatives of key stakeholder organizations. A few policy makers were intensively trained on tobacco control leadership under the BI project. Additional training was provided through the Global Tobacco Control - Learning from the Experts Tobacco Control on-line training package from the John Hopkins Bloomberg School of Public Health.","Under Bloomberg Initiative (BI) To Reduce Tobacco Use Grant a national capacity for tobacco control was built through appropriate training of more than 40 representatives of key stakeholder organizations. A few policy makers were intensively trained on tobacco control leadership under the BI project. Additional training was provided through the Global Tobacco Control - Learning from the Experts Tobacco Control on-line training package from the John Hopkins Bloomberg School of Public Health."
"9","Bahamas","A public awareness campaign including radio TV newspaper and billboard advertisements was implemented in 2013 to coincide with the introduction of the new Tobacco Excise Stamp Tax Act","Observation of World No Tobacco Day Tobacco hazards portion being introduced into Primary School Curriculum","Answer/report not provided"
"10","Bahrain (Kingdom of)","Since the formulation of National Antismoking Committee collaboration with Ministry of information and Ministry of media is strengthened hence more emphasis on tobacco harmful effects was displayed on all types of media and free time was allocated for tobacco harmful effects on National TV. In addition a hotline was assigned for any complain about antismoking law violations any other inquiries related to smoking.","it is continous process","Answer/report not provided"
