"","Party","2014","2012","2010"
"1","Afghanistan","The law on tobacco clearly explained the ban of cigarette or Tobacco production to be sold on minors the violent in this regard subject to pay certain amount ( 5000Afs – 20000Afs) as finality","no progress","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Australian state and territory legislation prohibits the sale of tobacco products to persons under the age of 18 years. requires signage at points of sale warning of the legal age restriction. and requires the purchaser of tobacco products to provide appropriate evidence of having reached full legal age. 
Australian state and territory legislation prohibits the manufacturing and sale of tobacco products resembling toys. and fruit and confectionary flavoured tobacco products. The sale of small packs containing less than 20 cigarettes is also prohibited. 
Australian state and territory legislation restricts the display of tobacco products at points of sale. The sale of cigarettes in vending machines is also restricted. In Victoria. vending machines must be operated by a staff member. except those positioned in sight of the service counter in bars. casinos and bottle shops. In South Australia. vending machines are permitted in liquor licensed premises and gaming areas but must be operated by tokens obtained from a staff member or by staff with a remote control. In New South Wales. vending machines are only allowed in licensed premises restricted to individuals over the age of 18. and like the Australian Capital Territory. may only be operated by staff intervention. Queensland. Tasmania. Western Australia. and the Northern Territory all have measures in place to ensure that tobacco vending machines are not accessible to minors and do not promote the sale of tobacco products to minors. Please see Annex 2 for links to relevant legislation.","Australian State and Territory legislation prohibits the sale of tobacco products to persons under the age of 18 years requires signage at points of sale warning of the legal age restriction and requires the purchaser of tobacco products to provide appropriate evidence of having reached full legal age. 
Australian State and Territory legislation prohibits the manufacturing and sale of tobacco products resembling toys and fruit and confectionary flavoured tobacco products. The sale of small packs containing less than 25 cigarettes is also prohibited. 
Australian State and Territory legislation restricts the display of tobacco products at points of sale. Sales of cigarettes in vending machines is also restricted. In Victoria and South Australia vending machines must be operated by a staff member except those positioned in sight of the service counter in bars casinos and bottle shops. In New South Wales vending machines are only allowed in licensed premises restricted to individuals over the age of 18 and since 1 July 2010 may only be operated by staff intervention. Queensland Tasmania Western Australia and the Northern Territory all have measures in place to ensure that tobacco vending machines are not accessible to minors and do not promote the sale of tobacco products to minors. Please see Annex 2 for links to relevant legislation.","Progress varies between each sub-jurisdiction. Please see Attachment A for individual responses."
"7","Austria","Answer/report not provided","no changes","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses Sales to and by minors","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Several articles in antismoking law which was issued in 2009 prohibited sales to and by minors baned tobacco vending machines and distribution of free tobacco products. In addition a decree was issued by Minister of Health in 2011 regualting sales of tobacco products.
Starting 2011 and still going a campaign was launched to monitor the implementation of antsmoking law at points of sale of tobacco products including sales to and by minors. Persons caught selling tobacco products to minors are referred to public prosecutor","stressing in implementing this article where a unified sign was distributed to all points of sales indicating this law and offenses are made if if this article is not implemented.","Answer/report not provided"
