"","Party","2014","2012","2010"
"1","Afghanistan","Tobacco control legislation is developed and under process for approval of presidential office it was developed in the Tobacco control technical working group under the leadership of Ministry of Public Health members of working group were invited from line ministries of government and WHO","We have got an intersectoral committee for tobacco control","Answer/report not provided"
"2","Albania","In accordance with the implementation of the Albanian law the government has established the inter-sectoral Committee. The Minister of Health is the leading body of the National Program. The focal point is based at the Institute of Public Health.","In the accordance with the implementation of the Albanian law the goverment had established the inter-sectoral Committee. The Minister of Health is the leading body of the National Program.The focal point belongs to the Institute of Public Health .","Answer/report not provided"
"3","Algeria","Création dun comité national des experts chargés de lutte anti-tabac au niveau du Ministère de la santé de la Population et de la Réforme hospitalière(Décision ministérielle n° 95 du 19 mai 2013)
Mise en place en 2008 dun point focal national de lutte anti-tabac à la Direction Générale de la Prévention et de la Promotion de la santé au Ministère de la santé de la Population et de la Réforme hospitalière.
Création d’une unité d’aide au sevrage tabagique (1 par CHU 1 par EPSP  pour chaque Wilaya) au cours de l’année 2014.","Création dun comité national medical de lutte anti tabac en 2007
Mise en place dun point focal de lutte anti tabac au Ministére de la santé depuis 2008","Création d un Comité National de lutte contre le tabac"
"4","Antigua and Barbuda","Antigua & Barbuda has established an official within the Ministry of Health who is responsible for Tobacco Control. In the year 2000. the Ministry of Health commissioned the Antigua & Barbuda Tobacco Free Initiative. None of these are directly financed but the Ministry of Health and other stakeholders provide support for related activities.","Antigua & Barbuda has a named official within the Ministry of Health responsible for Tobacco Control. In addition to this in 2000 the Ministry of Health commissioned the Antigua & Barbuda Tobacco Free Initiative. None of these activities are financed however the Ministry of Health provides solid support for related activities.","Answer/report not provided"
"5","Armenia","In accordance with the State Tobacco Control Program 2010-2015 it is 
envisaged to have a commission for coordination of the tobacco control 
activities i.e. the inter-sectoral Commission working in the Ministry of 
Health. The Ministry of Health is the leading body of the National Program. The Commission has been established in 2010. This commission includes both government and non-government organisations.","In accordance with the State Tobacco Control Program (see Annex 1) 2010-2015 it is envisaged to have a commission for coordination of the tobacco control activities i.e. the inter-sectoral Commission working in the Ministry of Health. The commision has been established in 2010. This commission includes both government and non-governement organisations. The Ministry of Health is the leading body of the National Program.","In accordance with the State Tobacco Control Program 2010-2015 it is envisaged to have a commission for coordination of the tobacco control activities i.e. the inter-sectoral Commission working in the Ministry of Health. This commission includes both government and non-governement organisations.The Ministry of Health is the leading body of the National Program."
"6","Australia","Responsibility for tobacco control in Australia is shared between the Commonwealth Government and state and territory governments. The main focal point for tobacco control is the Tobacco Control Taskforce in the Australian Government Department of Health. Each state and territory government health department also has a tobacco control unit. Australia takes a whole of government approach to tobacco control. and the Department of Health regularly collaborates with other Australian Government agencies. state and territory government departments. and non-government organisations (i.e. national. state and territory Cancer Councils).","Responsibility for tobacco control in Australia is shared between the Commonwealth Government and State and Territory governments. The main focal point for tobacco control is the Tobacco Control Taskforce in the Australian Government Department of Health and Ageing. Each State and Territory government health department also has a tobacco control unit. Australia takes a whole of government approach to tobacco control and the Department of Health and Ageing regularly collaborates with other Australian Government agencies and State and Territory government departments.","The main focal point for tobacco control remains the National Tobacco Strategy 2004-2009. The Tobacco Strategy outlines the priority areas and key strategies for tobacco control. The Commonwealth government and sub-jurisdictions each have tobacco control units which have action plans under the National Tobacco Strategy."
"7","Austria","In 2010 a special unit for tobacco alcohol non-substance related addictions and international affairs of addiction including an ombudsman´s service for non-smoker´s protection within the Federal Ministry of Health (FMH) has been established and is dealing with tobacco control issues. The head of department is the national focal point for tobacco control. 
As of 1/7/2010 within the FMH an ombudsman´s service for non-smoker´s protection/the protection from tobacco smoke has been established where citizens and representatives of the different authorities can ask questions and receive legal information as well as address complaints about violations of smoking bans etc.
Apart from the FMH relevant stakeholders (governmental and non-governmental institutions like other ministries the federal provinces the Federation of Austrian Social Insurance Entries centres for addiction prevention etc.) are generally involved in tobacco control activities. Furthermore the FMH is in continual cooperation with appropriate experts and NGOs in respect of tobacco control.","Within the federal Ministry of Health a department for Tobacco Alcohol Non-substance related Addictions as well as International Affairs of Addictions has been established and is dealing with tobacco control issues. the head of department is national focal point for tobacco control. A national tobacco strategy is under construction and will also cover a national coordinating mechanism for tobacco control. Apart from the ministry of health relevant stakeholders (governmental and non-governmental institutions like ministries of finance education economy etc.) are generally involved in tobacco control activities. The Federal Ministry of Health is in continual cooperation with appropriate experts and NGOs in respect of tobacco control.","Answer/report not provided"
"8","Azerbaijan","Director of the Public Health and Reforms Center of the Ministry of Health of Azerbaijan Republic is the national technical focal point for exchange of information on the implementation of the WHO FCTC.","Answer/report not provided","Answer/report not provided"
"9","Bahamas","The Office of the Chief Medical Officer in the Ministry of Health acts as the National Focal Point for Tobacco Control. A National Coordinating mechanism has been proposed under the Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage.","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","In 2009 the National Antismoking comittiee was formulated including members from different sectors in the government in addition a representitive of antismoking society was assigned as a member in the comittiee starting 2013. Focal point for tobacco control was assigned and she belongs to Public Health Directorate in Ministry of Health. Antismoking Group was formulated in 2013 with specialized and trained staff to implement the Antismoking Law","national anti tobacco committee where most of the governmental and non governmental sectors concerned with the tobacco control activities are represented in the committee this committee has its own startegies for tobacco control","Answer/report not provided"
