"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Steady","Ther is a an increase in the prices of tobacco products since submission of the last report","Answer/report not provided"
"3","Algeria","Le prix du tabac a légèrement augmenté depuis les deux dernières années.","La tendance des prix du tabac est en augmentation dannée en année : environ 6 %","Les prix ont légèrement augmenté"
"4","Antigua and Barbuda","In the past two years. Benson and Hedges increased by $0.40 ECD (forty (40) cents) while Kool and Newport increased by $0.75 ECD (seventy-five (75) cents","Prices have remained the same during past two years","Answer/report not provided"
"5","Armenia","The prices of tobacco products was increased but not significantly which is connected with the changes in taxation system and with the inflation and in consequence to that the changes in the prices did not impact the consumption","Although since 2010 (last amendments 07.10. 2010 Fixed Payments for Tobacco Products) tax on tobacco products has been increased the price has not changed","There is no substantial increase in the prices of tobacco products since submission of the last report."
"6","Australia","UPDATE - Between 2012 and 2014 a 25 pack of Winfield cigarettes has increased in price by AUD $(17.15 -16.55 = .60) or 3.5 per cent. a 40 pack of Longbeach cigarettes has increased by AUD ($ 24.80 – 23.95 = .85) or 3.4 per cent. and a 30 pack of Peter Jackson cigarettes has increased by AUD $(18.9 18.70 ) or 1.06p er cent. Please see Annex 1 for further information .","Between 2010 and 2012 a 25 pack of Winfield cigarettes has increased in price by AUD $2.30 or 16.1 per cent a 40 pack of Longbeach cigarettes has increased by AUD $3.37 or 16.1 per cent and a 30 pack of Peter Jackson cigarettes has increased by AUD $2.59 or 16.4 per cent. Please see Annex 1 for further information.","The rates of excise duty on tobacco products are subject to an increase in February and August each year in line with the consumer price index."
"7","Austria","prices are constantly increasing","increasing","Answer/report not provided"
"8","Azerbaijan","The prices of tobacco products increased by up to 30%. The trend has not linked to any specific tobacco control policy.","The prices of tobacco products increased by up to 30%.","The prices of tobacco products increased by up to 30%."
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","I n Bahrain taxes on tobacco and tobacco products are levied based on ad valorem only however currently negotiation is underway between Gulf Council Countries to add other types of taxes such as sales tax.","price has increased as part of all the prices increase but the taxes remained the same","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Prices of all tobacco products have increased significantly since submission of last report.","The price of tobacco products increased marginally. However the real price considering inflation has decreased."
"12","Barbados","Answer/report not provided","Taxes were increased by 100% as stated in the Budegtary and Financial Statement 2008","Answer/report not provided"
"13","Belarus","Regular increase in prices of tobacco.","Continuously and systematically grow.For example for the brands presented in table 2.9.1 prices were increased three times in 2011 as follows:
Fest
price up to 10.01.11: 1000 Belarus Ruble (for 20 cigarettes) 
price from 10.01.11 until 11.04.11: 1100 Belarus Ruble (for 20 cigarettes) 
price from 11.04.2011 until 06.06.11: 1390 Belarus Ruble (for 20 cigarettes) 
price from 06.06.2011 until 19.09.2011: 2200 Belarus Ruble (for 20 cigarettes).

Premier
price up to 10.01.11: 1300 Belarus Ruble (for 20 cigarettes) 
price from 10.01.11 until 06.06.11: 2050 Belarus Ruble (for 20 cigarettes) 
price from 06.06.2011 until 19.09.2011: 2650 Belarus Ruble (for 20 cigarettes).
Minsk
price up to 10.01.11: 1300 Belarus Ruble (for 20 cigarettes) 
price from 10.01.11 until 06.06.11: 2050 Belarus Ruble (for 20 cigarettes) 
price from 06.06.2011 until 19.09.2011: 2650 Belarus Ruble (for 20 cigarettes).","Price indexes for tobacco products in the Republic of Belarus (December to December of previous year in percentage) - 2007g.-109 5; 2008g.-107 1; 2009g.-113 7."
"14","Belgium","Stable. Pas d’augmentation significative","Cigarette prices rose by 9 1% over the last 3 years (average price increase of cigarettes in the cpi between 12/2007 and 12/2010). The belgian CPI rose by 6 1% over the same period.","Cigarette prices rose by 9 1% over the last 3 years (average price increase of cigarettes in the cpi between 12/2007 and 12/2010). The belgian CPI rose by 6 1% over the same period."
"15","Belize","Prices for the retail of cigarettes have remained the same","Answer/report not provided","Answer/report not provided"
"16","Benin","Tendance à la baisse car dautres marques Gold Seal venant de lAsie (Vietnam) sont apparues sur le marché avec des emballages de 10 tiges et sont vendues entre 80 et 100 FCFA","Prix constant","Prix constant"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","No existe un incremento en los precios de productos de tabaco nacionales ni importados","Answer/report not provided"
"19","Bosnia and Herzegovina","Two times increasing trends of price for 35%","According Law on excise duties in Bosnina and Herzegovina price of domestic cigarettes increased between 10-12 % and imported cigarettes for 8% for period of two last years.","Answer/report not provided"
"20","Botswana","Answer/report not provided","The price of legal products is affected by illicit trade because products of illicit trade are very cheap the owners evade TAX","Answer/report not provided"
"21","Brazil","DERBY - 2013 (US$ 2.28) 2012 (US$ 1.85) 2011 (US$ 1.50","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","No change","As a result of the increase in tobacco tax from 1 November 2010 the retail price of cigarettes increased by 140-260%.","Answer/report not provided"
"23","Bulgaria","Since 2009 the prices of tobacco products are the same.","The prices of tobacco products increased.","The prices of tobacco products increases"
"24","Burkina Faso","Les prix sont stationnaires depuis plusieurs années ; ce qui explique la forte prévalence du tabagisme surtout dans les milieux défavorisés (jeunes pauvres élèves…","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Augmentation du coût dachat aux consommateurs","Answer/report not provided"
"26","Cambodia","ARA $0.35. Khmer tobacco and hand rolled $0.06. Marlboro $1.10","ARA $0.30 Khmer tobacco and hand rolled $0.06 Marlboro $1.10","ARA $0.30 Khmer tobacco and hand rolled $0.06 Marlboro $1.10"
"27","Cameroon","Les prix sont stables mais la tendance de l’industrie du tabac est de mettre sur le marché des paquets de 10 bâtons (unités)","Answer/report not provided","Answer/report not provided"
"28","Canada","In Canada. the average retail price of cigarettes has been either stable or rising slightly. depending on the province or territory of sale within Canada.","In Canada the average retail price of cigarettes has been either stable or rising slightly depending on the province of sale within Canada. The presence of illegal cigarettes in the two largest Canadian provinces ( Ontario and Quebec) has moderated against tax and price increases since 2007.","The legal market has been increasingly partitioned between discount and premium brand cigarettes. Canada has seen a decrease in the volume of cigarette sales likely due to an increase in the availability of contraband. Despite this pressure on the legal market the average price of legal cigarettes has continued to rise. The rise in the average price however has been driven mainly by price increases to premium brands the market for which is the least affected by competition from contraband."
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","stationnaire","Answer/report not provided"
"31","Chile","Debido al Terremoto ocurrido el 27 de Febrero del 2010 se produjo un aumento en el impuesto. Sumado a esto. el 31 de marzo del 2013. el Estado de Chile a través de su Ministerio de Hacienda. aplica una nueva fórmula para el cálculo de impuesto. Esto trae como consecuencia un alza del impuesto a la cajetilla de cigarrillos. siendo el más relevante el impuesto ad valorem. 
En este aspecto Chile tiene un impuesto acorde a las directrices del Convenio Marco de Control de Tabaco.","Producto del terremoto del 27 de Febrero del 2010 se sube impuesto del cigarrillo en consecuencia esta medida produce un alza en el precio del cigarrillo desde el último Informe","Answer/report not provided"
"32","China","The price of tobacco products increased year by year.","The prices of tobacco products in China are on a year-by-year increase trend.","The prices of tobacco products in China are on a year-by-year increase trend."
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Le prix des produits du tabac a augmenté depuis la mise en application de la loi des finances 2013 : Donc il y a amélioration depuis la présentation du dernier rapport ","le prix de la cigarette fabriquée localement na pas changé depuis le dernier rapport. Mais ce quil faut signaler cest que les points de vente ont augmenté ainsi que les boutiques hors taxes (2 à Brazzaville et à Pointe-Noire)","Answer/report not provided"
"36","Cook Islands","July 2012 33% increase for three years","Tobacco prices was increased in 2007: Trend as follows
Cigarretes - Year 2000 - $162 per 000 2008 - $279.40 (172 % increase)
Tobacco - Year 2000 - $49 per kg 2008 - $349.25 per kg (700% increase)","Tobacco prices increased in 2007:
 Cigarretes - year 2000 $162 per 000 and 2008 $279.40 - (172 % increase)
Tobacco - year 2000 $49 per kg and 2008 $349.35 per kg (700% increase)"
"37","Costa Rica","Los precios de los productos de tabaco se han incrementado con respecto al anterior informe. consecuencia de que la moneda nacional mantiene fluctuaciones con respecto al dólar. además con la aprobación de la Ley Nª 9028. capítulo VII. Impuestos a los productos de tabaco en sus artículos Nº 28 al 31 se establecen impuestos a los productos de tabaco.","Los precios aumentan por: aumento del costo de la vida mejores salarios y aumento en los precios del dólar.","Answer/report not provided"
"38","Côte d'Ivoire","La tendance est à la baisse comparativement aux deux dernières années. Les marques de cigarettes vendues à 25 fcfa l’unité (Excellence) et à 1000 fcfa le paquet (Dunhill) en 2012 sont aujourd’hui respectivement à 100 fcfa les 5 unités et à 700 fca le paquet avec à l’appui une publicité.","En référence aux données dune enquête diligentée par lOMS dans le cadre du Rapport de contrôle du tabagisme en 2006 les prix des produits du tabac (cigarette en particulier) non pas varié.","Answer/report not provided"
"39","Croatia","The lowest price for cigarettes in 2012. was 13 00 HRK (1 70 €) and the highest was 35 00 HRK (4 59 €). The lowest price for cigarettes in 2013. was 15 00 HRK (1 97 €) and the highest was 79 00 HRK (10 37 €). Prices for cigarettes are higher in 2013. compared to 2012. during the fact that the amount of excise duties was increased in 2012. and 2013. Customs Administration collects data about most popular price category for cigarettes (2013.- 19 00 HRK= 2 49 €; 2012. – 20 00 HRK)","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Prices of tobacco products are raising specially RYO tobacco.","The average of the price of the most popular brand in 2008 and 2009 was 2.84 and 2.9 euro respectively.","The average of the price of the most popular brand in 2008 and 2009 was 2.84 and 2.9 euro respectively."
"41","Czech Republic","The price of tobacco products has been increasing in the last two decades. Regarding the situation in the past two years - price of a pack of 20 cigarettes (L&M blue) increased from 75 CZK to 80 CZK (since 2012).","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","The price of tobacco products is rising in the country and tobacco control organizations are making various interventions to raise the price.","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","The prices on tobacco products have increased due to the increasing excise duties since 2012 (see 2.8.4).","We have had an increase in prices based on the tax increases. The cheapest cigarette brands has had the highest price increase as the specific taxes is now allmost everything and the ad valurum part is only 1 percent","The price of MPPC have been increasing slightly while the average price have been decreasing slightly since cheaper brands have gained a bigger share of the market. From 1 January 2010 tobacco excises were increased. This lead to a 12 % increase in the price of MPPC and a 15 % increase in the price of the cheapest brand of cigarettes."
"45","Djibouti","Les prix ont augmenté sensiblement sans modification de la marge fiscal.","Answer/report not provided","Answer/report not provided"
"46","Ecuador","En estos dos últimos años se ha producido un aumento progresivo de los precios de los productos de tabaco en razón de los impuestos generados por las políticas tributarias implementadas por el gobierno (impuesto específico. noviembre 2011)","En estos dos últimos años se ha producido un aumento progresivo de los precios de los productos del tabaco debido al aumento de los impuestos generado por las políticas tributarias propuestas por el gobierno.","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Over the past three years the Ministry of Health has worked hard to raise the prices of tobacco products. In May 2008 was Xiaodrp cigarette prices at 0.25 pounds for local products and .5 pounds of imported products and then adopted the Ministry of Health and the Ministry of Finance project under the umbrella of Alblomberj led to increased prices of all types of cigarettes by 40% but this time has also been an increase in the prices of all other tobacco products by 100%."
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Weighted average retail price for sigarettes was in 2011 2 43 EUR package 2010 was it 2 20 EUR(increase compared to 2011 8%) 2009 was it 2 03 EUR (increase 10% compared to 2010 price).","Answer/report not provided"
