"","Party","2014","2012","2010"
"1","Afghanistan","No any advertisement is allowed on trade of the Tobacco production","based on governmental decree the abovmentioned bann on tobacco is implemented","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Draft legislation has been refined and legal processing is now progressing slowly","No progress has been made due the absence of legislation","Answer/report not provided"
"5","Armenia",".....","Answer/report not provided","The outdoor adfvertising of tobacco products has been banned since 1 October 2006."
"6","Australia","Australia has comprehensive legislation and regulations in place prohibiting tobacco advertising. promotion and sponsorship. 
Under the Tobacco Advertising Prohibition Act 1992. it is an offence to publish or broadcast a tobacco advertisement. with certain limited exceptions. In 2012. the Tobacco Advertising Prohibition Amendment Act was enacted. extending the ban on tobacco advertising to the internet and other electronic media (for example. mobile phones) in Australia. 
Compliance and enforcement activities on tobacco advertising related matters are ongoing.
The legislation is available online at www.comlaw.gov.au. 
As detailed at section 3.2.5 above. the Australian Government has also introduced legislation requiring plain packaging of tobacco products sold in Australia. 
Prohibitions on certain forms of tobacco advertising. promotion and sponsorship including. in particular. point-of-sale advertising and the display of tobacco products in retail locations. are in place at the state and territory level. Please see Annex 1 and Annex 2 for further information.","Australia has comprehensive legislation and regulations in place prohibiting tobacco advertising promotion and sponsorship. 
Under the Tobacco Advertising Prohibition Act 1992 it is an offence to publish or broadcast a tobacco advertisement with certain limited exceptions. In 2012 the Tobacco Advertising Prohibition Amendment Act was enacted extending the ban on tobacco advertising to the internet and other electronic media (for example mobile phones) in Australia. Regulations on internet point of sale advertising were under development at the time of submission of this report and will be implemented by 7 September 2012 when the legislation commences. The legislation is available online at www.comlaw.gov.au. Please see the YourHealth website at http://www.health.gov.au/internet/yourhealth/publishing.nsf/Content/draft-reg-internet-tob-advert for further information.
As detailed at section 3.2.5 above the Australian Government has also introduced legislation requiring plain packaging of tobacco products sold in Australia. 
Prohibitions on certain forms of tobacco advertising promotion and sponsorship including in particular point-of-sale advertising and the display of tobacco products in retail locations are in place at the State and Territory level. Please see Annex 1 and Annex 2 for further information.","Restrictions to Internet advertising of tobacco products to be legislated."
"7","Austria","Answer/report not provided","An explicit ban of product placement of tobacco products for all audiovisual media has been introduced in § 16 of the Austrian braodcasting company act (ORF-Gesetz Federal law gazette no. 379/1984 idgF) and § 38 of the audiovisual media services act (Federal law gazette I No. 84/2001) by amendments of 19/7/2010 (Federal law gazette I No. 50/2010) entering into force on 1/10/2010.","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Bans have been implemented via policy on the advertisement of tobacco products in the local media and sponsorship of local and international events in country. The Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses a more comprehensive ban on tobacco advertising promotion and sponsorship in accordance with the guidelines.","Draft legislation produced in the Ministry of Health by reviewing legislation enacted withing the Caribbean subregion. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Articles 6 7 and 15 of Antismoking law and decree (3) of 2011 prohibit any form of advertising promotion and sponsorship by tobacco manufacturers distributors and sales. In addition social media like facebook and instagram originating from Bahrain is closly monitired.","GCC countries worked together to formulate a GCC guidline in implementing this article which was adopted by the kingdom of bahrain and starting to implement according to the national laws","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"12","Barbados","A regional approach to facilitate Article 13 has been proposed by the Government of Guyana because of the similarity of advertising promotion and sponsorship issues in the Caribbean region. This approach is being supported by the Government of Barbados and PAHO.","Answer/report not provided","Answer/report not provided"
"13","Belarus","Ban on advertising of tobacco products in the Republic of Belarus introduced on January 1 2008. Since the last report providing changes in legislation on tobacco advertising promotion and sponsorship of tobacco products have been made.","Since the last report providing changes to the legislation on advertising promotion and sponsorstvatabachnyh products have been made.","The ban on tobacco advertising was introduced to the January 1 2008"
"14","Belgium","Pas de changements concernant ces aspects depuis le dernier rapport.","No change in the past three years in relevant legislation. All forms of direct and indirect advertising and promotions whatever the mean is banned at the exception of billboard at point of sales advertising in profesionnal magazines of the sectors and international fortuitous advertising.","No change in the past three years in relevant legislation. All forms of direct and indirect advertising and promotions whatever the mean is banned at the exception of billboard at point of sales advertising in profesionnal magazines of the sectors and international fortuitous advertising."
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Remarque: la publicité sur les points de vente se fait à grande échelle par le tabac les armoires les parasols drapés à leffigie des marques de cigarettes et aussi des scooters et des gros véhicules qui circulent dans la ville pour faire de la distribution sur les points de vente.","Lapplication totale de larticle 13 est en vigueur dans notre pays sauf quelques voitures à léffigie des marques de cigarettes qui circulent encore.","lapplication totale de larticle 13 est en vigueur dans notre pays sauf quelques voitures à léffigie des marques de cigarettes qui circulent encore"
"17","Bhutan","Section.38(c) of the Tobacco Control Act empowered the Royal Bhutan Police to assist the relevant agencies on prohibition of tobacco advertisement promotion and sponsorship and; Bhutan inforcomm and media authority to monitor and take measures on domestic direct and indirect advertisements and promotion of tobacco products","The Royal Bhutan Police have been empowered to assist relevant agencies on prohibition of tobacco advertisement promotion and sponsorship. Bhutan InfoComm and Media Authority to monitor and take measures on domestic direct and indirect advertisements and promotion.","The Royal Bhutan Police has been empowered to assist relevant agencies on prohibition of tobacco advertisement promotion and sponsorship. Bhutan InfoComm and Media Authority to monitor and take measures on domestic direct and indirect advertisements and promotion."
