"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Tobacco products disclosures are regulated by the Government decision. The technical Regulation on Tobacco” according to which it is required from both manufacturers and importers to disclose information on the contents. Information that must be disclosed includes contents of nicotine and tar the residue quantities of pesticides. Without the compliance certification the sale of raw tobacco and tobacco products in the territory of the Republic of Armenia is prohibited. The raw tobacco and tobacco products which are subject to mandatory compliance certification and are circulated in the territory of the Republic of Armenia should be accompanied with the stamping of the compliance sign or compliance certificate","Tobacco products disclosures are regulated by the Government decision #540-n (28/04/2005) On Approving the technical Regulation on Tobacco according to which it is required from both manufacturers and importers to disclose information on the contents. Information that must be disclosed includes contents of nicotine and tar the residue quantities of pesticides (hexa-chlorine-cyclo-hexane and its isomers and double-chlorine-double-phenyl- triple-chlorine-ethane and its metabolites) radio nuclides (caesium and strontium) etc. Without the compliance certification the sale of raw tobacco and tobacco products in the territory of the Republic of Armenia is prohibited. The raw tobacco and tobacco products which are subject to mandatory compliance certification and are circulated in the territory of the Republic of Armenia should be accompanied with the stamping of the compliance sign or compliance certificate.","Tobacco products disclosures are regulated by the Government decision #540-n (28/04/2005) On Approving the technical Regulation on Tobacco according to which it is required from both manufacturers and importers to disclose information on the contents. Information that must be disclosed includes contents of nicotine and tar the residue quantities of pesticides (hexa-chlorine-cyclo-hexane and its isomers and double-chlorine-double-phenyl- triple-chlorine-ethane and its metabolites) radio nuclides (caesium and strontium) etc. Without the compliance certification the sale of raw tobacco and tobacco products in the territory of the Republic of Armenia is prohibited. The raw tobacco and tobacco products which are subject to mandatory compliance certification and are circulated in the territory of the Republic of Armenia should be accompanied with the stamping of the compliance sign or compliance certificate."
"6","Australia","Answer/report not provided","Answer/report not provided","Under quasi-regulation (Voluntary Agreement) the three major Australian tobacco manufacturers have provided annual ingredient data reports since 2000. They also provided on a one-off basis emissions data for selected popular brands of cigarettes."
"7","Austria","According to Para. 8 of the Austrian tobacco Act producers/importers have to report to the FMH on the content of all tobacco products as well as the tar carbonmonoxide and nicotine content in cigarette smoke of products sold on the Austrian market once a year. Since 2010 the data (including trade secrets) has to be reported into a secure electronic database (Electronic model on Tobacco Control - EMTOC) according to the Austrian regulation on reporting on tobacco product ingredients (TIEV).
According to Para. 4a of the Austrian tobacco act cigarette packs must contain information about the average content of tar nicotine and carbonmonoxide in the smoke of 1 cigarette of the respective brand.
The FMH is publishing the data on the website (http://emtoc.ehealth.gv.at/) having regard to the protection of trade secrets.","According to § 4a of the Austrian tobacco act cigarette packs must contain information about the average content of tar nicotine and carbonmonoxide in the smoke of 1 cigarette of the respective brand.
The Federal Ministry of Health is entitled to publish the data having regard to the protection of trade secrets. A publication of the data is envisaged.","Answer/report not provided"
"8","Azerbaijan","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic - Articles 11; 12","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic","Source: the Law on Tobacco and Tobacco Product of Azerbaijan Republic"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","*In the tobacco control law 2005 article 11 only provide obligation to the importer of tobacco product to give information of ingredients of this imported products","In the tobacco control law 2005 clause-11 there is an obligation to the importer of tobacco products to give information about the ingredients of the imported products.","As per law importer of tobacco shall at the time of importing tobacco products furnish a report to the government in which the amount of each ingredient to be stated. (Article 8 of the 2005 Act )"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Requirements for the cigarettes of tobacco contained in ISO 3935-2000 Cigarettes. General specifications. Recent changes to the standard approved in December 2008 Regulatory Specifications - the tar and nicotine in cigarette smoke condensate (milligrams per cigarette).","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Bolivia integra la mesa de trabajo de los artículos 9 y 10 del Convenio desde la COP 4.","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Le projet de loi le prévoit.","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","The Tobacco Reporting Regulations enacted in 2000 have required that tobacco manufacturers report the content and emissions of consumer tobacco products sold in Canada.
Health Canada is making constituents and emission data available upon request to the public. This data is of particular interest to research and health groups. Background and contact information is provided on the Health Canada website at:
http://www.hc-sc.gc.ca/hc-ps/tobac-tabac/legislation/reg/indust/constitu-eng.php"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"31","Chile","El artículo 9° de la Ley 19.419 señala que “La casa matriz del fabricante o el importador de los productos hechos con tabaco deberán informar anualmente al Ministerio de Salud. según éste lo determine. sobre sus constituyentes y los aditivos que se incorporan a ellos. en calidad y cantidad. así como las sustancias utilizadas para el tratamiento del tabaco.
El Ministerio de Salud podrá prohibir el uso de los aditivos y sustancias que aumenten el daño o riesgo del consumidor de dichos productos. y establecer los límites máximos permitidos de las sustancias contenidas en los productos hechos con tabaco. Asimismo. fijará las normas sobre difusión de la información referida a los aditivos y sustancias incorporadas al tabaco y sus efectos en la salud de los consumidores.
Los envases de cigarrillos deberán expresar clara y visiblemente en una de las caras laterales los principales componentes de este producto en los términos establecidos por el Ministerio de Salud”.
Desde el año 2009. se aplica la la Resolución Exenta 904. (última versión de Septiembre del 2013).
En su artículo 3° requiere de los fabricantes o importadores de los productos señalados en el punto Nº1 de la mencionada resolución que deberán hacer llegar al Ministerio de Salud. a más tardar el día 30 de Diciembre de cada año. el listado de sustancias utilizadas o agregadas durante el proceso de elaboración de cada producto. documentación que contenga las mediciones de la información no autorizada por el Ministerio de Salud. la cual haya sido incorporada en el envoltorio o etiqueta. Este certificado deberá incluir el método de medición utilizado. referencias de mediciones por volumen o peso. de las mediciones. etc.
 El artículo 4º. exige que las marcas que soliciten ser incorporadas en la resolución de comercialización deberán presentar antes del 30 de marzo de cada año a lo menos la información relacionada con Listado de aditivos y sustancias incorporadas o utilizadas en el proceso de elaboración del producto.","El artículo 9 de la Ley 19.419 señala que La casa matriz del fabricante o el importador de los productos hechos con tabaco deberán informar anualmente al Ministerio de Salud según éste lo determine sobre sus constituyentes y los aditivos que se incorporan a ellos en calidad y cantidad así como las sustancias utilizadas para el tratamiento del tabaco.
El Ministerio de Salud podrá prohibir el uso de los aditivos y sustancias que aumenten el daño o riesgo del consumidor de dichos productos y establecer los límites máximos permitidos de las sustancias contenidas en los productos hechos con tabaco. Asimismo fijará las normas sobre difusión de la información referida a los aditivos y sustancias incorporadas al tabaco y sus efectos en la salud de los consumidores.
Los envases de cigarrillos deberán expresar clara y visiblemente en una de las caras laterales los principales componentes de este producto en los términos establecidos por el Ministerio de Salud.
Desde Noviembre de 2009 se exige a través de la Resolución Exenta 904 en su artículo 3 requiere de los fabricantes o importadores de los productos señalados en el punto Nº1 de la mencionada resolución que deberán hacer llegar al Ministerio de Salud a más tardar el día 30 de Diciembre de cada año el listado de sustancias utilizadas o agregadas durante el proceso de elaboración de cada producto documentación que contenga las mediciones de la información no autorizada por el Ministerio de Salud la cual haya sido incorporada en el envoltorio o etiqueta. Este certificado deberá incluir el método de medición utilizado referencias de mediciones por volumen o peso de las mediciones etc. Mientras que el artículo 4 exige que las marcas que soliciten ser incorporadas en la resolución de comercialización deberán presentar antes del 30 de marzo de cada año a lo menos la información relacionada con Listado de aditivos y sustancias incorporadas o utilizadas en el proceso de elaboración del producto.","Answer/report not provided"
"32","China","Takes seriously its obligations under the Framework Convention on Tobacco Control on the contents of tobacco products the regulation and disclosure requirements and actively promote and follow up studies on constituents and emissions of tobacco products detection technology important progress has been made in testing the composition present in cigarettes.","China actively pushed and tracked the research of inspection technology with respect to the contents and emission of tobacco products for the purpose of carrying out the provisions concerning the control and disclosure of tobacco products as set forth in FCTC and has made great progress in the inspection of major contents of cigarettes.","China actively pushed and tracked the research of inspection technology with respect to the contents and emission of tobacco products for the purpose of carrying out the provisions concerning the control and disclosure of tobacco products as set forth in FCTC and has made great progress in the inspection of major contents of cigarettes."
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Des disposition sont prévues dans la loie nationale en vigueur","Answer/report not provided"
"35","Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","Our tobacco act stipulates ''Section 25 Constituent and additives disclosure required to be displayed on all tobacco product packages - No person shall sell distribute display for sale or distribution import or export any tobacco product unless it has permanently affixed on its package or permanently affixed and individual wrapper in the case of a cigar a disclosure in the form and manner prescribed by regulations made under this Act of (a) a list of those constituents of the products which are generally recognised as harmful including but not limited to tar nicotine and carbon monoxide; (b) the emissions of the products as applicable; and (c) the product''s additives.","Answer/report not provided","Answer/report not provided"
"37","Costa Rica","Ley 9028 y sus reglamentos","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Mais cet aspectde la problématique du tabagisme sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","Les dispositions sont difficiles à appliquer et contrôler. Les laboratoirs disponibles sont inaccessibles.","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","Answer/report not provided","The EU participates as a key facilitator in the Working Group on Articles 9 and 10 of the Convention. 
A project co- funded by the EU and its 16 participating countries the so called Public Information Tobacco Control (PITOC) has resulted in websites with fact sheets that inform the public on the general and tobacco industry use of tobacco additives as well as their harmful health effects.","Answer/report not provided"
"51","Fiji","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"53","France","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"54","Gabon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"55","Gambia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"56","Georgia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"58","Ghana","Answer/report not provided","Food and drug boad is expected to regulate content but demand for information on such investigations get into bureucracy.","Answer/report not provided"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
