"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","no information at this point","Answer/report not provided"
"2","Albania","1228 hectares","Answer/report not provided","Answer/report not provided"
"3","Algeria","La production du tabac (tous types confondus) est de 865 millions DA soit 0 00034 % de la valeur de la production agricole 2","Production moyenne:82808 QUINTAUX","Production de feuilles de tabac = 5 8 millions $
PIB = 140 57 milliards $"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"7","Austria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","No avilable data","Answer/report not provided"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Only 50 hectares of tobacco field in Belgium. Very small activity.","Only 50 hectares of tobacco field in Belgium. Very small activity."
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","insignifiante","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","0.10% in 2012","In 2009 the National Gross Domestic Product was R$ 3.185.125.369.000* and in the harvest 2009/2010 the value of the tobacco leaf production was R$ 4.360.000.000 00 **
The share of tobacco and its products among the main Products Exported in 2010 was - 1.4% ( it was almost 10% less than in 2009)***.","In 2009 the National Gross Domestic Product was R$ 3.185.125.369.000* and in the harvest 2009/2010 the value of the tobacco leaf production was R$ 4.360.000.000 00 **
The share of tobacco and its products among the main Products Exported in 2010 was - 1.4% ( it was almost 10% less than in 2009)***."
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Total production of raw tobacco 
2009 - 51 322 tons 
2010 - 41 056 tons 
2011 - 40 607 tons 
2012 - 28 060 tons","2.07 % from the gross value added for the agricultural
sector","2.07 % from the gross value added for the agricultural sector"
"24","Burkina Faso","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Based on 2006 data Statistics Canada reports that 0.0002% of Canadas gross domestic product is a result of tobacco leaf growing.","Based on 2006 data Statistics Canada reports that 0.0002% of Canadas gross domestic product is a result of tobacco leaf growing."
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"31","Chile","No contamos con información","No contamos con información","Answer/report not provided"
"32","China","0.1%","0.1%","0.1%"
"33","Colombia","El valor es: 128.000 de millones de pesos colombianos y participa con el 0.3% del PIB agrícola del año 2011.","0 5% del PIB Agrícola.","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","Answer/report not provided","Cook Islands does not grow tobacco","Answer/report not provided"
"37","Costa Rica","Para el 2012 se cultivo Tabaco en la Región Brunca. cantón de Pérez Zeledón. el área sembrada fue de 20 hectáreas con una producción de 37 toneladas métricas. para un rendimiento de 1.85 (t/ha El valor bruto de la producción de tabaco como actividad del sector agropecuario fue de 296 Millones de colones corrientes. mientras que el valor agregado fue de 234 millones de colones corrientes","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","0","0.1%","Answer/report not provided"
"39","Croatia","0","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","2012 value of raw tobacco production: 626 million EUR","2011 value of tobacco production: 681 Mio EUROS","Answer/report not provided"
"51","Fiji","Answer/report not provided","no information available","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"53","France","40 Millions deuros (très négligeable devant un PIB français de lordre de 2032.3 Milliards deuros","Answer/report not provided","Answer/report not provided"
"54","Gabon","La production locale de tabac (brun) est insignifiante et destinée à la consommation personnelle","La production locale de tabac (brun) est insignifiante et destinée à la consommation personnelle. Lunique usine de fabrication de cigarette au Gabon importe sa matière première.","Answer/report not provided"
"55","Gambia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"56","Georgia","22","22.4 million GEL (0.1%)","Answer/report not provided"
"57","Germany","Answer/report not provided","0.001 %","0.001 %"
"58","Ghana","Answer/report not provided","Not Available","Not Available"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"64","Hungary","0.12%","Answer/report not provided","0.01 %"
"65","Iceland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"66","India","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"67","Iran (Islamic Republic of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"68","Iraq","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"69","Ireland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"70","Israel","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"71","Italy","0","In Italy (crop 2010) the value of the raw tobacco produced was about 196 Million € which represents a minimal share (0 013%) of the Italian 2010 global GDP which was 1.548.816 Million € (both figures are at 2010 current prices). Even tough in the tobacco growing districts the production represents a much higher percentage of the local GDP.","Answer/report not provided"
"72","Jamaica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"73","Japan","About 0","About 0.01% (Domestic production in the FY2010 / Japans nominal GDP in the FY 2010)","About 0.01% (Domestic production in the year 2008 / Japans nominal GDP in the year 2008)"
"74","Jordan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"75","Kazakhstan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"76","Kenya","Answer/report not provided","Answer/report not provided","Total output by the three companies in 2009 was 20 million kg of dried leaf worth about KSH 2 billion."
"77","Kiribati","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"79","Kyrgyzstan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"80","Lao People's Democratic Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"81","Latvia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"82","Lebanon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"83","Lesotho","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"84","Libyan Arab Jamahiriya","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"85","Lithuania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"86","Luxembourg","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"87","Madagascar","Answer/report not provided","Answer/report not provided","nd"
"88","Malaysia","Answer/report not provided","RM34.71Million (2009) RM45.39Million (2010) and RM42.28Million (2011)","Answer/report not provided"
"89","Maldives","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"90","Mali","Answer/report not provided","données non connues","Answer/report not provided"
"91","Malta","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"92","Marshall Islands","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"93","Mauritania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"94","Mauritius","0","0.02%","0.03%"
