"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","The draft law which is the last stage of the final approval clearly indicated ban of the tobacco usage for students children and fragment women to avoid the tobacco usage.","Answer/report not provided","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"7","Austria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"12","Barbados","An administrative policy is in-place prohibiting any engagement with the tobacco industry.","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"31","Chile","Se ha iniciado en el país la discusión del Protocolo de Comercio Ilícito de Productos de Tabaco.","Answer/report not provided","Answer/report not provided"
"32","China","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"33","Colombia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Nous sommes en train de mettre en œuvre le projet sur l’implémentation de l’article 5.3 de la convention cadre de l’OMS pour la lutte antitabac dans les pays africains avec l’appui technique et financier de l’Union Internationale contre la tuberculose et les maladies respiratoires.","Answer/report not provided","Answer/report not provided"
"36","Cook Islands","Answer/report not provided","An increase in funding provision will result in a more thorough and comprehension coverage of tobacco control program and implementation of the FCTC.","Answer/report not provided"
"37","Costa Rica","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","L’avant-projet de loi prend en compte les prescriptions de l’article 5.3 et Prévoit la création d’un organe de contrôle (Comité National d’Ethique de Protection des Politiques de Santé Publique en matière de lutte antitabac) 
 A travers des ateliers de sensibilisation et de formation des conseillers juridiques des Ministères techniques concernés des journalistes et des leaders communautaires avec la participation des experts de l’Union Internationale contre la Tuberculose et les maladies Respiratoires.","Cet aspect sera pris en compte par une prochaine loi nationale antitabac qui sera proposée aux députés dans les prochaines semaines","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"45","Djibouti","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"46","Ecuador","Encuesta de percepción sobre los colores utilizados en las cajetillas de cigarrillos (extensión de la marca). como un mecanismo de la industria para publicidad engañosa. La Encuesta se aplicó en 1143 personas comprendidas entre las edades de 12 y más años de edad. el 41.6% sexo masculino y 58.4% sexo femenino. El 68% de los encuestados creen que no hay diferencia. que todos los cigarrillos son nocivos para la salud. sin embargo un 32% (con variaciones por grupo de edad. sexo y condición de fumador o no fumador) creen que unas presentaciones (especialmente las denominadas light o parecidas) son menos nocivas para la salud. MSP. 2013","En el año 2010 se realiza por parte de la FUndación Salud Ambiente y Desarrollo FUNDAD y el Comité Interinstitucional de Lucha Antitabáquica CILA una investigación denomidada Estudio y Promoción de intervenciones políticas y legales para el fortalecimiento del Convenio Marco para el Control del Tabaco en El Ecuador en el contexto de la Constitución y el Plan Nacional de Prevención y Control del Tabaquismo 2008 - 2011 en la que se da a conocer como la industria del tabaco interfiere en los avances de la lucha antitabáquica en el Ecuador.","Answer/report not provided"
"47","Egypt","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"48","El Salvador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"51","Fiji","Answer/report not provided","In principle the officers of the Tobacco Control Unit are very much aware on their allegiance and commitment in regards to upholding the WHO Framework Convention on Tobacco Control Treaty.","Answer/report not provided"
"52","Finland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"53","France","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"54","Gabon","Pour le point 3.1.2.1 Le Gabon dispose d’un code de conduite destiné aux agents de la fonction publique. En plus le chapitre 7 de la Loi interdit l’ingérence de l’industrie du tabac dans les politiques nationales de lutte antitabac dans son article 32 ; il interdit également tout partenariat direct ou indirect avec l’industrie du tabac et toute subvention publique ou mesure incitative en faveur de la culture de la production ou de la transformation du tabac ou des produits du tabac. L’article 33 stipule que tout rapport avec l’industrie du tabac doit être transparent. L’article 34 interdit tout partenariat et accord avec l’industrie du tabac et avec ceux qui s’attachent à promouvoir ses intérêts. Une fois promulguée la Loi constituera une base juridique solide pour l’application de l’article 5 3 de la CCLAT et des directives le concernant. ; Pour le point 3.1.2.2 la loi prévoit au chapitre 11 article 46 ainsi qu’au chapitre 6 article 31 de renforcer laction dinformation déducation et de communication sur les effets nocifs liés à la consommation du tabac et sur les avantages du sevrage tabagique grâce à la Commission Nationale de Lutte contre le tabagisme.
Le rapport des la mission de la CCLAT a relevé que Le Gabon a mené diverses activités d’éducation de communication et de sensibilisation aux méfaits de la consommation de tabac et de l’exposition à la fumée du tabac auprès du grand public et de groupes ciblés tels que les jeunes les professionnels des médias les éducateurs et les décideurs.","Answer/report not provided","Answer/report not provided"
"55","Gambia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"56","Georgia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"58","Ghana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"59","Greece","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
