"","Party","2014","2012","2010"
"1","Afghanistan","The law which explained above mentioned indicated the ban on production smoking and any kind of usage and the warning on cigarette packets from MOPH","tobacco control legislation is under process and no any information at this point","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Décret exécutif N 04-331 du 18 octobre 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing.","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Tasmanian legislation and Ministerial declarations in the Australian Capital Territory. Northern Territory. South Australia. New South Wales. Western Australia and Victoria have banned the retail sale of fruit and confectionary flavoured cigarettes. Relevant Ministerial declarations are published in the relevant state and territory government Gazette. Please see Annex 1 for links to relevant legislation and further information.
The Australian Government Department of Health is developing a regulation impact statement on options for further implementation of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC) Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.","Tasmanian legislation and Ministerial declarations in the Australian Capital Territory Northern Territory South Australia New South Wales Western Australia and Victoria have banned the retail sale of fruit and confectionary flavoured cigarettes. Relevant Ministerial declarations are published in the Australian Government Gazette. Please see Annex 1 for links to relevant legislation and further information.

The Australian Government Department of Health and Ageing is currently commissioning research in this area including research to better understand the importance of flavours and masking agents in smoking initiation and uptake. This research will help inform future consideration of further regulatory options.","Australia is implementing projects which will inform any future regulation of constitutents and emissions."
"7","Austria","Austria is already preparing for the transposition of the EU Tobacco Products Directive (TPD II) into national law: This will result in an amendment of the Austrian Tobacco act concerning the regulation of the contents/emission of tobacco products (in particular: ban of products with characterising flavours transitional period for flavoured products with market share < 3% prohibition of certain additives (e.g. vitamins caffeine etc. limited regulations for smokeless tobacco products except snus).","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013) addresses regulation of the contents of tobacco products","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","no labs are available in the country yet it is recommended that the companies right the content of the smoke on the packets there is a plan to have a lkab and some processes are going on to have such a lab","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Requirements for cigarettes of tobacco contained GOST 3935-2000 '' Cigarettes. General technical conditions'' . Latest revision of the standard was approved in December 2008; GOST 1505-2001 '' cigarettes . General technical conditions'' ; GOST 8699-76 '' Cigars . Specifications''; GOST 858-2000 ''Tobacco smoking . General technical conditions'' ; GOST 7823-2000 '' Pipe tobacco . General technical conditions'' . Currently a technical regulation of the Customs Union '' Technical regulations for tobacco products '' the requirements of which are required for 3 of the Customs Union.","Answer/report not provided","Currently the proposed technical regulation EEC Tobacco products whose requirements will be mandatory for 5 countries"
"14","Belgium","Pas de changements concernant ces aspects depuis le dernier rapport. La Belgique a toujours un arrêté royal listant les ingrédient autorisés. Il s’agit d’une liste à la fois positive et négative. Des niveaux maximum de goudrons CO et nicotine sont toujours imposés et régulièrement contrôlés.","No changes on these aspects since the last report. Belgium still have a decree listing ingredients (combining a positive and a negative list) permitted in tobacco products. TNCO maximum level are also still is place and regularly tested.","No changes on these aspects since the last report. Belgium still have a decree listing ingredients (combining a positive and a negative list) permitted in tobacco products. TNCO maximum level are also still is place and regularly tested."
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Larrêté interministériel N°019 du 24 mai 2011 précisant les normes ISO en matière de production de commercialisation et de consommation des cigarettes et autres produits du tabac en République du Bénin stipule en son article 2 chaque fabricant ou importateur doit chaque année pour chaque marque de produit de tabac quil fabrique ou importe soumettre au Ministère de la Santé les résultats des tests effectués dans les laboratoires locaux ou étrangers accrédités sur la base des normes ISO 4387 pour le goudron ISO 10315 pour la nicotine et ISO 8454 pour le monoxyde de carbone.","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Sec-16 of the tobacco control act states that all tobacco and tobacco products imported for personal consumption shall show printed labels displaying the information on relevant constituents and emissions.","Section 16 of the Tobacco Control Act of Bhutan 2010 provides All tobacco and tobacco products imported for personal consumption shall show printed labels displaying the information on relevant constituents and emissions.","Section 16 of the Tobacco Control Act of Bhutan 2010 provides All tobacco and tobacco products imported for personal consumption shall show printed labels displaying the information on relevant constituents and emissions."
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
