"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"2","Albania","Through press conferences and through training of inspectors dealing with the implementation of theses legal acts of law like the directorate of tax investigation. Through information education and communication campaign for the implementation of the Law for the Protection from Tobacco Products in corporation with NGO. We have prepare effective and appropriate or sensitization and awareness programmes on tobacco control addressed to persons such as students of public health and PHC and also schools doctors.","Through press conferences collaboration with NGOs and throught training of inspectors dealing with the imeplementation of theses legal acts of law like the directorate of tax investigation","Answer/report not provided"
"3","Algeria","-Loi sanitaire 85-05 (article 63-64-65) qui interdit la publicité des produits du tabac quelque soit le type.
- Décret exécutif n°04-331 du 18 octobre 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques 
- Décret exécutif n°01-396 du 09 décembre 2001 portant réglementation et activités de fabrication et de distribution de tabacs
-Décret exécutif n°01-397 du 09 décembre 2001 fixant les conditions d’importation des produits du tabac manufacturés par les personnes morales justifiant d’un agrément.","Loi Sanitaire 85-05 (article 63-64-65)
Decrét executif n 04-331 du 18 oct 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques","- Loi sanitaire 85 05 (Article 63 -64-65) 
 - Décret exécutif N 04-331 du 18 octobre 2004 portant réglementation et activités de fabrication et de distribution des produits tabagiques."
"4","Antigua and Barbuda","In Antigua and Barbuda. we do not involve the Tobacco Industry in any of our decisions regarding Public Health Policy.","We do not involve the Tobacco Industry in any of our decisions reguarding Public Health Policy.","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Details of meetings held between the Australian Government Department of Health and the tobacco industry. including recent consultations in relation to Australia''s plain packaging measures. are publicly notified on the website of the Department of Health at: http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-conv-public. 
The Australian Government maintains a Register of Lobbyists and a Lobbying Code of Conduct to ensure that contact between lobbyists and Government representatives is conducted in accordance with public expectations of transparency. integrity and honesty. For further information. see http://lobbyists.pmc.gov.au/. 
Australian Government officials are required to comply with the Australian Public Service Code of Conduct. The Code includes. inter alia. requirements to behave honestly and with integrity; to disclose. and take reasonable steps to avoid. any conflict of interest (real or apparent); and not to make improper use of duties. status. power or authority. or any inside information. to gain or seek to gain a benefit or advantage for any person. For further information. see http://www.apsc.gov.au/conduct/index.html. 
It is a legal requirement in Australia that any donation to a registered political party to the value of or greater than AUD $10.000 must be declared to the Australian Electoral Commission. Donor annual returns are posted online at http://fadar.aec.gov.au/. The Australian Government does not accept donations from the tobacco industry.","Details of meeings held between the Australian Government Department of Health and Ageing and the tobacco industry including recent consultations in relation to Australias plain packaging measures are publicly notified on the website of the Department of Health and Ageing at http://www.health.gov.au/internet/main/publishing.nsf/Content/tobacco-conv-public. 
The Australian Government maintains a Register of Lobbyists and a Lobbying Code of Conduct to ensure that contact between lobbyists and Government representatives is conducted in accordance with public expectations of transparency integrity and honesty. For further information see http://lobbyists.pmc.gov.au/. 
Australian Government officials are required to comply with the Australian Public Service Code of Conduct. The Code includes inter alia requirements to behave honestly and with integrity; to disclose and take reasonable steps to avoid any conflict of interest (real or apparent); and not to make improper use of duties status power or authority or any inside information to gain or seek to gain a benefit or advantage for any person. For further information see http://www.apsc.gov.au/conduct/index.html. 
It is a legal requirement in Australia that any donation to a registered political party to the value of or greater than AUD $10 000 must be declared to the Australian Electoral Commission. Donor annual returns are posted online at http://fadar.aec.gov.au/. The Australian Government does not currently accept donations from the tobacco industry.","Answer/report not provided"
"7","Austria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","According to antismoking law tobacco industry are not allowed to directly or indirectly sponsor any event related to health sports or welfare.","Answer/report not provided","Answer/report not provided"
