"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","technical assistance","Answer/report not provided"
"2","Albania","The technical and scientific assistance we received by the WHO Euro and CDC for conducting surveys in the relevant area.","The technical and scientific assistance we received by the WHO Euro and
CDC for conducting surveys in the relevant area.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Training workshops. financial/ resource support. technical cooperation. information exchange","training workshops financial/ resource support technical cooperation information exchange","Answer/report not provided"
"5","Armenia","Answer/report not provided","The technical and scientific assistance we received by the WHO Euro and CDC for conducting surveys in the relevant area.","The technical and scientific assistance we received by the WHO Euro and CDC for conducting surveys in the relevant area."
"6","Australia","Australia regularly shares its tobacco control resources. including graphic health warning images. national tobacco campaign materials and tobacco plain packaging. with other Parties. Australia''s national tobacco campaign international partnership base has grown significantly. with in excess of 40 countries using or applying to use Australia''s campaign materials. 
Australia has made substantial voluntary extrabudgetary contributions to the Convention Secretariat to support implementation of the Convention internationally. Extrabudgetary contributions in 2011 and 2012 totalled 
$AUD1.07 million. 
In May 2013. Australia provided a further package of extrabudgetary contributions of $AUD985.000. Activities funded include technical support and development of key implementation guidelines. work to promote sustainable resourcing of tobacco control activities. and work to support the new Protocol to Eliminate Illicit Trade in Tobacco Products.
In addition. in mid 2013. Australia provided funding of up to $110.000 to the WHO Western Pacific Regional Office for the development of technical resources and guidance materials on tobacco plain packaging for use by other countries that may be considering adopting this measure.
Further to this. the former Australian Agency for International Development (AusAID). now incorporiated in the functions of the Australian Government Department of Foreign Affairs and Trade (DFAT). has provided funding to the Secretariat of the Pacific Community and the World Health Organization for a range of activities under the Pacific Regional Non-communicable Disease Program. including to assist Pacific Island countries in meeting their obligations under the Convention. The former AusAID assistance has contributed to funding and technical assistance for tobacco enforcement workshops as well as support for a range of other tobacco control initiatives.","Australia regularly shares its tobacco control resources including graphic health warning images and national tobacco campaign materials with other Parties. Australias national tobacco campaign international partnership base has grown significantly with in excess of 40 countries using or applying to use Australias campaign materials. In 2011 Australia provided a contribution of AUD $200 000 to the Convention Secretariat to support work to adapt social marketing materials and graphic health warnings for use by low resource countries. 
The Australian Government Department of Health and Ageing hosted and fully funded a workshop on tobacco control for senior Pacific Island public health officials in March 2011. Following the workshop the Department and the Cancer Council Australia and National Heart Foundation of Australia provided AUD $100 000 to the Convention Secretariat to undertake joint needs assessments for implementation of the Convention in Pacific Island countries. The Department subsequently provided a further AUD $100 000 for needs assessments in low resource Commonwealth countries. 
The Australian Agency for International Development (AusAID) has provided funding to the Secretariat of the Pacific Community and the World Health Organization for a range of activities under the Pacific Regional Non-communicable Disease Program including to assist Pacific Island countries in meeting their obligations under the Convention. AusAID assistance has contributed to funding and technical assistance for tobacco enforcement workshops as well as support for a range of other tobacco control initiatives. 
In 2011 Australia also provided AUD $400 000 to fully fund the working group to develop guidelines for implementation of Article 6 of the Convention AUD $50 000 to support the development an international database of best practices to support the guidelines for implementation of the Convention and AUD $50 000 for improvements to the reporting instrument of the Convention.","Financial assistance of US$100 000 provided to the FCTC Secretariat to provide support to the Western Pacific Region in 2009."
"7","Austria","Technical and legal assistance for the development/setting up and implementation of EMTOC in different member states was offered and also received.","Technical and legal assistance for the development/setting up and implementation of EMTOC in different member states was offered and also received.","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Grants training experience exchange","Grants training experience exchange"
"9","Bahamas","Technical Assistance with development/refinement of Comprehensive Tobacco Legislation","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"12","Barbados","Training and support for participation in meetings of the COP.","Training and support for participation in meetings of the COP","Answer/report not provided"
"13","Belarus","from 17 to 21 September 2012 in Ankara (Turkey) - Participation in European Regional Meeting of National Coordinators on Tobacco Control; Participation in Leadership Program on Tobacco Control JHSPH - WHO - training program for experts in the field of tobacco control for 4-speaking countries 8.11.2013g Istanbul Turkey. Training seminars and consultations with experts from WHO organized by the WHO Country Office in Belarus the experience of other countries in the conference sessions held under the auspices of WHO.","Participation in the sub-regional seminar on the Strategy on Tobacco Control (MPOWER) and the WHO Framework Convention on Tobacco Control (FCTC / WHO) 1-7.03.2011g Moscow Russia. Training seminars with representatives of WHO organized by the WHO Country Office in Belarus to study the experience of other countries through conferences meetings held under the auspices of WHO.","Training seminars with representatives of WHO organized by WHO Country Office in Belarus to study the experience of other countries through conferences meetings held under the auspices of WHO"
"14","Belgium","Answer/report not provided","Belgium is providing support to the health systems and the national health plans of Algeria Benin Bolivia Burundi Ecuador Mozambique Niger Peru RD Congo Rwanda Senegal South Africa Uganda. Normally Tobacco control activities should be part of those National Health Plans","Belgium is providing support to the health systems and the national health plans of Algeria Benin Bolivia Burundi Ecuador Mozambique Niger Peru RD Congo Rwanda Senegal South Africa Uganda. Normally Tobacco control activities should be part of those National Health Plans"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Appui technique et financier de l’union internationale pour la lutte contre la tuberculose et les maladies respiratoires pour l’atelier de validation du nouveau projet de loi antitabac pour la réalisation de l’atelier sur la ‘application de l’article 5.3 de la CCLAT.","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","El Ministerio de Salud y Deportes con el apoyo de OPS/OMS FCA y TFK realiza talleres de desarrollo transferencia de conocimientos aptitudes y competencias relacionadas al control del tabaco y facilita la participación de técnicos del Ministerio en talleres regionales de capacitación en control de tabaco. Asimismo ha logrado canales de comunicación para el asesoramiento en diversas áreas de control de tabaco con organizaciones como: OPS/OMS FCA y expertos regionales de control de tabaco.","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","FBiH In 2002. through the WB supported Project Basic Health Package II the Federation of Bosnia and Herzegovina received technical assistance in drafting Federal strategy of tobacco control 2003-2008. 
Queens University developed training curricula for cessation services for family medicine teams in PHC.","Answer/report not provided"
"20","Botswana","Answer/report not provided","Training on GYTS was provided by WHO towards end of 2009. Every year WHO assist with educational materials for World No Tobacco Day. The local television and radio station provide free slot for public awareness and pulicity of some anti tobacco activities. Local authorities provides financial asistance for world no tobacco day commemoration.","Answer/report not provided"
"21","Brazil","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","Malaysia – Assistance for the commencement of the smoking cessation programme and operational issues provided information requested by Malaysia.
Singapore – Assistance in drafting the current tobacco control legislation and operational issues assistance in obtaining images for the next rotation of PHWs
Thailand – Assistance in obtaining images for the next rotation of PHWs
Indonesia – Shared experience of implementing PHWs
WHO WPRO – i) Assistance in developing the National Tobacco Control Action Plan. ii) Brunei Darussalam hosted the “WHO Meeting on Generic Packaging of Tobacco Products” from 10-11 January 2012.
Australia – Assisting in the establishment of Quitline
Korea - Assisting in the establishment of Quitline","Malaysia - Assistance for the commencement of the smoking cessation programme and operational issues provided information requested by Malaysia
Singapore - Assistance in drafting the current tobacco control legislation and operational issues assistance in obtaining images for the next rotation of PHWs 
Thailand - Assistance in obtaining images for the next rotation of PHWs
Indonesia - Shared experience of implemeting PHWs
WHO WPRO - i) Assistance in developing the National Tobacco Control Action Plan. ii) Brunei Darussalam hosted the WHO Meeting on Generic Packaging of Tobacco Products from 10-11 January 2012.","Answer/report not provided"
