"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","No","No","Answer/report not provided"
"3","Algeria","No","No","Answer/report not provided"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","No","No","Answer/report not provided"
"6","Australia","No","No","Answer/report not provided"
"7","Austria","Yes","Yes","Answer/report not provided"
"8","Azerbaijan","No","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Answer/report not provided","Yes","Answer/report not provided"
"10","Bahrain (Kingdom of)","Yes","No","Answer/report not provided"
"11","Bangladesh","Yes","No","Answer/report not provided"
"12","Barbados","No","Answer/report not provided","Answer/report not provided"
"13","Belarus","No","No","Answer/report not provided"
"14","Belgium","No","No","Answer/report not provided"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Answer/report not provided","No","Answer/report not provided"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","No","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","No","Answer/report not provided"
"21","Brazil","No","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","No","No","Answer/report not provided"
"23","Bulgaria","Yes","Yes","Answer/report not provided"
"24","Burkina Faso","No","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","Yes","Answer/report not provided"
"26","Cambodia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Answer/report not provided"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","No","Answer/report not provided"
"31","Chile","Yes","Yes","Answer/report not provided"
"32","China","No","Answer/report not provided","Answer/report not provided"
"33","Colombia","Answer/report not provided","No","Answer/report not provided"
"34","Comoros","Answer/report not provided","No","Yes"
"35","Congo","Yes","Yes","Answer/report not provided"
"36","Cook Islands","No","Yes","Answer/report not provided"
"37","Costa Rica","No","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","No","Answer/report not provided","Answer/report not provided"
"40","Cyprus","No","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","Yes","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","No","No","Answer/report not provided"
"45","Djibouti","No","No","Answer/report not provided"
"46","Ecuador","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"47","Egypt","No","Answer/report not provided","Answer/report not provided"
"48","El Salvador","No","Answer/report not provided","Answer/report not provided"
"49","Estonia","Yes","Yes","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","Yes","No","Answer/report not provided"
"52","Finland","Yes","Yes","Answer/report not provided"
"53","France","No","No","Answer/report not provided"
"54","Gabon","No","Yes","Answer/report not provided"
"55","Gambia","Yes","No","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","No","No","Answer/report not provided"
"58","Ghana","No","Yes","Answer/report not provided"
"59","Greece","No","No","Answer/report not provided"
"60","Grenada","Yes","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"62","Guyana","Answer/report not provided","Yes","Answer/report not provided"
"63","Honduras","No","No","No"
"64","Hungary","No","No","Answer/report not provided"
"65","Iceland","No","Answer/report not provided","Answer/report not provided"
"66","India","No","Answer/report not provided","Answer/report not provided"
"67","Iran (Islamic Republic of)","Yes","Yes","Answer/report not provided"
"68","Iraq","No","Yes","Answer/report not provided"
"69","Ireland","No","No","Answer/report not provided"
"70","Israel","Answer/report not provided","No","Answer/report not provided"
"71","Italy","No","Answer/report not provided","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"74","Jordan","Yes","Yes","Answer/report not provided"
"75","Kazakhstan","No","No","Answer/report not provided"
"76","Kenya","No","Answer/report not provided","Answer/report not provided"
"77","Kiribati","Yes","Answer/report not provided","Answer/report not provided"
"78","Kuwait","No","No","No"
"79","Kyrgyzstan","No","No","Answer/report not provided"
"80","Lao People's Democratic Republic","No","Answer/report not provided","Answer/report not provided"
"81","Latvia","No","No","Answer/report not provided"
"82","Lebanon","No","No","Answer/report not provided"
"83","Lesotho","Answer/report not provided","Yes","Answer/report not provided"
"84","Libyan Arab Jamahiriya","Yes","Yes","Answer/report not provided"
"85","Lithuania","Answer/report not provided","No","Answer/report not provided"
"86","Luxembourg","No","No","Answer/report not provided"
"87","Madagascar","No","Answer/report not provided","Answer/report not provided"
"88","Malaysia","Yes","No","Answer/report not provided"
"89","Maldives","No","Answer/report not provided","Answer/report not provided"
"90","Mali","No","No","Answer/report not provided"
"91","Malta","No","Answer/report not provided","Answer/report not provided"
"92","Marshall Islands","No","Yes","Answer/report not provided"
"93","Mauritania","No","No","Answer/report not provided"
"94","Mauritius","No","Answer/report not provided","Answer/report not provided"
"95","Mexico","Yes","No","Answer/report not provided"
"96","Micronesia (Federated States of)","Yes","Yes","Answer/report not provided"
"97","Mongolia","No","No","Answer/report not provided"
"98","Montenegro","No","Answer/report not provided","Answer/report not provided"
"99","Myanmar","No","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","No","No"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","No","No","Answer/report not provided"
"103","Netherlands","Yes","No","Answer/report not provided"
"104","New Zealand","No","No","Answer/report not provided"
"105","Niger","Answer/report not provided","No","Answer/report not provided"
"106","Nigeria","No","Answer/report not provided","Answer/report not provided"
"107","Niue","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"108","Norway","No","No","Answer/report not provided"
"109","Oman","No","No","Answer/report not provided"
"110","Pakistan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"111","Palau","No","Yes","Answer/report not provided"
"112","Panama","No","No","Answer/report not provided"
"113","Papua New Guinea","Yes","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","No","Answer/report not provided","Answer/report not provided"
"116","Philippines","No","No","Answer/report not provided"
"117","Poland","Answer/report not provided","No","Answer/report not provided"
"118","Portugal","No","Answer/report not provided","Answer/report not provided"
"119","Qatar","Answer/report not provided","No","Answer/report not provided"
