"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","assistance recieved from WHO office","Answer/report not provided"
"2","Albania","Review and comment on the smokefree requirements in the current tobacco control law and enforcement arrangements contained in the current tobacco control law of Albania and identification of practical measures for success based on best practice in UK and Europe. 
The Department of Health for England supported by WHO.","Review and comment on the smokefree requirements in the current tobacco control law and enforcement arrangements contained in the current tobacco control law of Albania and identification of practical measures for success based on best practice in UK and Europe.
The Department of Health for England supported by WHO.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Antigua & Barbuda has received related assistance from PAHO/WHO.CDC. other regional countries as well as affiliates in tobacco control. In addition to our local presentations and media broadcasts. Antigua has from time to time provided tobacco control related assistance to other regional member states.","Antigua & Barbuda ha received related assistance from PAHO/WHO CDC other reginal contries as well as affiliates in tobacco controll. In addition to our local presentations and media broadcasts Antigua has from time to time provided tobacco controll related assistance to other reginal member states.","Answer/report not provided"
"5","Armenia","Answer/report not provided","Armenia has kept relations with Ukraine (exchange of information) in particular in 2008 Armenia provided Ukraine and in 2011 Turkmenistan its experience in implementation of the State Tobacco Control Program.","In three years after the submission of the First report Armenia has kept relations with Ukraine (exchange of information) in particular in 2008 Armenia provided Ukraine its experience in implementation of the State Tobacco Control Program."
"6","Australia","The Australian Government has provided a range of financial and technical assistance to support tobacco control in developing country Parties and Parties with economies in transition. Graphic health warnings and social marketing materials have been shared with a wide range of Parties. and financial support has been provided to the Convention Secretariat to assist in adapting these materials for use in low resource Parties. In addition. targeted financial support has been provided to the Convention Secretariat. including for needs assessments for implementation of the Convention in Pacific Island countries and some Commonwealth countries.","The Australian Government has provided a range of financial and technical assistance to support tobacco control in developing country Parties and Parties with economies in transition. Graphic health warnings and social marketing materials have been shared with a wide range of Parties and financial support has been provided to the Convention Secretariat to assist in adapting these materials for use in low resource Parties. In addition targeted financial support has been provided to the Convention Secretariat including for needs assessments for implementation of the Convention in Pacific Island countries and some Commonwealth countries.","Australia provided Djibouti and Jamaica with Graphic Health Warning images."
"7","Austria","Autria has developped an electronic database for reporting of tobacco products'' ingredients by tobacco industry in cooperation with several EU-Member States (mainly Germany and the Netherlands) and Switzerland and the support of the European Commission.","Autria has developped an electronic database for reporting of tobacco products ingredients by tobacco industry in cooperation with several EU-Member States (mainly Germany and the Netherlands) and Switzerland and the aid of the European Commission.","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Under the Bloomberg Initiatives Foundation grant operated by The UNION an expert assistance was provided by Johns Hopkins University Bloomberg School of Public Health. WHO assisted to participate in international meetings on tobacco control issues.","Under the Bloomberg Initiatives Foundation grant operated by The UNION an expert assistance was provided by Johns Hopkins University Bloomberg School of Public Health. WHO assisted to participate in international meetings on tobacco control issues."
"9","Bahamas","PAHO/WHO","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
