"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","For the control of the tobacco production and taxation we have draft law and the needs final ratification and afterward it will be practices and applicable.","Answer/report not provided","Answer/report not provided"
"2","Albania","No CHANGE IN TAXATION DURING THE PAST TWO YEARS","The excise increased by 75%.","Answer/report not provided"
"3","Algeria","Answer/report not provided","La taxe additionelle (TAdd) passe de 9 DA en 2010 à 11 DA par paquet en 2012","Tendance à laugmentation"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","There has been a slight increase in the excise tax applied to cigarettes (both domestic and imported) since the last report was submitted.","Answer/report not provided","RA Law On Fixed Payments for Tobacco Products set up rates of fixed unified payments procedure of their calculation and payment of the excised tax (76.5%) value added tax (15%) and customs fees (8.5%) for cigars cigarettes and cigarillos (hereinafter tobacco products) imported to the Republic of Armenia and the excised tax (80%) and value added tax (20%) for the domestically manufactured tobacco products of the Republic of Armenia.
Last amendments 30.12.2008 Fixed Payments for Tobacco Products
 rates after 29 January 2009 
imported cigarettes with filter - 6500 AMD per 1000 sticks camper to 5500 2009 AMD for 1000 Sticks before 2009
locally produced cigarettes with filters - 4750 AMD per 1000 sticks camper to 4000 AMD for 1000 Sticks before to 2009."
"6","Australia","The first of a four staged. 12.5 per cent increase in excise and excise-equivalent customs duty on tobacco and tobacco-related products commenced on 1 December 2013. and further 12.5 per cent increases will occur on 1 September 2014. 
1 September 2015 and 1 September 2016. These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings). which took effect from 1 March 2014.
Stick: not exceeding weight 0.8 grams actual tobacco content.
Snuff: when imported for personal use.","On 29 April 2010 the Australian Government increased the excise and excise-equivalent customs duty rate applying to tobacco products by 25 per cent. The excise on cigarettes increased from AUD $0.2622 to AUD $0.32775 per stick and the excise on loose leaf tobacco increased from AUD $327.77 to AUD $409.71 per kilogram. The excise and excise-equivalent customs duty also increase through indexation arrangements generally occurring on 1 February and 1 August each year. Following indexation the current excise on cigarettes is AUD $0.34681 per stick and the excise on loose leaf tobacco is AUD $433.53 per kilogram. Goods and services tax has remained unchanged at a rate of 10 per cent.","Over the past three years the excise rate and excise-equivalent customs duty applied to tobacco have not changed other than by indexation (consumer price index) every six months occurring on 1 February and 1 August. The GST has also remained unchanged at a rate of 10 per cent.
However on 29 April 2010 the Treasurer announced a 25 per cent increase in the excise and excise-equivalent customs duty on tobacco products. An increase of 25 per cent is expected to reduce the number of daily smokers by approximately 3 per cent. For an estimated current daily smoking rate of 19 per cent amongst adults (over 18) a decline to approximately 18.4 per cent could be anticipated from this measure."
"7","Austria","Between 2008 and 2010: rates of tobacco products excise remained unchanged; since 2011: increase in specific tax for cigarettes and fine cut tobacco as well as ad valorem tax for fine cut tobacco.","between 2008 and 2010: rates of tobacco excise remained unchanged; since 2011 : increase in specific tax for cigarettes and fine cut tobacco as well as ad valorem tax for fine cut tobacco.","Answer/report not provided"
"8","Azerbaijan","No change in taxation of tobacco products in the recent years.","No change in taxation of tobacco products in the recent years.
Information is available on household expenditures on tobacco products over the years. 
Monthly per capita household expenses spent on tobacco products increased by 6.9% from 2007 to 2008 and by 11.4% from 2008 to 2009.
Information comes from the State Statistical Committee of the Republic of Azerbaijan - 2009 and is available at:
http://www.azstat.org/indexen.php http://www.azstat.org/statinfo/budget_households/en/010.shtml#s1 http://www.azstat.org/statinfo/budget_households/az/010.shtml#s1","No change in taxation of tobacco products in the recent years.
Information is available on household expenditures on tobacco products over the years. 
Monthly per capita household expenses spent on tobacco products increased by 6.9% from 2007 to 2008 and by 11.4% from 2008 to 2009.
Information comes from the State Statistical Committee of the Republic of Azerbaijan - 2009 and is available at:
http://www.azstat.org/indexen.php http://www.azstat.org/statinfo/budget_households/en/010.shtml#s1 http://www.azstat.org/statinfo/budget_households/az/010.shtml#s1"
"9","Bahamas","Increased taxation on tobacco products with the addition of the 2013 Tobacco Excise Stamp Tax Act","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","In Bahrain taxes on tobacco and tobacco products are levied based on ad valorem only however currently negotiation is underway between Gulf Counsel Countries to add other types of taxes such as sales tax and special taxes on harmful goods. For more details see Annex 3.","same percentage as 100% of the CIF","Answer/report not provided"
